"study","contrast","direction","n_query","reason"
"Misame (14-21 days)","BEP/IFA","combined",2,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Elicit (1 mo.)","Az.","combined",1,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
"Elicit (5 mo.)","Az.","combined",1,"pathway analysis: too few mappable metabolites for enrichment (object 'current.msg' not found)"
