"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr","impact"
"Vital (1.5 mo.)","BEP","combined","Nicotinate and Nicotinamide Metabolism",32,4,0.444,0.00066936,0.066266,0.20487
"Vital (1.5 mo.)","BEP","combined","Thiamine Metabolism",9,2,0.12488,0.0060925,0.30158,0
"Vital (1.5 mo.)","BEP","combined","Vitamin B6 Metabolism",15,2,0.20813,0.016941,0.55907,0.095097
"Vital (1.5 mo.)","BEP","combined","Biotin Metabolism",7,1,0.097126,0.093442,1,0.25
"Vital (1.5 mo.)","BEP","combined","Riboflavin Metabolism",14,1,0.19425,0.17872,1,0.044118
"Vital (1.5 mo.)","BEP","combined","Pantothenate and CoA Biosynthesis",19,1,0.26363,0.23501,1,0.068702
"Vital (1.5 mo.)","BEP","combined","Androstenedione Metabolism",23,1,0.31913,0.27743,1,0
"Vital (1.5 mo.)","BEP","combined","Phospholipid Biosynthesis",25,1,0.34688,0.29782,1,0
"Vital (1.5 mo.)","BEP","combined","Beta-Alanine Metabolism",26,1,0.36075,0.30781,1,0
"Vital (1.5 mo.)","BEP","combined","Citric Acid Cycle",26,1,0.36075,0.30781,1,0
"Vital (1.5 mo.)","BEP","combined","Androgen and Estrogen Metabolism",29,1,0.40238,0.33699,1,0
"Vital (1.5 mo.)","BEP","combined","Retinol Metabolism",30,1,0.41625,0.34646,1,0.33566
"Vital (1.5 mo.)","BEP","combined","Steroidogenesis",42,1,0.58276,0.45074,1,0
"Vital (1.5 mo.)","BEP","combined","Warburg Effect",49,1,0.67988,0.5042,1,0
"Vital (1.5 mo.)","BEP","combined","Glycine and Serine Metabolism",50,1,0.69376,0.51143,1,0
