"study","contrast","direction","pathway","feature"
"Misame (1-2 mo.)","BEP","down","Tyrosine Metabolism","Copper"
"Misame (1-2 mo.)","BEP","down","Beta-Alanine Metabolism","Copper"
"Misame (1-2 mo.)","BEP","down","Inositol Metabolism","Manganese"
"Misame (1-2 mo.)","BEP","down","Catecholamine Biosynthesis","Copper"
"Misame (1-2 mo.)","BEP","down","Propanoate Metabolism","Manganese"
"Misame (1-2 mo.)","BEP","down","Arginine and Proline Metabolism","Manganese"
"Misame (1-2 mo.)","BEP","down","Phospholipid Biosynthesis","Manganese"
"Misame (1-2 mo.)","BEP","down","Histidine Metabolism","Copper"
"Misame (1-2 mo.)","BEP","down","Histidine Metabolism","Manganese"
"Misame (1-2 mo.)","BEP","down","Alanine Metabolism","Manganese"
"Misame (1-2 mo.)","BEP","down","Citric Acid Cycle","Manganese"
"Misame (1-2 mo.)","BEP","down","Urea Cycle","Manganese"
"Misame (1-2 mo.)","BEP","down","Pyruvate Metabolism","Manganese"
"Misame (1-2 mo.)","BEP","down","Riboflavin Metabolism","Copper"
"Misame (1-2 mo.)","BEP","down","Gluconeogenesis","Manganese"
"Misame (1-2 mo.)","BEP","down","Lactose Synthesis","Manganese"
"Misame (1-2 mo.)","BEP","down","Fatty Acid Biosynthesis","Manganese"
"Misame (1-2 mo.)","BEP","down","Phosphatidylinositol Phosphate Metabolism","Manganese"
"Misame (1-2 mo.)","BEP","down","Transfer of Acetyl Groups into Mitochondria","Manganese"
"Misame (1-2 mo.)","BEP","down","Degradation of Superoxides","Copper"
"Misame (1-2 mo.)","BEP","down","Degradation of Superoxides","Manganese"
"Misame (1-2 mo.)","BEP","down","Warburg Effect","Manganese"
