"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","IFA/BEP","down","Glycine and Serine Metabolism","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Glycine and Serine Metabolism","L-Cysteine"
"Misame (14-21 days)","IFA/BEP","down","Ammonia Recycling","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Ammonia Recycling","L-Asparagine"
"Misame (14-21 days)","IFA/BEP","down","Cysteine Metabolism","L-Cysteine"
"Misame (14-21 days)","IFA/BEP","down","Glutathione Metabolism","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Glutathione Metabolism","L-Cysteine"
"Misame (14-21 days)","IFA/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Misame (14-21 days)","IFA/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Dihomo-gamma-linolenic acid"
"Misame (14-21 days)","IFA/BEP","down","Arginine and Proline Metabolism","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Arginine and Proline Metabolism","Proline"
"Misame (14-21 days)","IFA/BEP","down","Arginine and Proline Metabolism","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Arginine and Proline Metabolism","4-Hydroxyproline"
"Misame (14-21 days)","IFA/BEP","down","Taurine and Hypotaurine Metabolism","L-Cysteine"
"Misame (14-21 days)","IFA/BEP","down","Porphyrin Metabolism","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Phospholipid Biosynthesis","Choline"
"Misame (14-21 days)","IFA/BEP","down","Pantothenate and CoA Biosynthesis","L-Cysteine"
"Misame (14-21 days)","IFA/BEP","down","Oxidation of Branched Chain Fatty Acids","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Valine, Leucine and Isoleucine Degradation","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Methionine Metabolism","Choline"
"Misame (14-21 days)","IFA/BEP","down","Methionine Metabolism","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Methionine Metabolism","L-Cysteine"
"Misame (14-21 days)","IFA/BEP","down","Sphingolipid Metabolism","Cer(d18:1/18:0)"
"Misame (14-21 days)","IFA/BEP","down","Bile Acid Biosynthesis","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Bile Acid Biosynthesis","Deoxycholic acid"
"Misame (14-21 days)","IFA/BEP","down","Purine Metabolism","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids","Dodecanoic acid"
"Misame (14-21 days)","IFA/BEP","down","Alanine Metabolism","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Citric Acid Cycle","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Pyruvate Metabolism","Lactic acid"
"Misame (14-21 days)","IFA/BEP","down","Aspartate Metabolism","L-Asparagine"
"Misame (14-21 days)","IFA/BEP","down","Ketone Body Metabolism","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Glutamate Metabolism","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Glutamate Metabolism","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Glutamate Metabolism","L-Cysteine"
"Misame (14-21 days)","IFA/BEP","down","Butyrate Metabolism","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Arachidonic Acid Metabolism","Arachidonic acid"
"Misame (14-21 days)","IFA/BEP","down","Betaine Metabolism","Choline"
"Misame (14-21 days)","IFA/BEP","down","Gluconeogenesis","Lactic acid"
"Misame (14-21 days)","IFA/BEP","down","Mitochondrial Electron Transport Chain","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Phytanic Acid Peroxisomal Oxidation","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Homocysteine Degradation","L-Cysteine"
"Misame (14-21 days)","IFA/BEP","down","Fatty Acid Biosynthesis","Dodecanoic acid"
"Misame (14-21 days)","IFA/BEP","down","Carnitine Synthesis","Glycine"
"Misame (14-21 days)","IFA/BEP","down","Carnitine Synthesis","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Dodecanoic acid"
"Misame (14-21 days)","IFA/BEP","down","Warburg Effect","Lactic acid"
"Misame (14-21 days)","IFA/BEP","down","Warburg Effect","Succinic acid"
"Misame (14-21 days)","IFA/BEP","down","Phosphatidylcholine Biosynthesis","Choline"
"Misame (14-21 days)","IFA/BEP","down","Phosphatidylethanolamine Biosynthesis","Choline"
