"study","contrast","direction","pathway","feature"
"Misame (3-4 mo.)","BEP/IFA","down","Glycine and Serine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Tyrosine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Phenylalanine and Tyrosine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Ammonia Recycling","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Nucleotide Sugars Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Inositol Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Vitamin B6 Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Steroid Biosynthesis","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Phospholipid Biosynthesis","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Oxidation of Branched Chain Fatty Acids","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Pentose Phosphate Pathway","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Methionine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Sphingolipid Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Glycolysis","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Sulfate/Sulfite Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Galactose Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Amino Sugar Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Pyrimidine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Nicotinate and Nicotinamide Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Misame (3-4 mo.)","BEP/IFA","down","Purine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Fatty acid Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Beta Oxidation of Very Long Chain Fatty Acids","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Folate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Citric Acid Cycle","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Starch and Sucrose Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Pyruvate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Fructose and Mannose Degradation","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Aspartate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Riboflavin Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Glutamate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Butyrate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Arachidonic Acid Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Betaine Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Phenylacetate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Gluconeogenesis","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Lactose Synthesis","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Spermidine and Spermine Biosynthesis","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Phytanic Acid Peroxisomal Oxidation","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Inositol Phosphate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Phosphatidylinositol Phosphate Metabolism","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Plasmalogen Synthesis","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Warburg Effect","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","De Novo Triacylglycerol Biosynthesis","Magnesium"
"Misame (3-4 mo.)","BEP/IFA","down","Estrone Metabolism","Magnesium"
