ID,Description,gene_ratio,fold_enrichment,p_value,fdr,study,timepoint,contrast,regulation
GO:0006793,phosphorus metabolic process,40/132,-1.48484848484848,0.00317034097358234,0.0801443549057065,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0006796,phosphate-containing compound metabolic process,40/132,-1.48484848484848,0.00317034097358234,0.0801443549057065,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0051641,cellular localization,66/179,-1.31668374599187,0.00325269327566568,0.113702843201531,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,7/132,-3.32606060606061,0.00338730272019202,0.0843880199421752,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0099003,vesicle-mediated transport in synapse,10/179,-2.49741361473205,0.00341966718187091,0.116996272945711,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0009267,cellular response to starvation,9/179,-2.63857177556473,0.00355835298783392,0.119204825092436,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0012501,programmed cell death,31/132,-1.58725182863114,0.00374999737142619,0.0920892211640231,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0015031,protein transport,38/179,-1.48973626088086,0.00376332847090394,0.123498615943133,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0008219,cell death,31/132,-1.58043958902328,0.00401968111834512,0.097321575245567,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0034440,lipid oxidation,6/179,-3.37150837988827,0.00416802022141293,0.131987409439598,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0051604,protein maturation,25/179,-1.66906355440013,0.00418616783670366,0.131987409439598,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0032479,regulation of type I interferon production,5/132,-4.24242424242424,0.00421583370449923,0.0992742210689612,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0032606,type I interferon production,5/132,-4.24242424242424,0.00421583370449923,0.0992742210689612,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0080090,regulation of primary metabolic process,54/132,-1.35043062200957,0.00438876194232683,0.101949753768376,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0009259,ribonucleotide metabolic process,14/179,-2.0522224921059,0.00459958194790549,0.142233226389077,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0016070,RNA metabolic process,33/132,-1.53125,0.00495428011551963,0.11355210024771,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0010638,positive regulation of organelle organization,17/179,-1.87920139206887,0.00508193253507976,0.152487681720148,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0010608,post-transcriptional regulation of gene expression,15/132,-2.02479338842975,0.0051157114273144904,0.115709315046758,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0006164,purine nucleotide biosynthetic process,8/179,-2.69720670391061,0.00512085498313928,0.152487681720148,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0043085,positive regulation of catalytic activity,16/132,-1.95938769134645,0.00538295473974226,0.11925949888754,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0031324,negative regulation of cellular metabolic process,28/132,-1.5990675990676,0.00545234681160225,0.11925949888754,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0032787,monocarboxylic acid metabolic process,22/179,-1.70513067488602,0.00549095200200314,0.159815021798976,MISAME-III,1-2 mo.,BEP,Downregulated
GO:0006355,regulation of DNA-templated transcription,24/132,-1.67700534759358,0.00561428225000555,0.11925949888754,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:2001141,regulation of RNA biosynthetic process,24/132,-1.67700534759358,0.00561428225000555,0.11925949888754,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
GO:0031323,regulation of cellular metabolic process,54/132,-1.33636363636364,0.0056293858662699,0.11925949888754,Mumta-LW,2 mo.,BEP+ExBf,Downregulated
