"study","contrast","direction","pathway","feature"
"Misame (1-2 mo.)","BEP/BEP","up","Beta-Alanine Metabolism","beta-Alanine"
"Misame (1-2 mo.)","BEP/BEP","up","Beta-Alanine Metabolism","Methylhistidine"
"Misame (1-2 mo.)","BEP/BEP","up","Propanoate Metabolism","beta-Alanine"
"Misame (1-2 mo.)","BEP/BEP","up","Taurine and Hypotaurine Metabolism","Taurine"
"Misame (1-2 mo.)","BEP/BEP","up","Bile Acid Biosynthesis","Taurine"
"Misame (1-2 mo.)","BEP/BEP","up","Bile Acid Biosynthesis","Cholic acid"
"Misame (1-2 mo.)","BEP/BEP","up","Bile Acid Biosynthesis","Deoxycholic acid"
"Misame (1-2 mo.)","BEP/BEP","up","Histidine Metabolism","beta-Alanine"
"Misame (1-2 mo.)","BEP/BEP","up","Histidine Metabolism","Methylhistidine"
"Misame (1-2 mo.)","BEP/BEP","up","Pyrimidine Metabolism","beta-Alanine"
"Misame (1-2 mo.)","BEP/BEP","up","Aspartate Metabolism","beta-Alanine"
"Misame (1-2 mo.)","BEP/BEP","up","Glutamate Metabolism","gamma-Aminobutyric acid"
"Misame (1-2 mo.)","BEP/BEP","up","Methylhistidine Metabolism","Methylhistidine"
