"study","contrast","direction","pathway","feature"
"Elicit (5 mo.)","Nico","down","Tyrosine Metabolism","L-Aspartic acid"
"Elicit (5 mo.)","Nico","down","Beta-Alanine Metabolism","L-Aspartic acid"
"Elicit (5 mo.)","Nico","down","Ammonia Recycling","L-Aspartic acid"
"Elicit (5 mo.)","Nico","down","Arginine and Proline Metabolism","L-Aspartic acid"
"Elicit (5 mo.)","Nico","down","Purine Metabolism","L-Aspartic acid"
"Elicit (5 mo.)","Nico","down","Urea Cycle","L-Aspartic acid"
"Elicit (5 mo.)","Nico","down","Tryptophan Metabolism","Indoleacetic acid"
"Elicit (5 mo.)","Nico","down","Aspartate Metabolism","L-Aspartic acid"
"Elicit (5 mo.)","Nico","down","Glutamate Metabolism","L-Aspartic acid"
"Elicit (5 mo.)","Nico","down","Malate-Aspartate Shuttle","L-Aspartic acid"
