"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (3-4 mo.)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism",7,4,2.4,0.163,1
"Misame (3-4 mo.)","BEP/BEP","up","Vitamin B6 Metabolism",8,4,2.74,0.257,1
"Misame (3-4 mo.)","BEP/BEP","up","Pantothenate and CoA Biosynthesis",3,2,1.03,0.266,1
"Misame (3-4 mo.)","BEP/BEP","up","Riboflavin Metabolism",7,2,2.4,0.783,1
"Misame (3-4 mo.)","BEP/BEP","up","Beta-Alanine Metabolism",8,2,2.74,0.854,1
"Misame (3-4 mo.)","BEP/BEP","up","Arginine and Proline Metabolism",5,1,1.71,0.896,1
"Misame (3-4 mo.)","BEP/BEP","up","Pyrimidine Metabolism",5,1,1.71,0.896,1
"Misame (3-4 mo.)","BEP/BEP","up","Valine, Leucine and Isoleucine Degradation",6,1,2.06,0.938,1
