"study","contrast","direction","pathway","feature"
"Vital (1.5 mo.)","BEP+ExBf","up","Glycine and Serine Metabolism","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Glycine and Serine Metabolism","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Pterine Biosynthesis","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Tyrosine Metabolism","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Tyrosine Metabolism","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Beta-Alanine Metabolism","Pantothenic acid"
"Vital (1.5 mo.)","BEP+ExBf","up","Beta-Alanine Metabolism","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Beta-Alanine Metabolism","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Beta-Alanine Metabolism","Flavin mononucleotide"
"Vital (1.5 mo.)","BEP+ExBf","up","Phenylalanine and Tyrosine Metabolism","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Ammonia Recycling","Biotin"
"Vital (1.5 mo.)","BEP+ExBf","up","Ammonia Recycling","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Ammonia Recycling","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Nucleotide Sugars Metabolism","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Inositol Metabolism","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Cysteine Metabolism","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Glutathione Metabolism","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Propanoate Metabolism","Biotin"
"Vital (1.5 mo.)","BEP+ExBf","up","Propanoate Metabolism","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Propanoate Metabolism","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Vitamin B6 Metabolism","Pyridoxine"
"Vital (1.5 mo.)","BEP+ExBf","up","Vitamin B6 Metabolism","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Vitamin B6 Metabolism","Flavin mononucleotide"
"Vital (1.5 mo.)","BEP+ExBf","up","Vitamin B6 Metabolism","Pyridoxal"
"Vital (1.5 mo.)","BEP+ExBf","up","Arginine and Proline Metabolism","NAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Arginine and Proline Metabolism","FAD"
"Vital (1.5 mo.)","BEP+ExBf","up","Arginine and Proline Metabolism","Flavin mononucleotide"
"Vital (1.5 mo.)","BEP+ExBf","up","Steroid Biosynthesis","FAD"
