"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Vital (1.5 mo.)","BEP+ExBf","up","Nicotinate and Nicotinamide Metabolism",7,6,3.2,0.0243,1
"Vital (1.5 mo.)","BEP+ExBf","up","Caffeine Metabolism",2,2,0.914,0.202,1
"Vital (1.5 mo.)","BEP+ExBf","up","Glycerolipid Metabolism",2,2,0.914,0.202,1
"Vital (1.5 mo.)","BEP+ExBf","up","Glycerol Phosphate Shuttle",2,2,0.914,0.202,1
"Vital (1.5 mo.)","BEP+ExBf","up","Mitochondrial Electron Transport Chain",2,2,0.914,0.202,1
"Vital (1.5 mo.)","BEP+ExBf","up","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids",2,2,0.914,0.202,1
"Vital (1.5 mo.)","BEP+ExBf","up","Valine, Leucine and Isoleucine Degradation",6,4,2.74,0.248,1
"Vital (1.5 mo.)","BEP+ExBf","up","Ammonia Recycling",5,3,2.29,0.415,1
"Vital (1.5 mo.)","BEP+ExBf","up","Arginine and Proline Metabolism",5,3,2.29,0.415,1
"Vital (1.5 mo.)","BEP+ExBf","up","Threonine and 2-Oxobutanoate Degradation",5,3,2.29,0.415,1
"Vital (1.5 mo.)","BEP+ExBf","up","Pantothenate and CoA Biosynthesis",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","Bile Acid Biosynthesis",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","Fatty acid Metabolism",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","Butyrate Metabolism",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","Retinol Metabolism",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","Thiamine Metabolism",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","Plasmalogen Synthesis",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,2,1.37,0.434,1
"Vital (1.5 mo.)","BEP+ExBf","up","D-Arginine and D-Ornithine Metabolism",1,1,0.457,0.457,1
"Vital (1.5 mo.)","BEP+ExBf","up","Fatty Acid Elongation In Mitochondria",1,1,0.457,0.457,1
"Vital (1.5 mo.)","BEP+ExBf","up","Biotin Metabolism",1,1,0.457,0.457,1
"Vital (1.5 mo.)","BEP+ExBf","up","Ketone Body Metabolism",1,1,0.457,0.457,1
"Vital (1.5 mo.)","BEP+ExBf","up","Steroidogenesis",1,1,0.457,0.457,1
"Vital (1.5 mo.)","BEP+ExBf","up","Vitamin K Metabolism",1,1,0.457,0.457,1
"Vital (1.5 mo.)","BEP+ExBf","up","Cardiolipin Biosynthesis",1,1,0.457,0.457,1
"Vital (1.5 mo.)","BEP+ExBf","up","Androstenedione Metabolism",1,1,0.457,0.457,1
"Vital (1.5 mo.)","BEP+ExBf","up","Beta-Alanine Metabolism",8,4,3.66,0.548,1
"Vital (1.5 mo.)","BEP+ExBf","up","Vitamin B6 Metabolism",8,4,3.66,0.548,1
"Vital (1.5 mo.)","BEP+ExBf","up","Propanoate Metabolism",6,3,2.74,0.582,1
"Vital (1.5 mo.)","BEP+ExBf","up","Citric Acid Cycle",6,3,2.74,0.582,1
"Vital (1.5 mo.)","BEP+ExBf","up","Glutamate Metabolism",6,3,2.74,0.582,1
