"study","contrast","direction","pathway","feature"
"Misame (3-4 mo.)","BEP/BEP","down","Glycine and Serine Metabolism","Sarcosine"
"Misame (3-4 mo.)","BEP/BEP","down","Glycine and Serine Metabolism","L-Arginine"
"Misame (3-4 mo.)","BEP/BEP","down","Glycine and Serine Metabolism","Methionine"
"Misame (3-4 mo.)","BEP/BEP","down","Glycine and Serine Metabolism","Homocysteine"
"Misame (3-4 mo.)","BEP/BEP","down","Catecholamine Biosynthesis","Homocysteine"
"Misame (3-4 mo.)","BEP/BEP","down","Arginine and Proline Metabolism","L-Arginine"
"Misame (3-4 mo.)","BEP/BEP","down","Methionine Metabolism","Sarcosine"
"Misame (3-4 mo.)","BEP/BEP","down","Methionine Metabolism","Methionine"
"Misame (3-4 mo.)","BEP/BEP","down","Methionine Metabolism","Homocysteine"
"Misame (3-4 mo.)","BEP/BEP","down","Sphingolipid Metabolism","Cer(d18:1/18:0)"
"Misame (3-4 mo.)","BEP/BEP","down","Urea Cycle","L-Arginine"
"Misame (3-4 mo.)","BEP/BEP","down","Aspartate Metabolism","L-Arginine"
"Misame (3-4 mo.)","BEP/BEP","down","Betaine Metabolism","Methionine"
"Misame (3-4 mo.)","BEP/BEP","down","Betaine Metabolism","Homocysteine"
"Misame (3-4 mo.)","BEP/BEP","down","Spermidine and Spermine Biosynthesis","Methionine"
"Misame (3-4 mo.)","BEP/BEP","down","Homocysteine Degradation","Homocysteine"
