"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Inositol Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Propanoate Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Arginine and Proline Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Phospholipid Biosynthesis","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Histidine Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Alanine Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Citric Acid Cycle","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Urea Cycle","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Pyruvate Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Gluconeogenesis","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Lactose Synthesis","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Fatty Acid Biosynthesis","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Phosphatidylinositol Phosphate Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Transfer of Acetyl Groups into Mitochondria","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Degradation of Superoxides","Manganese"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Warburg Effect","Manganese"
