"study","contrast","direction","pathway","feature"
"Misame (3-4 mo.)","BEP","down","Glycine and Serine Metabolism","Ornithine"
"Misame (3-4 mo.)","BEP","down","Glycine and Serine Metabolism","Sarcosine"
"Misame (3-4 mo.)","BEP","down","Glycine and Serine Metabolism","L-Cysteine"
"Misame (3-4 mo.)","BEP","down","Glycine and Serine Metabolism","Homocysteine"
"Misame (3-4 mo.)","BEP","down","Phenylalanine and Tyrosine Metabolism","Phenylalanine"
"Misame (3-4 mo.)","BEP","down","Catecholamine Biosynthesis","Homocysteine"
"Misame (3-4 mo.)","BEP","down","Cysteine Metabolism","L-Cysteine"
"Misame (3-4 mo.)","BEP","down","Glutathione Metabolism","L-Cysteine"
"Misame (3-4 mo.)","BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Misame (3-4 mo.)","BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Dihomo-gamma-linolenic acid"
"Misame (3-4 mo.)","BEP","down","Arginine and Proline Metabolism","Ornithine"
"Misame (3-4 mo.)","BEP","down","Taurine and Hypotaurine Metabolism","L-Cysteine"
"Misame (3-4 mo.)","BEP","down","Pantothenate and CoA Biosynthesis","L-Cysteine"
"Misame (3-4 mo.)","BEP","down","Methionine Metabolism","Sarcosine"
"Misame (3-4 mo.)","BEP","down","Methionine Metabolism","L-Cysteine"
"Misame (3-4 mo.)","BEP","down","Methionine Metabolism","Homocysteine"
"Misame (3-4 mo.)","BEP","down","Urea Cycle","Ornithine"
"Misame (3-4 mo.)","BEP","down","Glutamate Metabolism","L-Cysteine"
"Misame (3-4 mo.)","BEP","down","Arachidonic Acid Metabolism","Arachidonic acid"
"Misame (3-4 mo.)","BEP","down","Betaine Metabolism","Homocysteine"
"Misame (3-4 mo.)","BEP","down","Spermidine and Spermine Biosynthesis","Ornithine"
"Misame (3-4 mo.)","BEP","down","Homocysteine Degradation","L-Cysteine"
"Misame (3-4 mo.)","BEP","down","Homocysteine Degradation","Homocysteine"
