"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","BEP/IFA","up","Beta-Alanine Metabolism","beta-Alanine"
"Misame (14-21 days)","BEP/IFA","up","Ammonia Recycling","L-Asparagine"
"Misame (14-21 days)","BEP/IFA","up","Propanoate Metabolism","beta-Alanine"
"Misame (14-21 days)","BEP/IFA","up","Oxidation of Branched Chain Fatty Acids","L-Carnitine"
"Misame (14-21 days)","BEP/IFA","up","Histidine Metabolism","beta-Alanine"
"Misame (14-21 days)","BEP/IFA","up","Pyrimidine Metabolism","beta-Alanine"
"Misame (14-21 days)","BEP/IFA","up","Fatty acid Metabolism","L-Carnitine"
"Misame (14-21 days)","BEP/IFA","up","Beta Oxidation of Very Long Chain Fatty Acids","L-Carnitine"
"Misame (14-21 days)","BEP/IFA","up","Tryptophan Metabolism","Kynurenine"
"Misame (14-21 days)","BEP/IFA","up","Aspartate Metabolism","beta-Alanine"
"Misame (14-21 days)","BEP/IFA","up","Aspartate Metabolism","L-Asparagine"
"Misame (14-21 days)","BEP/IFA","up","Steroidogenesis","Cortisone"
"Misame (14-21 days)","BEP/IFA","up","Carnitine Synthesis","L-Carnitine"
"Misame (14-21 days)","BEP/IFA","up","Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids","L-Carnitine"
"Misame (14-21 days)","BEP/IFA","up","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids","L-Carnitine"
