"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP","down","Glycine and Serine Metabolism","Glycine"
"Vital (2 mo.)","BEP","down","Glycine and Serine Metabolism","Sarcosine"
"Vital (2 mo.)","BEP","down","Glycine and Serine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP","down","Ammonia Recycling","Glycine"
"Vital (2 mo.)","BEP","down","Catecholamine Biosynthesis","Homocysteine"
"Vital (2 mo.)","BEP","down","Glutathione Metabolism","Glycine"
"Vital (2 mo.)","BEP","down","Arginine and Proline Metabolism","Glycine"
"Vital (2 mo.)","BEP","down","Porphyrin Metabolism","Glycine"
"Vital (2 mo.)","BEP","down","Methionine Metabolism","Glycine"
"Vital (2 mo.)","BEP","down","Methionine Metabolism","Sarcosine"
"Vital (2 mo.)","BEP","down","Methionine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP","down","Bile Acid Biosynthesis","Taurocholic acid"
"Vital (2 mo.)","BEP","down","Bile Acid Biosynthesis","Glycine"
"Vital (2 mo.)","BEP","down","Bile Acid Biosynthesis","Chenodeoxycholic acid glycine conjugate"
"Vital (2 mo.)","BEP","down","Purine Metabolism","Glycine"
"Vital (2 mo.)","BEP","down","Alanine Metabolism","Glycine"
"Vital (2 mo.)","BEP","down","Pyruvate Metabolism","Lactic acid"
"Vital (2 mo.)","BEP","down","Glutamate Metabolism","Glycine"
"Vital (2 mo.)","BEP","down","Betaine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP","down","Gluconeogenesis","Lactic acid"
"Vital (2 mo.)","BEP","down","Spermidine and Spermine Biosynthesis","Spermine"
"Vital (2 mo.)","BEP","down","Homocysteine Degradation","Homocysteine"
"Vital (2 mo.)","BEP","down","Carnitine Synthesis","Glycine"
"Vital (2 mo.)","BEP","down","Warburg Effect","Lactic acid"
