"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","BEP","down","Glycine and Serine Metabolism","L-Threonine"
"Misame (14-21 days)","BEP","down","Glycine and Serine Metabolism","Serine"
"Misame (14-21 days)","BEP","down","Glycine and Serine Metabolism","L-Arginine"
"Misame (14-21 days)","BEP","down","Glycine and Serine Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP","down","Glycine and Serine Metabolism","Homocysteine"
"Misame (14-21 days)","BEP","down","Beta-Alanine Metabolism","Anserine"
"Misame (14-21 days)","BEP","down","Beta-Alanine Metabolism","Methylhistidine"
"Misame (14-21 days)","BEP","down","Ammonia Recycling","L-Asparagine"
"Misame (14-21 days)","BEP","down","Ammonia Recycling","Serine"
"Misame (14-21 days)","BEP","down","Catecholamine Biosynthesis","Homocysteine"
"Misame (14-21 days)","BEP","down","Cysteine Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP","down","Glutathione Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Misame (14-21 days)","BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Dihomo-gamma-linolenic acid"
"Misame (14-21 days)","BEP","down","Arginine and Proline Metabolism","Proline"
"Misame (14-21 days)","BEP","down","Arginine and Proline Metabolism","L-Arginine"
"Misame (14-21 days)","BEP","down","Arginine and Proline Metabolism","4-Hydroxyproline"
"Misame (14-21 days)","BEP","down","Taurine and Hypotaurine Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP","down","Pantothenate and CoA Biosynthesis","L-Cysteine"
"Misame (14-21 days)","BEP","down","Selenoamino Acid Metabolism","Serine"
"Misame (14-21 days)","BEP","down","Methionine Metabolism","Serine"
"Misame (14-21 days)","BEP","down","Methionine Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP","down","Methionine Metabolism","Homocysteine"
"Misame (14-21 days)","BEP","down","Sphingolipid Metabolism","Serine"
"Misame (14-21 days)","BEP","down","Histidine Metabolism","Anserine"
"Misame (14-21 days)","BEP","down","Histidine Metabolism","Methylhistidine"
"Misame (14-21 days)","BEP","down","Beta Oxidation of Very Long Chain Fatty Acids","Dodecanoic acid"
"Misame (14-21 days)","BEP","down","Urea Cycle","L-Arginine"
"Misame (14-21 days)","BEP","down","Aspartate Metabolism","L-Asparagine"
"Misame (14-21 days)","BEP","down","Aspartate Metabolism","L-Arginine"
"Misame (14-21 days)","BEP","down","Glutamate Metabolism","L-Cysteine"
"Misame (14-21 days)","BEP","down","Arachidonic Acid Metabolism","Arachidonic acid"
"Misame (14-21 days)","BEP","down","Betaine Metabolism","Homocysteine"
"Misame (14-21 days)","BEP","down","Threonine and 2-Oxobutanoate Degradation","L-Threonine"
"Misame (14-21 days)","BEP","down","Homocysteine Degradation","Serine"
"Misame (14-21 days)","BEP","down","Homocysteine Degradation","L-Cysteine"
"Misame (14-21 days)","BEP","down","Homocysteine Degradation","Homocysteine"
"Misame (14-21 days)","BEP","down","Fatty Acid Biosynthesis","Dodecanoic acid"
"Misame (14-21 days)","BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Dodecanoic acid"
"Misame (14-21 days)","BEP","down","Methylhistidine Metabolism","Methylhistidine"
"Misame (14-21 days)","BEP","down","Phosphatidylethanolamine Biosynthesis","Serine"
