"study","contrast","direction","pathway","feature"
"Misame (1-2 mo.)","BEP/IFA","down","Tyrosine Metabolism","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Beta-Alanine Metabolism","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Ammonia Recycling","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Arginine and Proline Metabolism","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Arginine and Proline Metabolism","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Oxidation of Branched Chain Fatty Acids","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Valine, Leucine and Isoleucine Degradation","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Sphingolipid Metabolism","Cer(d18:1/18:0)"
"Misame (1-2 mo.)","BEP/IFA","down","Bile Acid Biosynthesis","Lithocholic acid glycine conjugate"
"Misame (1-2 mo.)","BEP/IFA","down","Purine Metabolism","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Beta Oxidation of Very Long Chain Fatty Acids","Dodecanoic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Citric Acid Cycle","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Urea Cycle","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Pyruvate Metabolism","Lactic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Tryptophan Metabolism","Indoleacetic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Aspartate Metabolism","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Ketone Body Metabolism","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Glutamate Metabolism","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Glutamate Metabolism","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Butyrate Metabolism","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Arachidonic Acid Metabolism","Arachidonic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Gluconeogenesis","Lactic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Malate-Aspartate Shuttle","L-Aspartic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Mitochondrial Electron Transport Chain","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Spermidine and Spermine Biosynthesis","Spermine"
"Misame (1-2 mo.)","BEP/IFA","down","Phytanic Acid Peroxisomal Oxidation","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Fatty Acid Biosynthesis","Dodecanoic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Fatty Acid Biosynthesis","Myristic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Carnitine Synthesis","Succinic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Dodecanoic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids","Stearoylcarnitine"
"Misame (1-2 mo.)","BEP/IFA","down","Warburg Effect","Lactic acid"
"Misame (1-2 mo.)","BEP/IFA","down","Warburg Effect","Succinic acid"
