"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","1-2 mo.","BEP","down","14:1(9Z)","Myristoleic Acid",0.00190103323939753,0.722381443721595,0.846218262645297
"Vital","1.5 mo.","BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",0.0196532293551506,0.741760333172597,0.942884784956782
"Vital","1.5 mo.","BEP","up","18:2(9Z,12Z)",NA,0.00783427867789875,0.749023362486759,0.942884784956782
"Misame","14-21 days","BEP","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.00721078574879744,0.750111916300925,0.87644360838824
"Misame","1-2 mo.","BEP","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0547603410698649,0.751305609813475,0.925363831206488
"Misame","1-2 mo.","BEP","up","19:1(9Z)","9Z-Nonadecenoic Acid",0.00381177196394588,0.756494922213653,0.925363831206488
"Misame","3-4 mo.","BEP","down","14:0","Myristic Acid",-0.0926538276538276,0.758750810658444,0.84305645628716
"Misame","14-21 days","BEP","up","18:2(9Z,12Z)",NA,-0.0145161865207939,0.758774232622177,0.87644360838824
"Vital","1.5 mo.","BEP","up","unknown",NA,-0.0277777777777778,0.767096868410277,0.942884784956782
"Elicit","1 mo.","Nico","up","unknown",NA,0.0138888888888889,0.767096868410277,0.99955046489824
"Misame","14-21 days","BEP","up","13:0","Tridecylic Acid",-0.0237648594791452,0.776270794982516,0.87644360838824
"Misame","1-2 mo.","BEP","up","18:1(9Z)",NA,-0.00779411702336603,0.779253752594937,0.925363831206488
"Vital","1.5 mo.","BEP","up","17:0","Margaric Acid",-0.0263601398235786,0.785737320797318,0.942884784956782
"Misame","14-21 days","BEP","up","14:1(9Z)","Myristoleic Acid",0.00129284790766483,0.78753742921051,0.87644360838824
"Misame","14-21 days","BEP","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0821932533697239,0.788799247549416,0.87644360838824
"Misame","1-2 mo.","BEP","down","20:3(5Z,8Z,11Z)","Mead Acid",0.0116140254204164,0.805972207657049,0.912452675613324
"Elicit","1 mo.","Nico","up","18:1(9Z)",NA,0.0297420180540832,0.809042495103461,1
"Misame","14-21 days","BEP","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0207564942180327,0.811254134791838,0.877031497072257
"Misame","3-4 mo.","BEP","up","18:2(9Z,12Z)",NA,-0.00341333959813224,0.817497468931532,0.922081997768921
"Vital","1.5 mo.","BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",0.00582826308902865,0.817701425728921,0.953984996683741
"Misame","1-2 mo.","BEP","down","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",0.00590099201210312,0.823432902382755,0.912452675613324
"Elicit","1 mo.","Nico","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",0.0087970256750161,0.825407395367036,1
"Misame","3-4 mo.","BEP","up","18:0",NA,-0.00676043942258903,0.835318318512119,0.922081997768921
"Elicit","1 mo.","Nico","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.00255144743866548,0.8372355180231,1
"Misame","3-4 mo.","BEP","up","16:1(9Z)","Palmitoleic Acid",-0.0129695627930197,0.83815592099539,0.922081997768921
"Misame","1-2 mo.","BEP","down","18:2(9Z,12Z)",NA,0.0258493717897743,0.850300788585517,0.91742979821069
"Misame","1-2 mo.","BEP","up","20:3(5Z,8Z,11Z)","Mead Acid",-0.0213566827697262,0.854445067629532,0.956287395869152
"Misame","3-4 mo.","BEP","up","18:1(9Z)",NA,-0.029158831405862,0.856397107996049,0.922081997768921
"Misame","14-21 days","BEP","up","18:1(9Z)",NA,-0.0226832024672935,0.85766475537384,0.902805005656674
"Vital","1.5 mo.","BEP","up","16:0","Palmitic Acid",-0.00286710201909446,0.860242274661322,0.976491230696636
"Misame","1-2 mo.","BEP","up","20:2(11Z,14Z)","Eicosadienoic Acid",0.00783984533984533,0.867632334778193,0.956287395869152
"Misame","3-4 mo.","BEP","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0553228407395074,0.868066671411253,0.922081997768921
"Elicit","1 mo.","Nico","up","18:1(11Z)",NA,0.00628145320447512,0.875479960009315,1
"Misame","3-4 mo.","BEP","up","20:0",NA,-0.0325892338823373,0.875977897880475,0.922081997768921
"Misame","1-2 mo.","BEP","up","20:2n6","11,14-Eicosadienoic Acid",-0.0487942760406528,0.880791022511061,0.956287395869152
"Misame","14-21 days","BEP","up","20:3(5Z,8Z,11Z)","Mead Acid",-0.000509369701228064,0.884382459403533,0.907058932721572
"Vital","1.5 mo.","BEP","up","19:1(9Z)","9Z-Nonadecenoic Acid",-0.000937042066416684,0.897084098006294,0.991514003059588
"Misame","3-4 mo.","BEP","down","18:0",NA,-0.0291831119699972,0.910614009796217,0.910614009796217
"Misame","1-2 mo.","BEP","down","18:3(9Z,12Z,15Z)","α-Linolenic Acid",-0.000814052280217692,0.916801502870209,0.95783624965227
"Misame","3-4 mo.","BEP","up","22:3(10Z,13Z,16Z)",NA,-0.00175259849930062,0.923545357955807,0.947226008159802
"Vital","1.5 mo.","BEP","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0312174708008041,0.929333162343696,1
"Misame","1-2 mo.","BEP","down","15:1(9Z)","9Z-Pentadecenoic Acid",-0.00590899709908425,0.934474389904654,0.95783624965227
"Misame","3-4 mo.","BEP","up","14:0","Myristic Acid",-0.00740038319720816,0.949030215509979,0.949030215509979
"Misame","14-21 days","BEP","down","18:0",NA,-0.0358034620746485,0.951352460362588,1
"Misame","14-21 days","BEP","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.00657755439005439,0.961079829345489,0.961079829345489
"Elicit","1 mo.","Nico","up","22:1(11Z)",NA,0.0057061093088662,0.978046182978022,1
"Elicit","1 mo.","Nico","up","20:3(5Z,8Z,11Z)","Mead Acid",-0.00500915530348754,0.978973845366484,1
"Vital","1.5 mo.","BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0160457859086304,0.992128165203075,1
"Misame","14-21 days","BEP","down","20:2n6","11,14-Eicosadienoic Acid",0.0277130277130277,1,1
"Misame","1-2 mo.","BEP","down","PG(P-16:0)",NA,0.1,1,1
"Misame","1-2 mo.","BEP","up","12:0","Lauric Acid",0.000876732694914513,1,1
"Misame","1-2 mo.","BEP","up","21:0","Heneicosylic Acid",0.00694444444444445,1,1
"Misame","1-2 mo.","BEP","up","22:3(10Z,13Z,16Z)",NA,-0.00488842880147228,1,1
"Vital","1.5 mo.","BEP","up","22:1(13Z)",NA,-0.0195767195767196,1,1
"Vital","1.5 mo.","BEP","up","PG(P-16:0)",NA,0.1,1,1
"Elicit","1 mo.","Nico","up","1-tetradecanoyl-2,3-dioleoyl-sn-glycerol",NA,0.00833333333333333,1,1
"Elicit","1 mo.","Nico","up","22:1(13Z)",NA,0.027744708994709,1,1
"Elicit","1 mo.","Nico","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.000383112258112259,1,1
"Elicit","1 mo.","Nico","up","PG(P-16:0)",NA,0.1,1,1
