"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","3-4 mo.","BEP","up","22:1(11Z)",NA,0.032198747307443,0.122860376078369,0.585208260048278
"Vital","1.5 mo.","BEP","up","20:0",NA,0.034269598246871,0.134419528491263,0.513238199693913
"Misame","14-21 days","BEP","down","16:1(9Z)","Palmitoleic Acid",0.207860928245544,0.134469895170949,0.456117940819304
"Elicit","1 mo.","Nico","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",0.00107056392526959,0.135554468508705,0.419131742922936
"Elicit","1 mo.","Nico","up","18:2(9Z,12Z)",NA,0.0420813853997936,0.13646149769584,0.419131742922936
"Misame","1-2 mo.","BEP","down","20:1(11Z)","Gondoic Acid",-0.028416831472387,0.137995959585129,0.554381659360247
"Misame","3-4 mo.","BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0526151336750752,0.13803788153249,0.585208260048278
"Misame","3-4 mo.","BEP","up","20:3(5Z,8Z,11Z)","Mead Acid",-0.0248011339483226,0.146302065012069,0.585208260048278
"Elicit","1 mo.","Nico","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",-0.0227520448464253,0.152142332409291,0.436141352906635
"Misame","1-2 mo.","BEP","down","19:1(9Z)","9Z-Nonadecenoic Acid",0.00787432478954737,0.153776287140047,0.554381659360247
"Misame","14-21 days","BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",-0.00386943152466028,0.154224456624325,0.677532404377027
"Misame","3-4 mo.","BEP","up","18:1(11Z)",NA,0.0348627216882093,0.161435718250753,0.587038975457285
"Misame","1-2 mo.","BEP","down","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0571182305946849,0.162258046642023,0.554381659360247
"Vital","1.5 mo.","BEP","up","18:1(9Z)",NA,0.0429383010897282,0.164256823017423,0.546272787120363
"Misame","1-2 mo.","BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0388510563510564,0.169490416994576,0.867114778662396
"Elicit","1 mo.","Nico","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",-0.0235689871851835,0.174821670615604,0.448398945163949
"Elicit","1 mo.","Nico","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0150889044291842,0.177274001576445,0.448398945163949
"Vital","1.5 mo.","BEP","up","20:3n6",NA,0.0426825576261666,0.177752756104523,0.546272787120363
"Misame","14-21 days","BEP","down","13:0","Tridecylic Acid",0.0159085443176352,0.17851125919047,0.456117940819304
"Misame","14-21 days","BEP","up","14:0","Myristic Acid",-0.0129823529329137,0.185626925364822,0.677532404377027
"Vital","1.5 mo.","BEP","up","20:3(5Z,8Z,11Z)","Mead Acid",0.0207084085229136,0.193300558493524,0.546272787120363
"Misame","3-4 mo.","BEP","up","20:2n6","11,14-Eicosadienoic Acid",-0.0428414314185808,0.193747502837926,0.602882626576806
"Vital","1.5 mo.","BEP","up","21:0","Heneicosylic Acid",0.00575356742023408,0.195097423971558,0.546272787120363
"Elicit","1 mo.","Nico","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,0.0857846683739541,0.196022069981427,0.468274944955631
"Misame","14-21 days","BEP","down","15:0","Pentadecylic Acid",0.00349365389687969,0.197048395248102,0.456117940819304
"Misame","14-21 days","BEP","up","20:1(11Z)","Gondoic Acid",0.0446801751489251,0.200091246552568,0.677532404377027
"Misame","1-2 mo.","BEP","up","20:1(11Z)","Gondoic Acid",-0.126594115760782,0.202396015972959,0.867114778662396
"Misame","1-2 mo.","BEP","down","20:2n6","11,14-Eicosadienoic Acid",0.0463208672419199,0.202871506028328,0.639825519012418
"Misame","14-21 days","BEP","down","19:0","Nonadecylic Acid",0.0135915431369977,0.207828256055683,0.456117940819304
"Misame","14-21 days","BEP","up","22:0",NA,0.00933048433048433,0.211288536757243,0.677532404377027
"Misame","1-2 mo.","BEP","up","13:0","Tridecylic Acid",-0.0213403880070547,0.213042030337584,0.867114778662396
"Misame","1-2 mo.","BEP","up","18:0",NA,0.00181111159372029,0.214306982925463,0.867114778662396
"Misame","3-4 mo.","BEP","down","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.237704193954194,0.224591470852878,0.84305645628716
"Elicit","1 mo.","Nico","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0251503280669947,0.225910827156988,0.511271871986868
"Misame","14-21 days","BEP","down","12:0","Lauric Acid",0.012496325223598,0.228058970409652,0.456117940819304
"Misame","1-2 mo.","BEP","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.00657425907425907,0.232406654954841,0.867114778662396
"Misame","14-21 days","BEP","up","22:1(13Z)",NA,0.135396825396825,0.234763662827669,0.677532404377027
"Misame","3-4 mo.","BEP","up","22:1(13Z)",NA,0.135396825396825,0.234763662827669,0.602882626576806
"Misame","1-2 mo.","BEP","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.00407051282051282,0.235679913429038,0.867114778662396
"Misame","3-4 mo.","BEP","up","22:0",NA,-0.010515873015873,0.24279450485284,0.602882626576806
"Misame","3-4 mo.","BEP","up","20:2(11Z,14Z)","Eicosadienoic Acid",0.00426456259789593,0.251861797760865,0.602882626576806
"Misame","1-2 mo.","BEP","up","18:1(11Z)",NA,0.0378290277788605,0.256641816837396,0.867114778662396
"Vital","1.5 mo.","BEP","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0436846255596256,0.257088982119276,0.655336848840664
"Misame","1-2 mo.","BEP","down","18:1(11Z)",NA,-0.0247974790455993,0.260625964258522,0.678622043816735
"Misame","1-2 mo.","BEP","down","22:1(11Z)",NA,-0.00327108958061339,0.261202653143241,0.678622043816735
"Misame","1-2 mo.","BEP","up","16:1(9Z)","Palmitoleic Acid",-0.0192496667762368,0.262050026659881,0.867114778662396
"Elicit","1 mo.","Nico","up","15:1(9Z)","9Z-Pentadecenoic Acid",0.00346507180728929,0.262069442640877,0.563449301677884
"Misame","3-4 mo.","BEP","up","20:3n6",NA,-0.0586907132453691,0.262709048218765,0.602882626576806
"Misame","14-21 days","BEP","up","19:1(9Z)","9Z-Nonadecenoic Acid",0.00742507221665221,0.267034264974987,0.677532404377027
"Misame","1-2 mo.","BEP","down","unknown",NA,0.0625,0.276500480083433,0.678622043816735
"Vital","1.5 mo.","BEP","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",-0.00318606119532046,0.278134267552836,0.655336848840664
"Misame","3-4 mo.","BEP","up","19:1(9Z)","9Z-Nonadecenoic Acid",0.0068923917775708,0.279559059639004,0.602882626576806
"Vital","1.5 mo.","BEP","up","18:1(11Z)",NA,0.010092881466642,0.280858649503141,0.655336848840664
"Misame","14-21 days","BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.00313760203854378,0.281025788387869,0.677532404377027
"Misame","3-4 mo.","BEP","up","16:0","Palmitic Acid",-0.0338163047951052,0.281274780294859,0.602882626576806
"Misame","14-21 days","BEP","up","19:0","Nonadecylic Acid",0.00440359698172198,0.282402375067975,0.677532404377027
"Elicit","1 mo.","Nico","up","17:1(9Z)",NA,-0.036637046012046,0.284823975156646,0.575583807668571
"Misame","3-4 mo.","BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0029070209037791,0.2923073364088,0.602882626576806
"Misame","1-2 mo.","BEP","up","20:0",NA,0.0151515151515152,0.29311395567331,0.867114778662396
"Elicit","1 mo.","Nico","up","21:0","Heneicosylic Acid",-0.00720164609053497,0.294484738807176,0.575583807668571
"Misame","1-2 mo.","BEP","down","20:3n6",NA,0.0329829508230055,0.296135564958288,0.678622043816735
"Misame","3-4 mo.","BEP","up","19:0","Nonadecylic Acid",0.00536042240587695,0.301441313288403,0.602882626576806
"Vital","1.5 mo.","BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",-0.00218195447787285,0.323683182814646,0.705342719768409
"Misame","14-21 days","BEP","down","17:0","Margaric Acid",-0.00152021284096755,0.330712398666145,0.566935540570535
"Misame","14-21 days","BEP","up","20:0",NA,-0.00993421316337983,0.332053998227591,0.677532404377027
"Misame","1-2 mo.","BEP","down","22:3(10Z,13Z,16Z)",NA,0.0136892722982948,0.332595610306022,0.678622043816735
"Misame","1-2 mo.","BEP","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.0379059829059829,0.332921608065566,0.867114778662396
"Vital","1.5 mo.","BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",-0.0250781473681114,0.344424820501604,0.705342719768409
"Misame","3-4 mo.","BEP","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.0299878613913702,0.346416451844195,0.659840860655609
"Elicit","1 mo.","Nico","up","18:0",NA,-0.000148258225507542,0.350941438556505,0.65610790686651
"Misame","1-2 mo.","BEP","down","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0099820153391582,0.35111859540794,0.678622043816735
"Misame","3-4 mo.","BEP","down","12:0","Lauric Acid",0.012379025295692,0.358730559799974,0.84305645628716
"Vital","1.5 mo.","BEP","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.0392445659753352,0.359157764377312,0.705342719768409
"Misame","1-2 mo.","BEP","down","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",0.0292613001729543,0.362127138677426,0.678622043816735
"Misame","14-21 days","BEP","up","18:1(11Z)",NA,0.0235097099305865,0.362777454272431,0.677532404377027
"Misame","14-21 days","BEP","up","12:0","Lauric Acid",-0.0029251818140707,0.369085071939988,0.677532404377027
"Vital","1.5 mo.","BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",-0.0258997833493516,0.369465234164405,0.705342719768409
"Misame","1-2 mo.","BEP","down","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.00746190537857204,0.37314449962346,0.678622043816735
"Misame","1-2 mo.","BEP","up","16:0","Palmitic Acid",-0.0383818626111116,0.384377336476309,0.867114778662396
"Misame","14-21 days","BEP","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.039148446361365,0.388276553242877,0.677532404377027
"Misame","3-4 mo.","BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0561927934246044,0.39687123610642,0.711311722437832
"Misame","1-2 mo.","BEP","down","21:0","Heneicosylic Acid",0.00728110834171441,0.401359575791211,0.678622043816735
"Misame","14-21 days","BEP","up","18:0",NA,0.00354968854220747,0.40468576788626,0.677532404377027
"Vital","1.5 mo.","BEP","up","19:0","Nonadecylic Acid",0.00249487823561898,0.405146219310534,0.739832226567063
"Misame","1-2 mo.","BEP","down","16:0","Palmitic Acid",0.0193341862520491,0.408642856931696,0.678622043816735
"Misame","3-4 mo.","BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",-0.0042763949013949,0.409004240401753,0.711311722437832
"Misame","14-21 days","BEP","up","17:0","Margaric Acid",-0.0214721825015943,0.40988022484237,0.677532404377027
"Elicit","1 mo.","Nico","up","20:0",NA,0.0390132726392481,0.410458203823047,0.735404281849626
"Misame","1-2 mo.","BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0420246721877157,0.411007924679027,0.867114778662396
"Misame","1-2 mo.","BEP","up","22:0",NA,0.0104166666666667,0.414216178242525,0.867114778662396
"Misame","14-21 days","BEP","up","20:2(11Z,14Z)","Eicosadienoic Acid",0.00141153489367775,0.415835785334284,0.677532404377027
"Misame","1-2 mo.","BEP","down","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",0.0037823529127877,0.41897156174983,0.678622043816735
"Misame","14-21 days","BEP","up","17:1(9Z)",NA,0.00719403281903282,0.424145335822315,0.677532404377027
"Misame","1-2 mo.","BEP","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.00551739926739926,0.426325543384408,0.867114778662396
"Misame","1-2 mo.","BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",0.00798021624108581,0.430222691132191,0.867114778662396
