"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","14-21 days","IFA/BEP","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0662088983141615,0.59844355672523,0.767918802296603
"Misame","1-2 mo.","BEP/IFA","down","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0230258873679926,0.599725712554636,0.932906663973878
"Misame","14-21 days","IFA/BEP","down","15:0","Pentadecylic Acid",0.00385634377569861,0.599804011483653,0.814019729870672
"Misame","3-4 mo.","BEP/BEP","up","19:1(9Z)","9Z-Nonadecenoic Acid",-0.00252076581214643,0.606988809531368,0.849563870972087
"Misame","1-2 mo.","IFA/BEP","up","20:0",NA,-0.00973003848003848,0.608904788810753,0.913357183216129
"Misame","3-4 mo.","IFA/BEP","up","19:0","Nonadecylic Acid",-0.00204805240182599,0.612862704851152,0.907036803179705
"Misame","14-21 days","IFA/BEP","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.00161623869957203,0.620299419639784,0.767918802296603
"Elicit","1 mo.","Nico","up","15:0","Pentadecylic Acid",-0.0133686936752974,0.625384250706574,0.625384250706574
"Misame","14-21 days","IFA/BEP","up","18:1(11Z)",NA,0.00124253201694702,0.630087222397213,0.767918802296603
"Elicit","5 mo.","Az.","up","22:0",NA,-0.017047619047619,0.631980790777969,0.733798966222086
"Vital","1.5 mo.","BEP+ExBf","up","20:3(5Z,8Z,11Z)","Mead Acid",0.0166685559643198,0.636839427574198,0.895917729292156
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:3(5Z,8Z,11Z)","Mead Acid",-0.000391683787778541,0.638721171955968,0.86607378268101
"Misame","14-21 days","BEP/BEP","up","14:1(9Z)","Myristoleic Acid",-0.00312182372251023,0.64356502223268,0.85808669631024
"Misame","1-2 mo.","IFA/BEP","down","15:1(9Z)","9Z-Pentadecenoic Acid",0.00381724700322261,0.643970043074362,0.985875288691444
"Vital","1.5 mo.","BEP+ExBf+AZT","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",-0.0269401550830122,0.644003581993572,0.86607378268101
"Elicit","5 mo.","Az.","up","17:0","Margaric Acid",-0.0301559221202078,0.64737029311479,0.733798966222086
"Misame","3-4 mo.","BEP/BEP","up","12:0","Lauric Acid",-1.77337863905003e-05,0.651520270003333,0.849563870972087
"Misame","3-4 mo.","BEP/BEP","up","20:2(11Z,14Z)","Eicosadienoic Acid",-0.0109459984459984,0.657726867849357,0.849563870972087
"Elicit","5 mo.","Az.","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0643965615704746,0.661539192756742,0.733798966222086
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",0.0148507696947465,0.667937724563177,0.86831904193213
"Vital","1.5 mo.","BEP+ExBf","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0128629400518478,0.672479059648495,0.895917729292156
"Vital","1.5 mo.","BEP+ExBf","up","18:2(9Z,12Z)",NA,-0.000469767239231228,0.677401209952606,0.895917729292156
"Misame","1-2 mo.","BEP/BEP","down","15:0","Pentadecylic Acid",-0.000418110175494146,0.677637653007985,1
"Elicit","5 mo.","Az.","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.041978491978492,0.680129476902023,0.733798966222086
"Misame","1-2 mo.","IFA/BEP","down","18:3(9Z,12Z,15Z)","α-Linolenic Acid",-0.000355307046236493,0.683420837492447,0.985875288691444
"Elicit","5 mo.","Az.","up","19:0","Nonadecylic Acid",-0.00688909644389096,0.687936530833206,0.733798966222086
"Misame","1-2 mo.","BEP/BEP","down","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",0.0403138794653639,0.694235880532806,1
"Misame","1-2 mo.","BEP/IFA","down","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.0326052620219287,0.696376685502456,0.983515565076854
"Misame","1-2 mo.","IFA/BEP","down","12:0","Lauric Acid",-0.000181778776101121,0.698520876955647,0.985875288691444
"Misame","3-4 mo.","BEP/BEP","up","18:1(11Z)",NA,-0.000366055850511957,0.706981531271319,0.876657098776436
