"study","timepoint","contrast","direction","fatty_acid","fatty_acid_name","enrichment_ratio","raw_p","fdr_native"
"Misame","14-21 days","BEP/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.0783534688040559,3.06550187479038e-06,0.000122620074991615
"Misame","14-21 days","IFA/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.0998845855680723,5.5902656349567e-06,0.000218020359763311
"Misame","14-21 days","BEP/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.0738336157498688,1.0027101767794e-05,0.000200542035355881
"Misame","14-21 days","IFA/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.0939437526470071,3.91010988575992e-05,0.000762471427723184
"Misame","3-4 mo.","IFA/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.113717625961034,0.000111205034084279,0.002296528514612
"Misame","3-4 mo.","IFA/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.112432867803012,0.000124136676465514,0.002296528514612
"Vital","1.5 mo.","BEP+ExBf+AZT","up","16:1(9Z)","Palmitoleic Acid",-0.0396387144005057,0.000182583086429827,0.00712074037076326
"Misame","1-2 mo.","IFA/BEP","down","19:0","Nonadecylic Acid",0.0216873382349573,0.000322646180274837,0.0125832010307186
"Vital","1.5 mo.","BEP+ExBf+AZT","up","14:0","Myristic Acid",-0.0534100987780543,0.000457283990321466,0.00891703781126858
"Misame","3-4 mo.","BEP/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.125914945759981,0.000475223435995511,0.00747424840334351
"Misame","3-4 mo.","BEP/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.124624853663819,0.000482209574409258,0.00747424840334351
"Misame","1-2 mo.","BEP/IFA","down","14:0","Myristic Acid",0.147459006158382,0.000788306850336518,0.0331088877141337
"Vital","1.5 mo.","BEP+ExBf","up","14:0","Myristic Acid",-0.0635596896468744,0.00100098966889234,0.0410405764245858
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:1(11Z)","Gondoic Acid",-0.0312639293562027,0.0012172144474801,0.0158237878172413
"Vital","1.5 mo.","BEP+ExBf+AZT","up","14:1(9Z)","Myristoleic Acid",-0.0204488761593605,0.00191551519141208,0.0186762731162678
"Misame","14-21 days","IFA/BEP","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",0.00796926757453074,0.00211888511258284,0.027545506463577
"Vital","1.5 mo.","BEP+ExBf+AZT","up","15:0","Pentadecylic Acid",-0.0339020305091734,0.00286562273001547,0.0223518572941207
"Vital","1.5 mo.","BEP+ExBf","up","20:1(11Z)","Gondoic Acid",-0.042659372723602,0.00299518665513629,0.0614013264302939
"Misame","1-2 mo.","BEP/IFA","down","14:1(9Z)","Myristoleic Acid",0.040313765004491,0.00598551287553996,0.125695770386339
"Misame","14-21 days","BEP/BEP","up","16:0","Palmitic Acid",-0.0595666424503421,0.00608092131520986,0.0810789508694648
"Vital","1.5 mo.","BEP+ExBf","up","14:1(9Z)","Myristoleic Acid",-0.0181406277629686,0.00659186997262103,0.0900888896258207
"Misame","1-2 mo.","IFA/BEP","down","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.0773388965790927,0.00744261425019821,0.106165058618676
"Misame","1-2 mo.","IFA/BEP","down","20:0",NA,0.0235153845564986,0.00885875427813108,0.106165058618676
"Misame","14-21 days","BEP/BEP","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",0.0235656316840986,0.0106568826028032,0.106568826028032
"Misame","1-2 mo.","IFA/BEP","down","14:0","Myristic Acid",0.0736199190276089,0.0118141242350684,0.106165058618676
"Misame","1-2 mo.","IFA/BEP","down","13:0","Tridecylic Acid",0.0176254108545775,0.0136109049511123,0.106165058618676
"Vital","1.5 mo.","BEP+ExBf+AZT","up","22:3(10Z,13Z,16Z)",NA,-0.0174737275924347,0.0173332859511358,0.112666358682383
"Misame","1-2 mo.","IFA/BEP","down","14:1(9Z)","Myristoleic Acid",0.0202382372141211,0.0189494747657381,0.123171585977298
"Vital","1.5 mo.","BEP+ExBf","up","20:2n6","11,14-Eicosadienoic Acid",0.0457696952777797,0.0220868184134486,0.226389888737848
"Misame","1-2 mo.","BEP/BEP","down","16:0","Palmitic Acid",0.0351806282424357,0.0296615299696012,0.925510935415467
"Misame","14-21 days","IFA/BEP","down","14:0","Myristic Acid",0.266893791393791,0.0297293701424583,0.486533533976731
"Misame","1-2 mo.","BEP/IFA","down","16:1(9Z)","Palmitoleic Acid",-0.00229016741357481,0.0309236729154334,0.370250241141084
"Misame","14-21 days","BEP/BEP","up","15:0","Pentadecylic Acid",0.0584751282667949,0.0310108581416452,0.248086865133161
"Elicit","1 mo.","Nico","up","18:1(9Z)",NA,0.235053639386027,0.0337008155783237,0.250185028859575
"Misame","14-21 days","IFA/BEP","up","16:0","Palmitic Acid",-0.061357010783223,0.0338416504954319,0.329956092330461
"Misame","1-2 mo.","IFA/BEP","down","20:3n6",NA,0.0618961934751408,0.0396894500500812,0.221126935993309
"Vital","1.5 mo.","BEP+ExBf","up","16:0","Palmitic Acid",0.0521169725578456,0.041168025003004,0.337577805024633
"Misame","1-2 mo.","BEP/IFA","down","17:1(9Z)",NA,-0.0427289872913215,0.0424106755133321,0.370250241141084
"Misame","3-4 mo.","IFA/BEP","up","16:0","Palmitic Acid",-0.0828382188115153,0.0429015503949241,0.432185688349869
"Misame","1-2 mo.","BEP/IFA","down","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.025071805588898,0.0440774096596529,0.370250241141084
"Misame","3-4 mo.","IFA/BEP","up","20:2n6","11,14-Eicosadienoic Acid",-0.0547781514135919,0.0467227771189048,0.432185688349869
"Misame","1-2 mo.","IFA/BEP","down","19:1(9Z)","9Z-Nonadecenoic Acid",0.0127671347805015,0.0497773879959359,0.242664766480188
"Elicit","1 mo.","Nico","up","12:0","Lauric Acid",0.0640384582348868,0.0500370057719149,0.250185028859575
"Vital","1.5 mo.","BEP+ExBf","up","19:0","Nonadecylic Acid",0.00758277917368826,0.055455158089166,0.378943580275968
"Misame","14-21 days","IFA/BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",0.00359898971615934,0.0612316022153224,0.431708501957507
"Misame","1-2 mo.","BEP/BEP","down","16:1(9Z)","Palmitoleic Acid",0.0472520200950034,0.0629153481742966,0.925510935415467
"Misame","14-21 days","BEP/BEP","up","22:1(11Z)",NA,0.041910423681257,0.0654182964513927,0.392716850104181
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:0",NA,0.0512107271035842,0.0664297253905068,0.333964950115998
"Misame","3-4 mo.","IFA/BEP","up","16:1(9Z)","Palmitoleic Acid",-0.0417254807961209,0.066807862722942,0.437309886397261
"Misame","1-2 mo.","BEP/IFA","down","22:0",NA,-0.0384920634920635,0.0678148841059405,0.417108820379092
"Misame","1-2 mo.","IFA/BEP","up","16:0","Palmitic Acid",-0.0596979288827115,0.0682429631067229,0.624967315355311
"Misame","1-2 mo.","BEP/BEP","down","18:1(9Z)",NA,-0.0434943545827552,0.0691113827089017,0.925510935415467
"Misame","3-4 mo.","BEP/BEP","up","16:1(9Z)","Palmitoleic Acid",-0.0397582682713616,0.0709590501918504,0.544497686658835
"Misame","1-2 mo.","IFA/BEP","down","18:2(9Z,12Z)",NA,0.0563877151856634,0.0729159895024245,0.31596928784384
"Misame","14-21 days","IFA/BEP","up","22:0",NA,0.0139506172839506,0.0754818627423702,0.431708501957507
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:4(8Z,11Z,14Z,17Z)",NA,0.0573279712490239,0.0758576367283435,0.333964950115998
"Vital","1.5 mo.","BEP+ExBf+AZT","up","13:0","Tridecylic Acid",-0.0238165670308527,0.0770688346421534,0.333964950115998
"Misame","3-4 mo.","IFA/BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0488112349738789,0.0782243645417093,0.437309886397261
"Misame","3-4 mo.","IFA/BEP","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",0.0488877697033725,0.0827343028319142,0.437309886397261
"Misame","14-21 days","BEP/BEP","up","21:0","Heneicosylic Acid",0.0155225726654298,0.087179591939138,0.392716850104181
"Misame","14-21 days","IFA/BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",0.0035062506937507,0.0873277027410395,0.431708501957507
"Misame","14-21 days","BEP/BEP","up","19:0","Nonadecylic Acid",0.0111912673096884,0.08861344021028,0.392716850104181
"Misame","1-2 mo.","IFA/BEP","up","14:1(9Z)","Myristoleic Acid",-0.022301472650971,0.0907423637770517,0.624967315355311
"Misame","1-2 mo.","IFA/BEP","down","20:2(11Z,14Z)","Eicosadienoic Acid",0.0239819298449074,0.0952563772316748,0.371499871203532
"Misame","14-21 days","IFA/BEP","up","21:0","Heneicosylic Acid",0.0133680555555556,0.0953000409566494,0.431708501957507
"Misame","14-21 days","BEP/BEP","up","20:0",NA,-0.0136972836191586,0.0971263490795913,0.392716850104181
"Misame","1-2 mo.","BEP/IFA","down","22:1(11Z)",NA,-0.0272039842873176,0.0975302874992452,0.417108820379092
"Misame","3-4 mo.","IFA/BEP","up","14:1(9Z)","Myristoleic Acid",0.00652358254464327,0.0989774930702988,0.457770905450132
"Misame","14-21 days","IFA/BEP","up","17:0","Margaric Acid",-0.00596767667280489,0.0996250389132709,0.431708501957507
"Misame","1-2 mo.","BEP/IFA","down","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.012197934980193,0.100940457731898,0.417108820379092
"Misame","14-21 days","BEP/BEP","up","18:0",NA,0.0254935641008613,0.101519212561391,0.392716850104181
"Misame","3-4 mo.","BEP/BEP","up","20:1(11Z)","Gondoic Acid",-0.0618958651944763,0.102568107978051,0.544497686658835
"Misame","1-2 mo.","BEP/IFA","down","19:0","Nonadecylic Acid",-0.0322478533126681,0.105035618274856,0.417108820379092
"Misame","1-2 mo.","IFA/BEP","up","20:1(11Z)","Gondoic Acid",-0.0850714486131153,0.105051085704597,0.624967315355311
"Misame","1-2 mo.","IFA/BEP","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.0477777777777778,0.105192505120041,0.624967315355311
"Misame","1-2 mo.","BEP/IFA","down","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",-0.0295333213469455,0.106890088527262,0.417108820379092
"Vital","1.5 mo.","BEP+ExBf","up","18:1(11Z)",NA,0.0144756013075874,0.109216382139199,0.510391649523829
"Misame","3-4 mo.","BEP/BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.048807391829747,0.110718390125841,0.544497686658835
"Elicit","1 mo.","Nico","up","13:0","Tridecylic Acid",0.133101972101972,0.112202568427231,0.374008561424102
"Vital","1.5 mo.","BEP+ExBf","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",-0.0334317113862568,0.113485224331571,0.510391649523829
"Misame","1-2 mo.","IFA/BEP","up","18:3(9Z,12Z,15Z)","α-Linolenic Acid",0.0587942081097549,0.116464033303379,0.624967315355311
"Vital","1.5 mo.","BEP+ExBf","up","13:0","Tridecylic Acid",-0.00952388886773051,0.116645586647652,0.510391649523829
"Misame","3-4 mo.","BEP/BEP","up","20:2n6","11,14-Eicosadienoic Acid",-0.0485309006747041,0.118629260396531,0.544497686658835
"Misame","1-2 mo.","IFA/BEP","down","21:0","Heneicosylic Acid",0.0215367965367965,0.119904944675838,0.399297563950487
"Misame","14-21 days","IFA/BEP","down","17:0","Margaric Acid",-0.0429010804010804,0.122242459907785,0.486533533976731
"Misame","1-2 mo.","BEP/IFA","down","18:3(9Z,12Z,15Z)","α-Linolenic Acid",-0.0282372092336672,0.122430198431657,0.417108820379092
"Misame","1-2 mo.","IFA/BEP","down","16:1(9Z)","Palmitoleic Acid",-0.00773660724205966,0.122860788907842,0.399297563950487
"Misame","3-4 mo.","BEP/BEP","up","14:1(9Z)","Myristoleic Acid",-0.0228007792385809,0.122951090535866,0.544497686658835
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",0.0918741881899777,0.124336514670849,0.440387596401634
"Misame","1-2 mo.","BEP/IFA","down","21:0","Heneicosylic Acid",-0.0294997594997595,0.124366879362609,0.417108820379092
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:3n6",NA,-0.0397984176243746,0.124948102533094,0.440387596401634
"Misame","1-2 mo.","IFA/BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0402992774421346,0.130605538013065,0.624967315355311
"Misame","14-21 days","BEP/BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.042961488464921,0.131086747911579,0.392716850104181
"Misame","1-2 mo.","IFA/BEP","up","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",0.0552777917784711,0.132568824469308,0.624967315355311
"Misame","1-2 mo.","BEP/IFA","down","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.0199874653648239,0.132782096936078,0.417108820379092
"Misame","14-21 days","BEP/BEP","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0636942778041263,0.133947473819966,0.392716850104181
"Misame","14-21 days","IFA/BEP","up","19:0","Nonadecylic Acid",0.0102175466146054,0.13402891017466,0.522712749681173
"Misame","14-21 days","BEP/BEP","up","17:0","Margaric Acid",-0.0134492871194999,0.135233099553939,0.392716850104181
"Vital","1.5 mo.","BEP+ExBf+AZT","up","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.0148388648388648,0.135503875815887,0.440387596401634
"Misame","14-21 days","BEP/BEP","up","22:0",NA,-0.00694953194953195,0.137450897536463,0.392716850104181
"Elicit","5 mo.","Az.","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",0.264564161420369,0.1375439886492,0.733798966222086
"Misame","1-2 mo.","IFA/BEP","down","unknown",NA,0.0694444444444444,0.138640633813219,0.415921901439656
"Misame","1-2 mo.","BEP/IFA","down","20:2(11Z,14Z)","Eicosadienoic Acid",-0.00851730178653255,0.139036273459697,0.417108820379092
"Misame","3-4 mo.","IFA/BEP","up","18:2(9Z,12Z)",NA,-0.06343387026607,0.139736562738387,0.574472535702256
"Misame","14-21 days","IFA/BEP","down","19:1(9Z)","9Z-Nonadecenoic Acid",-0.0210130147630148,0.143219637887697,0.486533533976731
"Misame","1-2 mo.","BEP/BEP","down","21:0","Heneicosylic Acid",-0.00618117262854105,0.149186174006254,0.925510935415467
"Misame","14-21 days","IFA/BEP","up","12:0","Lauric Acid",0.00675601371253545,0.149959466085813,0.531674470667881
"Misame","1-2 mo.","IFA/BEP","down","16:0","Palmitic Acid",0.0327100143273658,0.152694764832603,0.425363987747965
"Vital","1.5 mo.","BEP+ExBf","up","22:1(11Z)",NA,-0.00141172058935216,0.15411527454176,0.510391649523829
"Vital","1.5 mo.","BEP+ExBf","up","18:1(9Z)",NA,0.0376052160472736,0.154161932730994,0.510391649523829
"Vital","1.5 mo.","BEP+ExBf+AZT","up","20:2(11Z,14Z)","Eicosadienoic Acid",-0.00889369468914923,0.154337951142546,0.444568344547323
"Misame","1-2 mo.","BEP/IFA","down","22:6(4Z,7Z,10Z,13Z,16Z,19Z)",NA,-0.083480648980649,0.155894682541052,0.436505111114947
"Elicit","1 mo.","Nico","up","14:1(9Z)","Myristoleic Acid",0.0621225854486009,0.156762721462839,0.382990836861517
"Vital","1.5 mo.","BEP+ExBf+AZT","up","15:1(9Z)","9Z-Pentadecenoic Acid",-0.0145570126522507,0.159588636504167,0.444568344547323
"Misame","3-4 mo.","BEP/BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",0.00134230725041993,0.16181962098685,0.561716366004063
"Misame","3-4 mo.","BEP/BEP","up","16:0","Palmitic Acid",-0.0848780846849818,0.163078944968921,0.561716366004063
"Misame","1-2 mo.","BEP/BEP","down","14:0","Myristic Acid",0.0472184601023479,0.164211159537595,0.925510935415467
"Misame","14-21 days","IFA/BEP","down","16:1(9Z)","Palmitoleic Acid",0.0547488969363969,0.166184107505088,0.486533533976731
"Misame","14-21 days","IFA/BEP","up","15:0","Pentadecylic Acid",0.0462974653946876,0.169378745160399,0.550480921771297
"Vital","1.5 mo.","BEP+ExBf","up","15:0","Pentadecylic Acid",-0.0262036674701458,0.172136788438593,0.510391649523829
"Vital","1.5 mo.","BEP+ExBf","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",0.0206723586397499,0.172154403954889,0.510391649523829
"Misame","14-21 days","IFA/BEP","down","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0183998293373293,0.173371259306024,0.486533533976731
"Misame","14-21 days","IFA/BEP","down","20:2n6","11,14-Eicosadienoic Acid",-0.0994876651126651,0.173441705259191,0.486533533976731
"Misame","1-2 mo.","BEP/IFA","down","13:0","Tridecylic Acid",0.0615040788599686,0.173666132069582,0.455873596682652
"Vital","1.5 mo.","BEP+ExBf","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.0430820688228096,0.174280075447161,0.510391649523829
"Misame","14-21 days","IFA/BEP","down","13:0","Tridecylic Acid",0.038606562519606,0.179249196728269,0.486533533976731
"Misame","1-2 mo.","BEP/BEP","down","20:1(11Z)","Gondoic Acid",-0.0558727559607841,0.188337897474414,0.925510935415467
"Misame","1-2 mo.","BEP/BEP","down","20:2n6","11,14-Eicosadienoic Acid",0.000771412954213707,0.190956933902761,0.925510935415467
"Elicit","1 mo.","Nico","up","14:0","Myristic Acid",0.0696368803769809,0.193106770042218,0.382990836861517
"Misame","14-21 days","BEP/BEP","up","17:1(9Z)",NA,0.0180900723208416,0.197220358078856,0.519091416380771
"Misame","14-21 days","IFA/BEP","up","14:1(9Z)","Myristoleic Acid",-0.017966351642371,0.199964247866421,0.554044392687608
"Vital","1.5 mo.","BEP+ExBf+AZT","up","19:1(9Z)","9Z-Nonadecenoic Acid",-0.00748631699884662,0.205178661696863,0.51840380022507
"Misame","14-21 days","IFA/BEP","down","12:0","Lauric Acid",-0.0194116448214809,0.205255306199942,0.487481352224862
"Misame","1-2 mo.","IFA/BEP","down","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0447654347763997,0.206085082419878,0.535821214291683
"Misame","3-4 mo.","IFA/BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0479461062410624,0.206379111423636,0.632596515014166
"Misame","14-21 days","IFA/BEP","up","19:1(9Z)","9Z-Nonadecenoic Acid",0.00694271764738853,0.206608708413523,0.554044392687608
"Misame","14-21 days","BEP/BEP","up","20:2(11Z,14Z)","Eicosadienoic Acid",0.00739198819799913,0.207636566552309,0.519091416380771
"Misame","1-2 mo.","IFA/BEP","up","20:5(5Z,8Z,11Z,14Z,17Z)",NA,-0.0887415454915455,0.211601402963416,0.715364325985341
"Vital","1.5 mo.","BEP+ExBf+AZT","up","12:0","Lauric Acid",-0.00604466107205833,0.212678482143619,0.51840380022507
"Misame","14-21 days","IFA/BEP","up","18:0",NA,0.00826016027184709,0.218732390611339,0.554044392687608
"Vital","1.5 mo.","BEP+ExBf","up","22:3(10Z,13Z,16Z)",NA,-0.0124928039694776,0.219337319391435,0.579081024086629
"Vital","1.5 mo.","BEP+ExBf","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0222184502740058,0.225982838667953,0.579081024086629
"Misame","14-21 days","IFA/BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0539504454073485,0.227300263666711,0.554044392687608
"Misame","1-2 mo.","BEP/BEP","down","20:0",NA,0.0254040211331878,0.227372175760667,0.925510935415467
"Misame","1-2 mo.","BEP/BEP","down","18:3(9Z,12Z,15Z)","α-Linolenic Acid",-0.0225273385626402,0.229044411120199,0.925510935415467
"Misame","1-2 mo.","IFA/BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0455771329172864,0.229393463134528,0.715364325985341
"Elicit","1 mo.","Nico","up","15:1(9Z)","9Z-Pentadecenoic Acid",0.0121235795740746,0.22979450211691,0.382990836861517
"Misame","1-2 mo.","BEP/BEP","down","18:3(6Z,9Z,12Z)","γ-Linolenic Acid",-0.0239145621678516,0.230106260763469,0.925510935415467
"Misame","1-2 mo.","IFA/BEP","down","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.06231502550947,0.230120042952555,0.560917604696853
"Misame","1-2 mo.","IFA/BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",0.00861413479167103,0.230142370836604,0.715364325985341
"Misame","3-4 mo.","IFA/BEP","up","20:4(8Z,11Z,14Z,17Z)",NA,-0.035579164639315,0.232343339916143,0.632596515014166
"Misame","14-21 days","BEP/BEP","up","22:1(13Z)",NA,0.135396825396825,0.234763662827669,0.538324967254777
"Misame","1-2 mo.","BEP/IFA","down","22:1(13Z)",NA,-0.0455555555555556,0.234763662827669,0.550986263850523
"Misame","3-4 mo.","IFA/BEP","up","22:1(13Z)",NA,0.135396825396825,0.234763662827669,0.632596515014166
"Misame","1-2 mo.","BEP/IFA","down","unknown",NA,0.0555555555555556,0.236136970221653,0.550986263850523
"Misame","1-2 mo.","IFA/BEP","up","22:0",NA,0.0104802604802605,0.238454775328447,0.715364325985341
"Misame","14-21 days","BEP/BEP","up","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.000570928278486919,0.242246235264649,0.538324967254777
"Misame","3-4 mo.","IFA/BEP","up","17:1(9Z)",NA,-0.0312192205942206,0.242577581853234,0.632596515014166
"Vital","1.5 mo.","BEP+ExBf","up","21:0","Heneicosylic Acid",0.00788415288415289,0.243117254851482,0.586341614641809
"Misame","3-4 mo.","IFA/BEP","up","20:3n6",NA,-0.0606035255471346,0.245891082119603,0.632596515014166
"Misame","14-21 days","IFA/BEP","up","20:2n6","11,14-Eicosadienoic Acid",-0.0329744853385058,0.255490935234604,0.586126263185269
"Misame","3-4 mo.","IFA/BEP","up","14:0","Myristic Acid",-0.0159909736908678,0.256458046627365,0.632596515014166
"Vital","1.5 mo.","BEP+ExBf+AZT","up","17:1(9Z)",NA,-0.0338011060405427,0.260711456175585,0.598102752402813
"Misame","1-2 mo.","IFA/BEP","up","21:0","Heneicosylic Acid",0.0101962081128748,0.26297797122176,0.723189420859839
"Misame","1-2 mo.","BEP/IFA","down","20:0",NA,-0.0391181785203524,0.263153607556972,0.571075379976965
"Misame","14-21 days","BEP/BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",-0.00646469106290535,0.263236363490437,0.554181817874604
"Misame","3-4 mo.","BEP/BEP","up","15:1(9Z)","9Z-Pentadecenoic Acid",0.0117196692196692,0.263733898201764,0.666836343210572
"Misame","1-2 mo.","BEP/BEP","down","14:1(9Z)","Myristoleic Acid",0.0124550577056843,0.267532405134195,0.925510935415467
"Misame","3-4 mo.","BEP/BEP","up","18:2(9Z,12Z)",NA,-0.063727732160758,0.268483576166814,0.666836343210572
"Misame","3-4 mo.","BEP/BEP","up","20:0",NA,-0.00588026645718953,0.273398416463202,0.666836343210572
"Misame","14-21 days","IFA/BEP","down","18:1(11Z)",NA,-0.0242381692381692,0.274105699951876,0.513008211585741
"Misame","3-4 mo.","BEP/BEP","up","20:4(5Z,8Z,11Z,14Z)","Arachidonic Acid",-0.0618428272881714,0.279641047152821,0.666836343210572
"Misame","14-21 days","IFA/BEP","up","20:0",NA,-0.0186587456748747,0.28111512829605,0.609082777974776
"Misame","1-2 mo.","BEP/IFA","down","15:0","Pentadecylic Acid",0.00615998889025204,0.28275098568271,0.571075379976965
"Misame","1-2 mo.","BEP/IFA","down","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.0436258661972948,0.285537689988483,0.571075379976965
"Misame","1-2 mo.","BEP/BEP","down","22:1(11Z)",NA,-0.00388812730479397,0.289446995908403,0.925510935415467
"Misame","1-2 mo.","IFA/BEP","down","20:3(5Z,8Z,11Z)","Mead Acid",0.0192755482863978,0.289924714303588,0.665121403402348
"Vital","1.5 mo.","BEP+ExBf+AZT","up","16:0","Palmitic Acid",0.0365700762245112,0.294217543154876,0.626158280339228
"Misame","14-21 days","IFA/BEP","down","15:1(9Z)","9Z-Pentadecenoic Acid",-0.019489803749063,0.294912854222056,0.513008211585741
"Vital","1.5 mo.","BEP+ExBf","up","20:0",NA,0.0206875584704249,0.304598148031143,0.693806892737604
"Vital","1.5 mo.","BEP+ExBf+AZT","up","22:5(4Z,7Z,10Z,13Z,16Z)",NA,-0.0230025356587857,0.305051469908855,0.626158280339228
"Misame","14-21 days","IFA/BEP","down","18:1(9Z)",NA,-0.000792605885198486,0.307903926409383,0.513008211585741
"Misame","1-2 mo.","IFA/BEP","down","22:2(13Z,16Z)","13Z,16Z-Docosadienoic Acid",-0.0151613419996879,0.313004695740108,0.678176840770234
"Misame","1-2 mo.","IFA/BEP","up","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.00703905027434439,0.316750135385933,0.804058035979676
"Misame","14-21 days","IFA/BEP","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.0349754987363683,0.321166775654084,0.659237065816278
"Misame","3-4 mo.","IFA/BEP","up","18:1(11Z)",NA,0.0366670954428392,0.32157316433518,0.68675150056747
"Misame","14-21 days","IFA/BEP","down","20:2(11Z,14Z)","Eicosadienoic Acid",-0.0259848616991474,0.324005186264679,0.513008211585741
"Misame","3-4 mo.","BEP/BEP","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.016722775681109,0.326226046093452,0.690676336462591
"Elicit","5 mo.","Az.","up","15:0","Pentadecylic Acid",-0.039334219021719,0.327871746892732,0.733798966222086
"Misame","1-2 mo.","BEP/BEP","down","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0541625000057197,0.329520986720708,0.925510935415467
"Misame","3-4 mo.","IFA/BEP","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.00997776914443581,0.329613475536681,0.68675150056747
"Misame","1-2 mo.","BEP/BEP","down","18:4(6Z,9Z,12Z,15Z)","Stearidonic Acid",-0.00190321280351043,0.332483312607345,0.925510935415467
"Misame","3-4 mo.","IFA/BEP","up","22:5(7Z,10Z,13Z,16Z,19Z)","Docosapentaenoic Acid",-0.0184112626503931,0.334095324600391,0.68675150056747
"Misame","14-21 days","IFA/BEP","up","22:1(11Z)",NA,0.00496993746993746,0.341051486031333,0.665050397761099
"Elicit","5 mo.","Az.","up","18:0",NA,-0.0524606488315819,0.343225074788158,0.733798966222086
"Misame","14-21 days","BEP/BEP","up","22:3(10Z,13Z,16Z)",NA,-0.0137464545255267,0.345240508110069,0.651467246656991
"Misame","1-2 mo.","IFA/BEP","up","20:3(8Z,11Z,14Z)","Dihomo-γ-Linolenic Acid",-0.0179529575362909,0.345568158866394,0.814553517327929
"Misame","14-21 days","BEP/BEP","up","17:2(9Z,12Z)","9,12-Heptadecadienoic Acid",-0.0467707816170071,0.347905789362764,0.651467246656991
"Misame","3-4 mo.","IFA/BEP","up","22:3(10Z,13Z,16Z)",NA,-0.00717127590888079,0.355587256697949,0.692459394622321
"Vital","1.5 mo.","BEP+ExBf","up","12:0","Lauric Acid",-0.00534991721489048,0.356111304444042,0.768450709589776
"Misame","3-4 mo.","BEP/BEP","up","22:3(10Z,13Z,16Z)",NA,-0.00739123567030785,0.356405128944306,0.690676336462591
"Misame","3-4 mo.","BEP/BEP","up","22:4(7Z,10Z,13Z,16Z)","Adrenic Acid",0.00850392032210214,0.356478109141982,0.690676336462591
"Misame","1-2 mo.","BEP/BEP","down","22:3(10Z,13Z,16Z)",NA,0.00435238959813263,0.356697970116142,0.925510935415467
