"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP","up","Glycine and Serine Metabolism","L-Alanine"
"Vital (2 mo.)","BEP","up","Ammonia Recycling","Glutamine"
"Vital (2 mo.)","BEP","up","Glutathione Metabolism","L-Alanine"
"Vital (2 mo.)","BEP","up","Alpha Linolenic Acid and Linoleic Acid Metabolism","Dihomo-gamma-linolenic acid"
"Vital (2 mo.)","BEP","up","Selenoamino Acid Metabolism","L-Alanine"
"Vital (2 mo.)","BEP","up","Amino Sugar Metabolism","Glutamine"
"Vital (2 mo.)","BEP","up","Pyrimidine Metabolism","Glutamine"
"Vital (2 mo.)","BEP","up","Nicotinate and Nicotinamide Metabolism","Glutamine"
"Vital (2 mo.)","BEP","up","Purine Metabolism","Xanthine"
"Vital (2 mo.)","BEP","up","Purine Metabolism","Glutamine"
"Vital (2 mo.)","BEP","up","Alanine Metabolism","L-Alanine"
"Vital (2 mo.)","BEP","up","Urea Cycle","L-Alanine"
"Vital (2 mo.)","BEP","up","Urea Cycle","Glutamine"
"Vital (2 mo.)","BEP","up","Tryptophan Metabolism","L-Alanine"
"Vital (2 mo.)","BEP","up","Aspartate Metabolism","Glutamine"
"Vital (2 mo.)","BEP","up","Glutamate Metabolism","L-Alanine"
"Vital (2 mo.)","BEP","up","Glutamate Metabolism","Glutamine"
"Vital (2 mo.)","BEP","up","Phenylacetate Metabolism","Glutamine"
"Vital (2 mo.)","BEP","up","Glucose-Alanine Cycle","L-Alanine"
"Vital (2 mo.)","BEP","up","Warburg Effect","Glutamine"
