outcome_group,arm_set,study,studytime,direction,contrast,module,pathway,total,hits,expected,raw_p,fdr_native,fdr_bh_pooled,significant,hit_features
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Methionine Metabolism,11,5,0.215,4.79e-7,4.69e-5,2.04533e-4,TRUE,Choline; Glycine; Sarcosine; L-Cysteine; Methionine
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Glutamate Metabolism,8,4,0.156,5.63e-6,2.76e-4,0.0012020050000000001,TRUE,gamma-Aminobutyric acid; Glycine; Succinic acid; L-Cysteine
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Glycine and Serine Metabolism,13,4,0.254,5.45e-5,0.00137,0.0034038000000000002,TRUE,Glycine; Sarcosine; L-Cysteine; Methionine
tertiary,stratified,Elicit,1 mo.,down,Az.,ora,"Valine, Leucine and Isoleucine Degradation",5,3,0.0976,5.58e-5,0.00547,0.0034038000000000002,TRUE,Isoleucine; Succinic acid; L-Valine
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,"Valine, Leucine and Isoleucine Degradation",5,3,0.0976,5.58e-5,0.00137,0.0034038000000000002,TRUE,Isoleucine; Succinic acid; Leucine
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Arginine and Proline Metabolism,10,3,0.195,6.33e-4,0.0124,0.01546688888888889,TRUE,Glycine; Proline; Succinic acid
tertiary,stratified,Elicit,1 mo.,down,Nico,ora,Oxidation of Branched Chain Fatty Acids,4,2,0.052,8.78e-4,0.0861,0.0187453,FALSE,L-Acetylcarnitine; Succinic acid
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Glutathione Metabolism,4,2,0.078,0.00205,0.0287,0.027354687500000002,TRUE,Glycine; L-Cysteine
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Betaine Metabolism,4,2,0.078,0.00205,0.0287,0.027354687500000002,TRUE,Choline; Methionine
tertiary,stratified,Elicit,1 mo.,down,Az.,ora,Warburg Effect,5,2,0.0976,0.00338,0.166,0.035074999999999995,FALSE,Lactic acid; Succinic acid
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Spermidine and Spermine Biosynthesis,5,2,0.0976,0.00338,0.0368,0.035074999999999995,TRUE,Methionine; Spermine
tertiary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Carnitine Synthesis,5,2,0.0976,0.00338,0.0368,0.035074999999999995,TRUE,Glycine; Succinic acid
