"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr","impact"
"Misame (14-21 days)","BEP","combined","Nicotinate and Nicotinamide Metabolism",32,4,0.34886,0.00023609,0.020259,0.20487
"Misame (14-21 days)","BEP","combined","Vitamin B6 Metabolism",15,3,0.16353,0.00040928,0.020259,0.095097
"Misame (14-21 days)","BEP","combined","Thiamine Metabolism",9,2,0.098117,0.003734,0.12322,0
"Misame (14-21 days)","BEP","combined","Riboflavin Metabolism",14,1,0.15263,0.14313,1,0.044118
"Misame (14-21 days)","BEP","combined","Pantothenate and CoA Biosynthesis",19,1,0.20714,0.18955,1,0.068702
"Misame (14-21 days)","BEP","combined","Beta-Alanine Metabolism",26,1,0.28345,0.2507,1,0
