"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP","down","Inositol Metabolism","Manganese"
"Vital (2 mo.)","BEP","down","Propanoate Metabolism","Manganese"
"Vital (2 mo.)","BEP","down","Arginine and Proline Metabolism","Manganese"
"Vital (2 mo.)","BEP","down","Phospholipid Biosynthesis","Manganese"
"Vital (2 mo.)","BEP","down","Histidine Metabolism","Manganese"
"Vital (2 mo.)","BEP","down","Alanine Metabolism","Manganese"
"Vital (2 mo.)","BEP","down","Citric Acid Cycle","Manganese"
"Vital (2 mo.)","BEP","down","Urea Cycle","Manganese"
"Vital (2 mo.)","BEP","down","Pyruvate Metabolism","Manganese"
"Vital (2 mo.)","BEP","down","Gluconeogenesis","Manganese"
"Vital (2 mo.)","BEP","down","Lactose Synthesis","Manganese"
"Vital (2 mo.)","BEP","down","Fatty Acid Biosynthesis","Manganese"
"Vital (2 mo.)","BEP","down","Phosphatidylinositol Phosphate Metabolism","Manganese"
"Vital (2 mo.)","BEP","down","Transfer of Acetyl Groups into Mitochondria","Manganese"
"Vital (2 mo.)","BEP","down","Degradation of Superoxides","Manganese"
"Vital (2 mo.)","BEP","down","Warburg Effect","Manganese"
