"study","contrast","direction","pathway","feature"
"Misame (1-2 mo.)","BEP","down","Glycine and Serine Metabolism","Ornithine"
"Misame (1-2 mo.)","BEP","down","Glycine and Serine Metabolism","Sarcosine"
"Misame (1-2 mo.)","BEP","down","Glycine and Serine Metabolism","Homocysteine"
"Misame (1-2 mo.)","BEP","down","Catecholamine Biosynthesis","Homocysteine"
"Misame (1-2 mo.)","BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Misame (1-2 mo.)","BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Dihomo-gamma-linolenic acid"
"Misame (1-2 mo.)","BEP","down","Arginine and Proline Metabolism","Ornithine"
"Misame (1-2 mo.)","BEP","down","Arginine and Proline Metabolism","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Oxidation of Branched Chain Fatty Acids","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Valine, Leucine and Isoleucine Degradation","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Methionine Metabolism","Sarcosine"
"Misame (1-2 mo.)","BEP","down","Methionine Metabolism","Homocysteine"
"Misame (1-2 mo.)","BEP","down","Methionine Metabolism","Putrescine"
"Misame (1-2 mo.)","BEP","down","Sphingolipid Metabolism","Cer(d18:1/18:0)"
"Misame (1-2 mo.)","BEP","down","Beta Oxidation of Very Long Chain Fatty Acids","Dodecanoic acid"
"Misame (1-2 mo.)","BEP","down","Citric Acid Cycle","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Urea Cycle","Ornithine"
"Misame (1-2 mo.)","BEP","down","Pyruvate Metabolism","Lactic acid"
"Misame (1-2 mo.)","BEP","down","Ketone Body Metabolism","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Glutamate Metabolism","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Butyrate Metabolism","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Arachidonic Acid Metabolism","Arachidonic acid"
"Misame (1-2 mo.)","BEP","down","Betaine Metabolism","Homocysteine"
"Misame (1-2 mo.)","BEP","down","Gluconeogenesis","Lactic acid"
"Misame (1-2 mo.)","BEP","down","Mitochondrial Electron Transport Chain","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Spermidine and Spermine Biosynthesis","Ornithine"
"Misame (1-2 mo.)","BEP","down","Spermidine and Spermine Biosynthesis","Spermine"
"Misame (1-2 mo.)","BEP","down","Spermidine and Spermine Biosynthesis","Putrescine"
"Misame (1-2 mo.)","BEP","down","Phytanic Acid Peroxisomal Oxidation","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Homocysteine Degradation","Homocysteine"
"Misame (1-2 mo.)","BEP","down","Fatty Acid Biosynthesis","Dodecanoic acid"
"Misame (1-2 mo.)","BEP","down","Carnitine Synthesis","Succinic acid"
"Misame (1-2 mo.)","BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Dodecanoic acid"
"Misame (1-2 mo.)","BEP","down","Warburg Effect","Lactic acid"
"Misame (1-2 mo.)","BEP","down","Warburg Effect","Succinic acid"
