"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","BEP/BEP","up","Beta-Alanine Metabolism","Pantothenic acid"
"Misame (14-21 days)","BEP/BEP","up","Beta-Alanine Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","BEP/BEP","up","Ammonia Recycling","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Propanoate Metabolism","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Vitamin B6 Metabolism","Pyridoxine"
"Misame (14-21 days)","BEP/BEP","up","Vitamin B6 Metabolism","Pyridoxamine"
"Misame (14-21 days)","BEP/BEP","up","Vitamin B6 Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","BEP/BEP","up","Vitamin B6 Metabolism","Pyridoxal"
"Misame (14-21 days)","BEP/BEP","up","Arginine and Proline Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","BEP/BEP","up","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Misame (14-21 days)","BEP/BEP","up","Pantothenate and CoA Biosynthesis","Flavin mononucleotide"
"Misame (14-21 days)","BEP/BEP","up","Valine, Leucine and Isoleucine Degradation","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Valine, Leucine and Isoleucine Degradation","Pyridoxal"
"Misame (14-21 days)","BEP/BEP","up","Pyrimidine Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism","Nicotinamide riboside"
"Misame (14-21 days)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Misame (14-21 days)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Misame (14-21 days)","BEP/BEP","up","Nicotinate and Nicotinamide Metabolism","Nudifloramide"
"Misame (14-21 days)","BEP/BEP","up","Alanine Metabolism","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Citric Acid Cycle","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Pyruvate Metabolism","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Biotin Metabolism","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Riboflavin Metabolism","Riboflavin"
"Misame (14-21 days)","BEP/BEP","up","Riboflavin Metabolism","Flavin mononucleotide"
"Misame (14-21 days)","BEP/BEP","up","Glutamate Metabolism","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Thiamine Metabolism","Thiamine"
"Misame (14-21 days)","BEP/BEP","up","Thiamine Metabolism","Thiamine monophosphate"
"Misame (14-21 days)","BEP/BEP","up","Gluconeogenesis","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Threonine and 2-Oxobutanoate Degradation","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Fatty Acid Biosynthesis","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Transfer of Acetyl Groups into Mitochondria","Biotin"
"Misame (14-21 days)","BEP/BEP","up","Warburg Effect","Biotin"
