study,timepoint,contrast,direction,klass,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,14-21 days,BEP,down,metabolite,Homocysteine Degradation,3,0.495,3,0.0038,0.372,-6.0606060606060606
ELICIT,1 mo.,Nico,down,metabolite,Oxidation of Branched Chain Fatty Acids,4,0.454,3,0.00419,0.411,-6.607929515418502
MISAME-III,14-21 days,BEP,down,metabolite,Glycine and Serine Metabolism,11,1.81,5,0.0165,0.809,-2.7624309392265194
Mumta-LW,2 mo.,BEP,up,metabolite,Purine Metabolism,5,0.258,2,0.0201,1,7.751937984496124
MISAME-III,1-2 mo.,BEP,down,metabolite,Spermidine and Spermine Biosynthesis,5,0.722,3,0.0205,1,-4.1551246537396125
Mumta-LW,2 mo.,BEP,down,metabolite,Methionine Metabolism,9,0.742,3,0.0249,1,-4.0431266846361185
ELICIT,1 mo.,Nico,down,metabolite,Beta Oxidation of Very Long Chain Fatty Acids,3,0.34,2,0.0332,1,-5.88235294117647
Mumta-LW,2 mo.,BEP,down,metabolite,Bile Acid Biosynthesis,10,0.825,3,0.0341,1,-3.6363636363636367
MISAME-III,3-4 mo.,BEP,down,metabolite,Glycine and Serine Metabolism,11,1.47,4,0.0384,1,-2.7210884353741496
Mumta-LW,2 mo.,BEP,up,metabolite,Urea Cycle,7,0.361,2,0.0405,1,5.54016620498615
Mumta-LW,2 mo.,BEP,down,metabolite,Glycine and Serine Metabolism,11,0.907,3,0.0449,1,-3.3076074972436604
MISAME-III,3-4 mo.,BEP,down,metabolite,Homocysteine Degradation,3,0.402,2,0.0464,1,-4.975124378109452
MISAME-III,1-2 mo.,BEP,up,metabolite,Bile Acid Biosynthesis,10,0.412,2,0.0517,1,4.8543689320388355
Mumta-LW,2 mo.,BEP,up,metabolite,Glutamate Metabolism,8,0.412,2,0.0528,1,4.8543689320388355
Mumta-LW,1.5 mo.,BEP,up,metabolite,Ammonia Recycling,7,0.433,2,0.0586,0.984,4.618937644341801
Mumta-LW,1.5 mo.,BEP,up,metabolite,Urea Cycle,7,0.433,2,0.0586,0.984,4.618937644341801
ELICIT,1 mo.,Nico,down,metabolite,Carnitine Synthesis,4,0.454,2,0.0622,1,-4.405286343612334
Mumta-LW,1.5 mo.,BEP,up,metabolite,Glutamate Metabolism,8,0.495,2,0.0759,0.984,4.040404040404041
MISAME-III,3-4 mo.,BEP,up,metabolite,Tryptophan Metabolism,4,0.0825,1,0.0812,1,12.121212121212121
MISAME-III,3-4 mo.,BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.536,2,0.0856,1,-3.731343283582089
MISAME-III,1-2 mo.,BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.577,2,0.0984,1,-3.466204506065858
MISAME-III,1-2 mo.,BEP,down,metabolite,Warburg Effect,4,0.577,2,0.0984,1,-3.466204506065858
MISAME-III,3-4 mo.,BEP,down,metabolite,Methionine Metabolism,9,1.21,3,0.0986,1,-2.479338842975207
MISAME-III,1-2 mo.,BEP,down,metabolite,Methionine Metabolism,9,1.3,3,0.119,1,-2.3076923076923075
MISAME-III,1-2 mo.,BEP,up,metabolite,Propanoate Metabolism,3,0.124,1,0.12,1,8.064516129032258
ELICIT,1 mo.,Nico,up,metabolite,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.124,1,0.12,1,8.064516129032258
MISAME-III,14-21 days,BEP,down,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.66,2,0.126,1,-3.0303030303030303
Mumta-LW,1.5 mo.,BEP,down,metabolite,Methionine Metabolism,9,0.649,2,0.126,1,-3.081664098613251
Mumta-LW,2 mo.,BEP,up,metabolite,Alanine Metabolism,3,0.155,1,0.148,1,6.451612903225807
ELICIT,5 mo.,Nico,down,metabolite,Tyrosine Metabolism,3,0.155,1,0.148,1,-6.451612903225807
MISAME-III,14-21 days,BEP,down,metabolite,Arginine and Proline Metabolism,9,1.48,3,0.165,1,-2.027027027027027
MISAME-III,14-21 days,BEP,down,metabolite,Methionine Metabolism,9,1.48,3,0.165,1,-2.027027027027027
Mumta-LW,1.5 mo.,BEP,up,metabolite,Tyrosine Metabolism,3,0.186,1,0.176,1,5.376344086021505
Mumta-LW,1.5 mo.,BEP,up,metabolite,Phenylalanine and Tyrosine Metabolism,3,0.186,1,0.176,1,5.376344086021505
Mumta-LW,1.5 mo.,BEP,up,metabolite,Alanine Metabolism,3,0.186,1,0.176,1,5.376344086021505
Mumta-LW,1.5 mo.,BEP,down,metabolite,Glycine and Serine Metabolism,11,0.794,2,0.179,1,-2.5188916876574305
Mumta-LW,2 mo.,BEP,up,metabolite,Glutathione Metabolism,4,0.206,1,0.194,1,4.8543689320388355
Mumta-LW,2 mo.,BEP,up,metabolite,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.206,1,0.194,1,4.8543689320388355
Mumta-LW,2 mo.,BEP,up,metabolite,Tryptophan Metabolism,4,0.206,1,0.194,1,4.8543689320388355
Mumta-LW,2 mo.,BEP,up,metabolite,Warburg Effect,4,0.206,1,0.194,1,4.8543689320388355
ELICIT,5 mo.,Nico,down,metabolite,Tryptophan Metabolism,4,0.206,1,0.194,1,-4.8543689320388355
MISAME-III,1-2 mo.,BEP,down,metabolite,Glycine and Serine Metabolism,11,1.59,3,0.195,1,-1.8867924528301885
Mumta-LW,1.5 mo.,BEP,down,metabolite,Betaine Metabolism,3,0.216,1,0.203,1,-4.62962962962963
Mumta-LW,1.5 mo.,BEP,down,metabolite,Homocysteine Degradation,3,0.216,1,0.203,1,-4.62962962962963
MISAME-III,1-2 mo.,BEP,up,metabolite,Beta-Alanine Metabolism,6,0.247,1,0.229,1,4.048582995951417
MISAME-III,1-2 mo.,BEP,up,metabolite,Histidine Metabolism,6,0.247,1,0.229,1,4.048582995951417
Mumta-LW,1.5 mo.,BEP,up,metabolite,Glutathione Metabolism,4,0.247,1,0.229,1,4.048582995951417
Mumta-LW,1.5 mo.,BEP,up,metabolite,Tryptophan Metabolism,4,0.247,1,0.229,1,4.048582995951417
Mumta-LW,1.5 mo.,BEP,up,metabolite,Warburg Effect,4,0.247,1,0.229,1,4.048582995951417
