study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
ELICIT,1 mo.,Nico,down,Oxidation of Branched Chain Fatty Acids,4,0.415,3,0.00322,0.316,-7.228915662650603
MISAME-III,14-21 days,BEP,down,Homocysteine Degradation,3,0.509,3,0.00423,0.415,-5.893909626719057
MISAME-III,14-21 days,BEP,up,Nucleotide Sugars Metabolism,1,0.00943,1,0.00943,0.308,106.04453870625663
MISAME-III,14-21 days,BEP,up,Galactose Metabolism,1,0.00943,1,0.00943,0.308,106.04453870625663
MISAME-III,14-21 days,BEP,up,Lactose Degradation,1,0.00943,1,0.00943,0.308,106.04453870625663
Mumta-LW,2 mo.,BEP,down,Methionine Metabolism,9,0.679,3,0.0195,1,-4.4182621502209125
MISAME-III,14-21 days,BEP,down,Glycine and Serine Metabolism,11,1.87,5,0.0196,0.961,-2.6737967914438503
Mumta-LW,2 mo.,BEP,down,Bile Acid Biosynthesis,10,0.755,3,0.0268,1,-3.9735099337748343
ELICIT,1 mo.,Nico,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.311,2,0.0279,1,-6.430868167202572
MISAME-III,3-4 mo.,BEP,down,Glycine and Serine Metabolism,11,1.35,4,0.0282,1,-2.962962962962963
MISAME-III,14-21 days,BEP,up,Sphingolipid Metabolism,3,0.0283,1,0.0283,0.693,35.3356890459364
Mumta-LW,2 mo.,BEP,up,Purine Metabolism,5,0.33,2,0.0342,1,6.0606060606060606
Mumta-LW,2 mo.,BEP,down,Glycine and Serine Metabolism,11,0.83,3,0.0354,1,-3.6144578313253013
MISAME-III,3-4 mo.,BEP,down,Homocysteine Degradation,3,0.368,2,0.0391,1,-5.434782608695652
MISAME-III,1-2 mo.,BEP,up,Bile Acid Biosynthesis,10,0.377,2,0.0437,1,5.305039787798409
ELICIT,1 mo.,Nico,down,Carnitine Synthesis,4,0.415,2,0.0527,1,-4.819277108433735
MISAME-III,1-2 mo.,BEP,down,Spermidine and Spermine Biosynthesis,5,1.04,3,0.0593,1,-2.8846153846153846
Mumta-LW,2 mo.,BEP,up,Phenylacetate Metabolism,1,0.066,1,0.066,1,15.15151515151515
Mumta-LW,2 mo.,BEP,up,Urea Cycle,7,0.462,2,0.0673,1,4.329004329004329
MISAME-III,3-4 mo.,BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.491,2,0.0727,1,-4.0733197556008145
MISAME-III,1-2 mo.,BEP,up,Taurine and Hypotaurine Metabolism,2,0.0755,1,0.0744,1,13.245033112582782
MISAME-III,1-2 mo.,BEP,up,Pyrimidine Metabolism,2,0.0755,1,0.0744,1,13.245033112582782
MISAME-III,3-4 mo.,BEP,up,Tryptophan Metabolism,4,0.0755,1,0.0744,1,13.245033112582782
Mumta-LW,2 mo.,BEP,down,Porphyrin Metabolism,1,0.0755,1,0.0755,1,-13.245033112582782
Mumta-LW,2 mo.,BEP,down,Pyruvate Metabolism,1,0.0755,1,0.0755,1,-13.245033112582782
Mumta-LW,2 mo.,BEP,down,Gluconeogenesis,1,0.0755,1,0.0755,1,-13.245033112582782
MISAME-III,3-4 mo.,BEP,down,Methionine Metabolism,9,1.1,3,0.0789,1,-2.727272727272727
Mumta-LW,2 mo.,BEP,up,Glutamate Metabolism,8,0.528,2,0.0868,1,3.7878787878787876
ELICIT,5 mo.,Nico,down,Malate-Aspartate Shuttle,2,0.0943,1,0.0925,1,-10.604453870625663
Mumta-LW,1.5 mo.,BEP,up,Phenylacetate Metabolism,1,0.104,1,0.104,1,9.615384615384615
Mumta-LW,1.5 mo.,BEP,up,Thyroid hormone synthesis,1,0.104,1,0.104,1,9.615384615384615
ELICIT,1 mo.,Nico,down,Citric Acid Cycle,1,0.104,1,0.104,1,-9.615384615384615
ELICIT,1 mo.,Nico,down,Ketone Body Metabolism,1,0.104,1,0.104,1,-9.615384615384615
ELICIT,1 mo.,Nico,down,Butyrate Metabolism,1,0.104,1,0.104,1,-9.615384615384615
ELICIT,1 mo.,Nico,down,Mitochondrial Electron Transport Chain,1,0.104,1,0.104,1,-9.615384615384615
ELICIT,1 mo.,Nico,down,Phytanic Acid Peroxisomal Oxidation,1,0.104,1,0.104,1,-9.615384615384615
Mumta-LW,1.5 mo.,BEP,down,Methionine Metabolism,9,0.594,2,0.108,1,-3.367003367003367
MISAME-III,1-2 mo.,BEP,up,Propanoate Metabolism,3,0.113,1,0.11,1,8.849557522123893
ELICIT,1 mo.,Nico,up,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.113,1,0.11,1,8.849557522123893
MISAME-III,3-4 mo.,BEP,down,Pantothenate and CoA Biosynthesis,1,0.123,1,0.123,1,-8.130081300813009
Mumta-LW,1.5 mo.,BEP,down,Catecholamine Biosynthesis,2,0.132,1,0.128,1,-7.575757575757575
Mumta-LW,2 mo.,BEP,up,Selenoamino Acid Metabolism,2,0.132,1,0.128,1,7.575757575757575
Mumta-LW,2 mo.,BEP,up,Amino Sugar Metabolism,2,0.132,1,0.128,1,7.575757575757575
Mumta-LW,2 mo.,BEP,up,Pyrimidine Metabolism,2,0.132,1,0.128,1,7.575757575757575
Mumta-LW,2 mo.,BEP,up,Nicotinate and Nicotinamide Metabolism,2,0.132,1,0.128,1,7.575757575757575
Mumta-LW,2 mo.,BEP,up,Glucose-Alanine Cycle,2,0.132,1,0.128,1,7.575757575757575
MISAME-III,14-21 days,BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.679,2,0.133,1,-2.945508100147275
ELICIT,5 mo.,Nico,down,Tyrosine Metabolism,3,0.142,1,0.136,1,-7.042253521126761
Mumta-LW,2 mo.,BEP,down,Catecholamine Biosynthesis,2,0.151,1,0.146,1,-6.622516556291391
Mumta-LW,1.5 mo.,BEP,down,Glycine and Serine Metabolism,11,0.726,2,0.154,1,-2.7548209366391188
Mumta-LW,1.5 mo.,BEP,up,Ammonia Recycling,7,0.726,2,0.154,1,2.7548209366391188
Mumta-LW,1.5 mo.,BEP,up,Urea Cycle,7,0.726,2,0.154,1,2.7548209366391188
MISAME-III,14-21 days,BEP,down,Pantothenate and CoA Biosynthesis,1,0.17,1,0.17,1,-5.88235294117647
MISAME-III,14-21 days,BEP,down,Threonine and 2-Oxobutanoate Degradation,1,0.17,1,0.17,1,-5.88235294117647
MISAME-III,14-21 days,BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.17,1,0.17,1,-5.88235294117647
MISAME-III,14-21 days,BEP,down,Arginine and Proline Metabolism,9,1.53,3,0.178,1,-1.9607843137254901
MISAME-III,14-21 days,BEP,down,Methionine Metabolism,9,1.53,3,0.178,1,-1.9607843137254901
ELICIT,5 mo.,Nico,down,Tryptophan Metabolism,4,0.189,1,0.178,1,-5.291005291005291
Mumta-LW,1.5 mo.,BEP,down,Betaine Metabolism,3,0.198,1,0.187,1,-5.05050505050505
