study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,14-21 days,IFA/BEP,down,Phospholipid Biosynthesis,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Pantothenate and CoA Biosynthesis,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Citric Acid Cycle,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Pyruvate Metabolism,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Ketone Body Metabolism,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Butyrate Metabolism,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Gluconeogenesis,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Mitochondrial Electron Transport Chain,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Phytanic Acid Peroxisomal Oxidation,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,14-21 days,IFA/BEP,down,Phosphatidylcholine Biosynthesis,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,1-2 mo.,BEP/BEP,down,Pyruvate Metabolism,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,1-2 mo.,BEP/BEP,down,Gluconeogenesis,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,1-2 mo.,BEP/BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.198,1,0.198,1,-5.05050505050505
MISAME-III,3-4 mo.,BEP/BEP,down,Catecholamine Biosynthesis,2,0.208,1,0.198,1,-4.8076923076923075
MISAME-III,14-21 days,BEP/BEP,down,Methionine Metabolism,9,0.849,2,0.201,1,-2.3557126030624262
ELICIT,5 mo.,Az.,down,Arginine and Proline Metabolism,9,0.849,2,0.201,1,-2.3557126030624262
ELICIT,5 mo.,Az.,down,Methionine Metabolism,9,0.849,2,0.201,1,-2.3557126030624262
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Warburg Effect,4,0.226,1,0.211,1,-4.424778761061947
ELICIT,1 mo.,Nico,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.226,1,0.212,1,-4.424778761061947
ELICIT,1 mo.,Az.,down,Taurine and Hypotaurine Metabolism,2,0.226,1,0.215,1,-4.424778761061947
ELICIT,1 mo.,Az.,down,Methylhistidine Metabolism,2,0.226,1,0.215,1,-4.424778761061947
MISAME-III,3-4 mo.,IFA/BEP,down,Catecholamine Biosynthesis,2,0.245,1,0.231,1,-4.081632653061225
MISAME-III,3-4 mo.,IFA/BEP,down,Cysteine Metabolism,2,0.245,1,0.231,1,-4.081632653061225
MISAME-III,3-4 mo.,IFA/BEP,down,Taurine and Hypotaurine Metabolism,2,0.245,1,0.231,1,-4.081632653061225
MISAME-III,3-4 mo.,IFA/BEP,down,Arachidonic Acid Metabolism,2,0.245,1,0.231,1,-4.081632653061225
ELICIT,1 mo.,Nico+Az.,down,Cysteine Metabolism,2,0.245,1,0.231,1,-4.081632653061225
ELICIT,1 mo.,Nico+Az.,down,Taurine and Hypotaurine Metabolism,2,0.245,1,0.231,1,-4.081632653061225
ELICIT,1 mo.,Nico+Az.,down,Phosphatidylethanolamine Biosynthesis,2,0.245,1,0.231,1,-4.081632653061225
MISAME-III,1-2 mo.,IFA/BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,4,0.943,2,0.236,1,-2.1208907741251326
MISAME-III,1-2 mo.,IFA/BEP,down,Pyruvate Metabolism,1,0.236,1,0.236,1,-4.237288135593221
MISAME-III,1-2 mo.,IFA/BEP,down,Gluconeogenesis,1,0.236,1,0.236,1,-4.237288135593221
MISAME-III,1-2 mo.,IFA/BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.236,1,0.236,1,-4.237288135593221
ELICIT,1 mo.,Az.,up,Methionine Metabolism,9,0.255,1,0.236,1,3.9215686274509802
ELICIT,5 mo.,Az.,down,Bile Acid Biosynthesis,10,0.943,2,0.239,1,-2.1208907741251326
Mumta-LW,2 mo.,BEP+ExBf,up,Glutathione Metabolism,4,0.264,1,0.242,1,3.7878787878787876
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Glutathione Metabolism,4,0.264,1,0.242,1,3.7878787878787876
