study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,1-2 mo.,BEP,down,Spermidine and Spermine Biosynthesis,4,0.0444,3,4.06e-6,3.98e-4,-67.56756756756756
MISAME-III,14-21 days,BEP,down,Glycine and Serine Metabolism,9,0.0817,3,4.25e-5,0.00416,-36.719706242350064
MISAME-III,3-4 mo.,BEP,down,Glycine and Serine Metabolism,9,0.0817,3,4.25e-5,0.00416,-36.719706242350064
MISAME-III,14-21 days,BEP,up,Nucleotide Sugars Metabolism,1,0.00101,1,0.00101,0.0989,990.09900990099
MISAME-III,14-21 days,BEP,down,Aspartate Metabolism,6,0.0545,2,0.00108,0.0529,-36.69724770642202
MISAME-III,1-2 mo.,BEP,up,Bile Acid Biosynthesis,14,0.0565,2,0.0011,0.107,35.39823008849557
MISAME-III,14-21 days,BEP,down,Arginine and Proline Metabolism,8,0.0727,2,0.002,0.0652,-27.51031636863824
MISAME-III,3-4 mo.,BEP,down,Methionine Metabolism,8,0.0727,2,0.002,0.0979,-27.51031636863824
MISAME-III,14-21 days,BEP,up,Lactose Degradation,2,0.00202,1,0.00202,0.0989,495.049504950495
MISAME-III,1-2 mo.,BEP,down,Arginine and Proline Metabolism,8,0.0888,2,0.00303,0.0948,-22.52252252252252
MISAME-III,1-2 mo.,BEP,down,Methionine Metabolism,8,0.0888,2,0.00303,0.0948,-22.52252252252252
MISAME-III,1-2 mo.,BEP,down,Glycine and Serine Metabolism,9,0.0999,2,0.00387,0.0948,-20.02002002002002
MISAME-III,1-2 mo.,BEP,up,Pyrimidine Metabolism,1,0.00404,1,0.00404,0.197,247.5247524752475
MISAME-III,3-4 mo.,BEP,up,Tryptophan Metabolism,4,0.00404,1,0.00404,0.396,247.5247524752475
MISAME-III,14-21 days,BEP,up,Sphingolipid Metabolism,5,0.00505,1,0.00505,0.124,198.01980198019803
MISAME-III,14-21 days,BEP,up,Galactose Metabolism,5,0.00505,1,0.00505,0.124,198.01980198019803
MISAME-III,1-2 mo.,BEP,up,Propanoate Metabolism,2,0.00807,1,0.00806,0.197,123.91573729863691
MISAME-III,1-2 mo.,BEP,up,Taurine and Hypotaurine Metabolism,2,0.00807,1,0.00806,0.197,123.91573729863691
MISAME-III,14-21 days,BEP,down,Cysteine Metabolism,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,Pantothenate and CoA Biosynthesis,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,Arachidonic Acid Metabolism,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,Threonine and 2-Oxobutanoate Degradation,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,Homocysteine Degradation,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,14-21 days,BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.00908,1,0.00908,0.0989,-110.13215859030838
MISAME-III,3-4 mo.,BEP,down,Cysteine Metabolism,1,0.00908,1,0.00908,0.148,-110.13215859030838
MISAME-III,3-4 mo.,BEP,down,Pantothenate and CoA Biosynthesis,1,0.00908,1,0.00908,0.148,-110.13215859030838
MISAME-III,3-4 mo.,BEP,down,Arachidonic Acid Metabolism,1,0.00908,1,0.00908,0.148,-110.13215859030838
