study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
Mumta-LW,1.5 mo.,BEP+ExBf,down,Homocysteine Degradation,3,0.0244,1,0.0242,0.631,-40.983606557377044
ELICIT,1 mo.,Az.,down,Glycine and Serine Metabolism,13,0.254,2,0.0242,0.253,-7.874015748031496
MISAME-III,14-21 days,BEP/IFA,down,Oxidation of Branched Chain Fatty Acids,4,0.026,1,0.0258,0.281,-38.46153846153846
ELICIT,1 mo.,Nico,down,Citric Acid Cycle,2,0.026,1,0.0259,0.423,-38.46153846153846
Mumta-LW,1.5 mo.,BEP+ExBf,up,Phenylacetate Metabolism,1,0.026,1,0.026,0.425,38.46153846153846
MISAME-III,1-2 mo.,BEP/IFA,down,Ketone Body Metabolism,1,0.0276,1,0.0276,0.31,-36.231884057971016
MISAME-III,1-2 mo.,BEP/IFA,down,Butyrate Metabolism,1,0.0276,1,0.0276,0.31,-36.231884057971016
MISAME-III,1-2 mo.,BEP/IFA,down,Mitochondrial Electron Transport Chain,1,0.0276,1,0.0276,0.31,-36.231884057971016
MISAME-III,1-2 mo.,BEP/IFA,down,Phytanic Acid Peroxisomal Oxidation,1,0.0276,1,0.0276,0.31,-36.231884057971016
MISAME-III,1-2 mo.,BEP/IFA,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0276,1,0.0276,0.31,-36.231884057971016
MISAME-III,1-2 mo.,BEP/IFA,down,Arginine and Proline Metabolism,10,0.276,2,0.0284,0.31,-7.246376811594202
MISAME-III,3-4 mo.,BEP/IFA,up,Tryptophan Metabolism,6,0.0293,1,0.029,0.259,34.129692832764505
Mumta-LW,2 mo.,BEP+ExBf,down,Homocysteine Degradation,3,0.0293,1,0.029,0.944,-34.129692832764505
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Homocysteine Degradation,3,0.0293,1,0.029,0.756,-34.129692832764505
ELICIT,1 mo.,Nico,up,Homocysteine Degradation,3,0.0293,1,0.029,1,34.129692832764505
MISAME-III,14-21 days,BEP/BEP,down,Cysteine Metabolism,2,0.0293,1,0.0291,0.237,-34.129692832764505
MISAME-III,14-21 days,BEP/BEP,down,Taurine and Hypotaurine Metabolism,2,0.0293,1,0.0291,0.237,-34.129692832764505
MISAME-III,14-21 days,BEP/BEP,down,Pyruvate Metabolism,2,0.0293,1,0.0291,0.237,-34.129692832764505
MISAME-III,14-21 days,BEP/BEP,down,Gluconeogenesis,2,0.0293,1,0.0291,0.237,-34.129692832764505
MISAME-III,14-21 days,BEP/BEP,down,Methylhistidine Metabolism,2,0.0293,1,0.0291,0.237,-34.129692832764505
ELICIT,1 mo.,Az.,down,Bile Acid Biosynthesis,15,0.293,2,0.0318,0.253,-6.825938566552901
MISAME-III,14-21 days,BEP/IFA,down,"Valine, Leucine and Isoleucine Degradation",5,0.0325,1,0.0322,0.287,-30.769230769230766
MISAME-III,14-21 days,BEP/IFA,down,Carnitine Synthesis,5,0.0325,1,0.0322,0.287,-30.769230769230766
MISAME-III,14-21 days,BEP/IFA,up,Oxidation of Branched Chain Fatty Acids,4,0.0325,1,0.0322,0.351,30.769230769230766
Mumta-LW,1.5 mo.,BEP+ExBf,down,Catecholamine Biosynthesis,4,0.0325,1,0.0322,0.631,-30.769230769230766
Mumta-LW,1.5 mo.,BEP+ExBf,down,Betaine Metabolism,4,0.0325,1,0.0322,0.631,-30.769230769230766
ELICIT,5 mo.,Az.,down,Taurine and Hypotaurine Metabolism,2,0.0325,1,0.0323,0.243,-30.769230769230766
ELICIT,5 mo.,Az.,down,Pyrimidine Metabolism,2,0.0325,1,0.0323,0.243,-30.769230769230766
ELICIT,5 mo.,Az.,down,Methylhistidine Metabolism,2,0.0325,1,0.0323,0.243,-30.769230769230766
MISAME-III,14-21 days,IFA/BEP,down,Porphyrin Metabolism,1,0.0325,1,0.0325,0.199,-30.769230769230766
MISAME-III,14-21 days,IFA/BEP,down,Pantothenate and CoA Biosynthesis,1,0.0325,1,0.0325,0.199,-30.769230769230766
MISAME-III,14-21 days,IFA/BEP,down,Ketone Body Metabolism,1,0.0325,1,0.0325,0.199,-30.769230769230766
MISAME-III,14-21 days,IFA/BEP,down,Butyrate Metabolism,1,0.0325,1,0.0325,0.199,-30.769230769230766
MISAME-III,14-21 days,IFA/BEP,down,Mitochondrial Electron Transport Chain,1,0.0325,1,0.0325,0.199,-30.769230769230766
MISAME-III,14-21 days,IFA/BEP,down,Phytanic Acid Peroxisomal Oxidation,1,0.0325,1,0.0325,0.199,-30.769230769230766
MISAME-III,14-21 days,IFA/BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0325,1,0.0325,0.199,-30.769230769230766
MISAME-III,14-21 days,IFA/BEP,down,Phosphatidylcholine Biosynthesis,1,0.0325,1,0.0325,0.199,-30.769230769230766
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Glycine and Serine Metabolism,13,0.296,2,0.0325,0.491,-6.756756756756757
MISAME-III,1-2 mo.,BEP/BEP,up,Propanoate Metabolism,3,0.0341,1,0.0338,0.473,29.32551319648094
Mumta-LW,2 mo.,BEP+ExBf,up,Alanine Metabolism,3,0.0341,1,0.0338,0.628,29.32551319648094
Mumta-LW,2 mo.,BEP+ExBf,up,Glucose-Alanine Cycle,3,0.0341,1,0.0338,0.628,29.32551319648094
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Alanine Metabolism,3,0.0341,1,0.0338,0.816,29.32551319648094
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Glucose-Alanine Cycle,3,0.0341,1,0.0338,0.816,29.32551319648094
ELICIT,5 mo.,Nico,down,Propanoate Metabolism,3,0.0341,1,0.0338,1,-29.32551319648094
MISAME-III,1-2 mo.,BEP/BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0341,1,0.0341,1,-29.32551319648094
Mumta-LW,2 mo.,BEP+ExBf,down,Catecholamine Biosynthesis,4,0.039,1,0.0385,0.944,-25.641025641025642
Mumta-LW,2 mo.,BEP+ExBf,down,Betaine Metabolism,4,0.039,1,0.0385,0.944,-25.641025641025642
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Catecholamine Biosynthesis,4,0.039,1,0.0385,0.756,-25.641025641025642
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Betaine Metabolism,4,0.039,1,0.0385,0.756,-25.641025641025642
ELICIT,1 mo.,Nico,up,Catecholamine Biosynthesis,4,0.039,1,0.0385,1,25.641025641025642
ELICIT,1 mo.,Nico,up,Betaine Metabolism,4,0.039,1,0.0385,1,25.641025641025642
MISAME-III,3-4 mo.,BEP/IFA,up,Glutamate Metabolism,8,0.039,1,0.0386,0.315,25.641025641025642
ELICIT,1 mo.,Nico,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.039,1,0.0386,0.54,-25.641025641025642
ELICIT,1 mo.,Az.,down,Taurine and Hypotaurine Metabolism,2,0.039,1,0.0387,0.253,-25.641025641025642
ELICIT,1 mo.,Az.,down,Citric Acid Cycle,2,0.039,1,0.0387,0.253,-25.641025641025642
ELICIT,1 mo.,Az.,down,Pyruvate Metabolism,2,0.039,1,0.0387,0.253,-25.641025641025642
ELICIT,1 mo.,Az.,down,Gluconeogenesis,2,0.039,1,0.0387,0.253,-25.641025641025642
ELICIT,1 mo.,Az.,down,Methylhistidine Metabolism,2,0.039,1,0.0387,0.253,-25.641025641025642
ELICIT,1 mo.,Nico+Az.,down,Cysteine Metabolism,2,0.039,1,0.0387,0.19,-25.641025641025642
ELICIT,1 mo.,Nico+Az.,down,Taurine and Hypotaurine Metabolism,2,0.039,1,0.0387,0.19,-25.641025641025642
ELICIT,1 mo.,Nico+Az.,down,Citric Acid Cycle,2,0.039,1,0.0387,0.19,-25.641025641025642
ELICIT,1 mo.,Nico+Az.,down,Phosphatidylethanolamine Biosynthesis,2,0.039,1,0.0387,0.19,-25.641025641025642
MISAME-III,14-21 days,BEP/IFA,up,Carnitine Synthesis,5,0.0407,1,0.0401,0.393,24.57002457002457
MISAME-III,1-2 mo.,IFA/BEP,down,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,1,0.0407,1,0.0407,0.957,-24.57002457002457
MISAME-III,3-4 mo.,IFA/BEP,down,Cysteine Metabolism,2,0.0423,1,0.0419,0.513,-23.64066193853428
MISAME-III,3-4 mo.,IFA/BEP,down,Taurine and Hypotaurine Metabolism,2,0.0423,1,0.0419,0.513,-23.64066193853428
Mumta-LW,2 mo.,BEP+ExBf,up,Glutathione Metabolism,4,0.0455,1,0.0449,0.628,21.978021978021978
Mumta-LW,2 mo.,BEP+ExBf,up,Arachidonic Acid Metabolism,4,0.0455,1,0.0449,0.628,21.978021978021978
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Glutathione Metabolism,4,0.0455,1,0.0449,0.816,21.978021978021978
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Arachidonic Acid Metabolism,4,0.0455,1,0.0449,0.816,21.978021978021978
ELICIT,5 mo.,Nico+Az.,down,Ammonia Recycling,7,0.0455,1,0.0449,0.716,-21.978021978021978
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Fatty acid Metabolism,2,0.0455,1,0.045,0.491,-21.978021978021978
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Pyruvate Metabolism,2,0.0455,1,0.045,0.491,-21.978021978021978
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Gluconeogenesis,2,0.0455,1,0.045,0.491,-21.978021978021978
MISAME-III,14-21 days,BEP/IFA,up,Tryptophan Metabolism,6,0.0488,1,0.048,0.421,20.491803278688522
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,up,Spermidine and Spermine Biosynthesis,5,0.0488,1,0.048,1,20.491803278688522
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Warburg Effect,5,0.0488,1,0.048,0.784,-20.491803278688522
MISAME-III,3-4 mo.,BEP/IFA,up,Arginine and Proline Metabolism,10,0.0488,1,0.0481,0.362,20.491803278688522
ELICIT,5 mo.,Az.,down,Alanine Metabolism,3,0.0488,1,0.0481,0.336,-20.491803278688522
MISAME-III,14-21 days,BEP/IFA,down,Glutamate Metabolism,8,0.052,1,0.0511,0.418,-19.23076923076923
ELICIT,5 mo.,Nico+Az.,down,Aspartate Metabolism,8,0.052,1,0.0511,0.716,-19.23076923076923
Mumta-LW,1.5 mo.,BEP+ExBf,up,Selenoamino Acid Metabolism,2,0.052,1,0.0514,0.504,19.23076923076923
Mumta-LW,1.5 mo.,BEP+ExBf,up,Pyrimidine Metabolism,2,0.052,1,0.0514,0.504,19.23076923076923
Mumta-LW,1.5 mo.,BEP+ExBf,up,Nicotinate and Nicotinamide Metabolism,2,0.052,1,0.0514,0.504,19.23076923076923
Mumta-LW,1.5 mo.,BEP+ExBf,up,Methylhistidine Metabolism,2,0.052,1,0.0514,0.504,19.23076923076923
MISAME-III,3-4 mo.,BEP/BEP,down,Homocysteine Degradation,3,0.0537,1,0.0528,1,-18.6219739292365
ELICIT,1 mo.,Az.,up,Methionine Metabolism,11,0.0537,1,0.0528,1,18.6219739292365
MISAME-III,1-2 mo.,BEP/IFA,down,Citric Acid Cycle,2,0.0553,1,0.0546,0.411,-18.083182640144663
MISAME-III,1-2 mo.,BEP/IFA,down,Pyruvate Metabolism,2,0.0553,1,0.0546,0.411,-18.083182640144663
MISAME-III,1-2 mo.,BEP/IFA,down,Gluconeogenesis,2,0.0553,1,0.0546,0.411,-18.083182640144663
MISAME-III,1-2 mo.,BEP/IFA,down,Malate-Aspartate Shuttle,2,0.0553,1,0.0546,0.411,-18.083182640144663
MISAME-III,14-21 days,BEP/IFA,up,Beta-Alanine Metabolism,7,0.0569,1,0.0558,0.421,17.57469244288225
MISAME-III,14-21 days,BEP/IFA,up,Ammonia Recycling,7,0.0569,1,0.0558,0.421,17.57469244288225
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.0569,1,0.0558,0.816,17.57469244288225
ELICIT,5 mo.,Nico,down,"Valine, Leucine and Isoleucine Degradation",5,0.0569,1,0.0558,1,-17.57469244288225
MISAME-III,14-21 days,BEP/BEP,down,Catecholamine Biosynthesis,4,0.0585,1,0.0574,0.352,-17.094017094017094
MISAME-III,14-21 days,BEP/BEP,down,Glutathione Metabolism,4,0.0585,1,0.0574,0.352,-17.094017094017094
MISAME-III,14-21 days,BEP/BEP,down,Arachidonic Acid Metabolism,4,0.0585,1,0.0574,0.352,-17.094017094017094
MISAME-III,14-21 days,BEP/BEP,down,Betaine Metabolism,4,0.0585,1,0.0574,0.352,-17.094017094017094
ELICIT,1 mo.,Nico,up,Purine Metabolism,6,0.0585,1,0.0574,1,17.094017094017094
ELICIT,1 mo.,Az.,down,Propanoate Metabolism,3,0.0585,1,0.0575,0.352,-17.094017094017094
ELICIT,1 mo.,Nico+Az.,down,Alanine Metabolism,3,0.0585,1,0.0575,0.256,-17.094017094017094
ELICIT,1 mo.,Nico+Az.,down,Homocysteine Degradation,3,0.0585,1,0.0575,0.256,-17.094017094017094
MISAME-III,1-2 mo.,IFA/BEP,down,Arginine and Proline Metabolism,10,0.407,2,0.0585,0.957,-4.914004914004915
MISAME-III,3-4 mo.,IFA/BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.0634,1,0.0622,0.575,-15.772870662460567
MISAME-III,3-4 mo.,IFA/BEP,down,Fatty Acid Biosynthesis,3,0.0634,1,0.0622,0.575,-15.772870662460567
ELICIT,1 mo.,Az.,up,Glycine and Serine Metabolism,13,0.0634,1,0.0622,1,15.772870662460567
MISAME-III,14-21 days,IFA/BEP,down,Glycine and Serine Metabolism,13,0.423,2,0.0632,0.273,-4.7281323877068555
MISAME-III,14-21 days,BEP/IFA,down,Arginine and Proline Metabolism,10,0.065,1,0.0636,0.48,-15.384615384615383
MISAME-III,14-21 days,BEP/IFA,up,Histidine Metabolism,8,0.065,1,0.0636,0.445,15.384615384615383
MISAME-III,1-2 mo.,BEP/IFA,up,Aspartate Metabolism,8,0.065,1,0.0636,0.89,15.384615384615383
ELICIT,1 mo.,Nico,down,"Valine, Leucine and Isoleucine Degradation",5,0.065,1,0.0636,0.623,-15.384615384615383
ELICIT,1 mo.,Nico,down,Carnitine Synthesis,5,0.065,1,0.0636,0.623,-15.384615384615383
ELICIT,1 mo.,Nico,down,Warburg Effect,5,0.065,1,0.0636,0.623,-15.384615384615383
ELICIT,5 mo.,Az.,down,Glutathione Metabolism,4,0.065,1,0.0636,0.416,-15.384615384615383
MISAME-III,14-21 days,IFA/BEP,down,Cysteine Metabolism,2,0.065,1,0.064,0.273,-15.384615384615383
MISAME-III,14-21 days,IFA/BEP,down,Taurine and Hypotaurine Metabolism,2,0.065,1,0.064,0.273,-15.384615384615383
MISAME-III,14-21 days,IFA/BEP,down,Citric Acid Cycle,2,0.065,1,0.064,0.273,-15.384615384615383
MISAME-III,14-21 days,IFA/BEP,down,Pyruvate Metabolism,2,0.065,1,0.064,0.273,-15.384615384615383
MISAME-III,14-21 days,IFA/BEP,down,Gluconeogenesis,2,0.065,1,0.064,0.273,-15.384615384615383
MISAME-III,14-21 days,IFA/BEP,down,Phosphatidylethanolamine Biosynthesis,2,0.065,1,0.064,0.273,-15.384615384615383
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Purine Metabolism,6,0.0683,1,0.0666,0.816,14.641288433382138
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Tryptophan Metabolism,6,0.0683,1,0.0666,0.816,14.641288433382138
ELICIT,1 mo.,Nico,up,Urea Cycle,7,0.0683,1,0.0666,1,14.641288433382138
ELICIT,5 mo.,Nico,down,Purine Metabolism,6,0.0683,1,0.0666,1,-14.641288433382138
ELICIT,5 mo.,Nico,down,Tryptophan Metabolism,6,0.0683,1,0.0666,1,-14.641288433382138
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Glycerolipid Metabolism,3,0.0683,1,0.0669,0.546,-14.641288433382138
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.0683,1,0.0669,0.546,-14.641288433382138
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Homocysteine Degradation,3,0.0683,1,0.0669,0.546,-14.641288433382138
MISAME-III,1-2 mo.,BEP/BEP,down,Pyruvate Metabolism,2,0.0683,1,0.0672,1,-14.641288433382138
MISAME-III,1-2 mo.,BEP/BEP,down,Gluconeogenesis,2,0.0683,1,0.0672,1,-14.641288433382138
MISAME-III,1-2 mo.,IFA/BEP,down,Methionine Metabolism,11,0.447,2,0.0697,0.957,-4.47427293064877
MISAME-III,3-4 mo.,BEP/BEP,down,Catecholamine Biosynthesis,4,0.0715,1,0.0698,1,-13.986013986013987
MISAME-III,3-4 mo.,BEP/IFA,down,Methionine Metabolism,11,0.0715,1,0.0698,1,-13.986013986013987
MISAME-III,14-21 days,BEP/BEP,down,Alpha Linolenic Acid and Linoleic Acid Metabolism,5,0.0732,1,0.0713,0.388,-13.66120218579235
MISAME-III,14-21 days,BEP/BEP,down,Warburg Effect,5,0.0732,1,0.0713,0.388,-13.66120218579235
ELICIT,1 mo.,Nico,up,Aspartate Metabolism,8,0.078,1,0.0759,1,12.820512820512821
ELICIT,1 mo.,Az.,down,Oxidation of Branched Chain Fatty Acids,4,0.078,1,0.076,0.414,-12.820512820512821
ELICIT,1 mo.,Az.,down,Betaine Metabolism,4,0.078,1,0.076,0.414,-12.820512820512821
ELICIT,1 mo.,Nico+Az.,down,Phospholipid Biosynthesis,4,0.078,1,0.076,0.31,-12.820512820512821
ELICIT,1 mo.,Nico+Az.,down,Oxidation of Branched Chain Fatty Acids,4,0.078,1,0.076,0.31,-12.820512820512821
Mumta-LW,1.5 mo.,BEP+ExBf,up,Propanoate Metabolism,3,0.078,1,0.0762,0.533,12.820512820512821
Mumta-LW,1.5 mo.,BEP+ExBf,up,Amino Sugar Metabolism,3,0.078,1,0.0762,0.533,12.820512820512821
Mumta-LW,1.5 mo.,BEP+ExBf,up,Alanine Metabolism,3,0.078,1,0.0762,0.533,12.820512820512821
Mumta-LW,1.5 mo.,BEP+ExBf,up,Glucose-Alanine Cycle,3,0.078,1,0.0762,0.533,12.820512820512821
Mumta-LW,2 mo.,BEP+ExBf,up,Urea Cycle,7,0.0797,1,0.0774,0.948,12.547051442910917
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Urea Cycle,7,0.0797,1,0.0774,0.842,12.547051442910917
ELICIT,5 mo.,Az.,down,"Valine, Leucine and Isoleucine Degradation",5,0.0813,1,0.0789,0.455,-12.300123001230013
ELICIT,5 mo.,Az.,down,Carnitine Synthesis,5,0.0813,1,0.0789,0.455,-12.300123001230013
MISAME-III,1-2 mo.,IFA/BEP,down,Pyruvate Metabolism,2,0.0813,1,0.0797,0.957,-12.300123001230013
MISAME-III,1-2 mo.,IFA/BEP,down,Gluconeogenesis,2,0.0813,1,0.0797,0.957,-12.300123001230013
MISAME-III,1-2 mo.,BEP/IFA,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.0829,1,0.0808,0.528,-12.062726176115802
MISAME-III,1-2 mo.,BEP/IFA,down,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.0829,1,0.0808,0.528,-12.062726176115802
MISAME-III,14-21 days,IFA/BEP,down,Bile Acid Biosynthesis,15,0.488,2,0.0819,0.331,-4.098360655737705
MISAME-III,3-4 mo.,BEP/IFA,down,Glycine and Serine Metabolism,13,0.0846,1,0.0821,1,-11.82033096926714
MISAME-III,3-4 mo.,IFA/BEP,down,Catecholamine Biosynthesis,4,0.0846,1,0.0821,0.575,-11.82033096926714
MISAME-III,3-4 mo.,IFA/BEP,down,Glutathione Metabolism,4,0.0846,1,0.0821,0.575,-11.82033096926714
MISAME-III,3-4 mo.,IFA/BEP,down,Arachidonic Acid Metabolism,4,0.0846,1,0.0821,0.575,-11.82033096926714
MISAME-III,3-4 mo.,IFA/BEP,down,Betaine Metabolism,4,0.0846,1,0.0821,0.575,-11.82033096926714
MISAME-III,3-4 mo.,BEP/BEP,down,Spermidine and Spermine Biosynthesis,5,0.0894,1,0.0866,1,-11.185682326621924
MISAME-III,1-2 mo.,BEP/BEP,up,Aspartate Metabolism,8,0.0911,1,0.088,0.958,10.97694840834248
MISAME-III,1-2 mo.,BEP/BEP,up,Glutamate Metabolism,8,0.0911,1,0.088,0.958,10.97694840834248
Mumta-LW,2 mo.,BEP+ExBf,up,Glutamate Metabolism,8,0.0911,1,0.088,0.958,10.97694840834248
Mumta-LW,2 mo.,BEP+ExBf+AZT,up,Glutamate Metabolism,8,0.0911,1,0.088,0.862,10.97694840834248
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Catecholamine Biosynthesis,4,0.0911,1,0.0882,0.617,-10.97694840834248
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Betaine Metabolism,4,0.0911,1,0.0882,0.617,-10.97694840834248
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Arginine and Proline Metabolism,10,0.0976,1,0.094,1,-10.245901639344261
ELICIT,1 mo.,Nico,up,Arginine and Proline Metabolism,10,0.0976,1,0.094,1,10.245901639344261
MISAME-III,1-2 mo.,IFA/BEP,down,Glycine and Serine Metabolism,13,0.528,2,0.0941,0.957,-3.7878787878787876
ELICIT,1 mo.,Az.,down,Spermidine and Spermine Biosynthesis,5,0.0976,1,0.0941,0.461,-10.245901639344261
ELICIT,1 mo.,Az.,down,Carnitine Synthesis,5,0.0976,1,0.0941,0.461,-10.245901639344261
ELICIT,1 mo.,Nico+Az.,down,Warburg Effect,5,0.0976,1,0.0941,0.369,-10.245901639344261
MISAME-III,14-21 days,BEP/IFA,down,Bile Acid Biosynthesis,15,0.0976,1,0.0943,0.66,-10.245901639344261
ELICIT,5 mo.,Nico+Az.,down,Bile Acid Biosynthesis,15,0.0976,1,0.0943,1,-10.245901639344261
MISAME-III,14-21 days,IFA/BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.0976,1,0.0946,0.331,-10.245901639344261
MISAME-III,14-21 days,IFA/BEP,down,Alanine Metabolism,3,0.0976,1,0.0946,0.331,-10.245901639344261
MISAME-III,14-21 days,IFA/BEP,down,Homocysteine Degradation,3,0.0976,1,0.0946,0.331,-10.245901639344261
MISAME-III,14-21 days,IFA/BEP,down,Fatty Acid Biosynthesis,3,0.0976,1,0.0946,0.331,-10.245901639344261
MISAME-III,14-21 days,BEP/BEP,down,Ammonia Recycling,7,0.102,1,0.0985,0.508,-9.803921568627452
MISAME-III,1-2 mo.,BEP/BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.102,1,0.0991,1,-9.803921568627452
MISAME-III,1-2 mo.,BEP/BEP,down,Homocysteine Degradation,3,0.102,1,0.0991,1,-9.803921568627452
MISAME-III,1-2 mo.,BEP/BEP,down,Fatty Acid Biosynthesis,3,0.102,1,0.0991,1,-9.803921568627452
MISAME-III,1-2 mo.,BEP/BEP,down,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.102,1,0.0991,1,-9.803921568627452
Mumta-LW,1.5 mo.,BEP+ExBf,up,Glutathione Metabolism,4,0.104,1,0.1,0.607,9.615384615384615
Mumta-LW,1.5 mo.,BEP+ExBf,up,Lysine Degradation,4,0.104,1,0.1,0.607,9.615384615384615
ELICIT,1 mo.,Nico,down,Glutamate Metabolism,8,0.104,1,0.1,0.891,-9.615384615384615
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,up,Methionine Metabolism,11,0.107,1,0.103,1,9.345794392523365
Mumta-LW,2 mo.,BEP+ExBf,down,Methionine Metabolism,11,0.107,1,0.103,1,-9.345794392523365
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Methionine Metabolism,11,0.107,1,0.103,1,-9.345794392523365
ELICIT,1 mo.,Nico,up,Methionine Metabolism,11,0.107,1,0.103,1,9.345794392523365
MISAME-III,1-2 mo.,BEP/IFA,down,Oxidation of Branched Chain Fatty Acids,4,0.111,1,0.106,0.584,-9.00900900900901
MISAME-III,1-2 mo.,BEP/IFA,down,Arachidonic Acid Metabolism,4,0.111,1,0.106,0.584,-9.00900900900901
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Spermidine and Spermine Biosynthesis,5,0.114,1,0.109,0.668,-8.771929824561402
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Warburg Effect,5,0.114,1,0.109,0.668,-8.771929824561402
MISAME-III,14-21 days,BEP/BEP,down,Aspartate Metabolism,8,0.117,1,0.112,0.522,-8.547008547008547
MISAME-III,14-21 days,BEP/BEP,down,Glutamate Metabolism,8,0.117,1,0.112,0.522,-8.547008547008547
ELICIT,1 mo.,Nico+Az.,down,Purine Metabolism,6,0.117,1,0.112,0.422,-8.547008547008547
MISAME-III,1-2 mo.,BEP/IFA,up,Bile Acid Biosynthesis,15,0.122,1,0.117,1,8.19672131147541
MISAME-III,1-2 mo.,IFA/BEP,down,Beta Oxidation of Very Long Chain Fatty Acids,3,0.122,1,0.117,0.957,-8.19672131147541
MISAME-III,1-2 mo.,IFA/BEP,down,Homocysteine Degradation,3,0.122,1,0.117,0.957,-8.19672131147541
MISAME-III,1-2 mo.,IFA/BEP,down,Fatty Acid Biosynthesis,3,0.122,1,0.117,0.957,-8.19672131147541
MISAME-III,1-2 mo.,IFA/BEP,down,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,0.122,1,0.117,0.957,-8.19672131147541
MISAME-III,3-4 mo.,BEP/BEP,down,Sphingolipid Metabolism,7,0.125,1,0.119,1,-8
MISAME-III,3-4 mo.,BEP/BEP,down,Urea Cycle,7,0.125,1,0.119,1,-8
ELICIT,5 mo.,Nico,down,Methionine Metabolism,11,0.125,1,0.119,1,-8
Mumta-LW,2 mo.,BEP+ExBf,down,Glycine and Serine Metabolism,13,0.127,1,0.121,1,-7.874015748031496
Mumta-LW,2 mo.,BEP+ExBf+AZT,down,Glycine and Serine Metabolism,13,0.127,1,0.121,1,-7.874015748031496
ELICIT,1 mo.,Nico,up,Glycine and Serine Metabolism,13,0.127,1,0.121,1,7.874015748031496
MISAME-III,14-21 days,IFA/BEP,down,Phospholipid Biosynthesis,4,0.13,1,0.124,0.38,-7.692307692307692
MISAME-III,14-21 days,IFA/BEP,down,Oxidation of Branched Chain Fatty Acids,4,0.13,1,0.124,0.38,-7.692307692307692
MISAME-III,14-21 days,IFA/BEP,down,Arachidonic Acid Metabolism,4,0.13,1,0.124,0.38,-7.692307692307692
