study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
MISAME-III,14-21 days,IFA/BEP,down,Sphingolipid Metabolism,7,0.228,1,0.208,0.581,-4.385964912280701
MISAME-III,1-2 mo.,BEP/BEP,down,Sphingolipid Metabolism,7,0.239,1,0.217,1,-4.184100418410042
MISAME-III,1-2 mo.,IFA/BEP,down,Tryptophan Metabolism,6,0.244,1,0.221,1,-4.098360655737705
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Methionine Metabolism,11,0.25,1,0.225,1,-4
Mumta-LW,1.5 mo.,BEP+ExBf,up,Arginine and Proline Metabolism,10,0.26,1,0.233,0.952,3.846153846153846
MISAME-III,14-21 days,IFA/BEP,down,Aspartate Metabolism,8,0.26,1,0.234,0.636,-3.846153846153846
MISAME-III,1-2 mo.,IFA/BEP,down,Sphingolipid Metabolism,7,0.285,1,0.253,1,-3.5087719298245617
MISAME-III,1-2 mo.,IFA/BEP,down,Urea Cycle,7,0.285,1,0.253,1,-3.5087719298245617
Mumta-LW,1.5 mo.,BEP+ExBf,up,Methionine Metabolism,11,0.286,1,0.254,0.994,3.4965034965034967
ELICIT,1 mo.,Nico+Az.,down,Bile Acid Biosynthesis,15,0.293,1,0.258,0.905,-3.4129692832764507
Mumta-LW,1.5 mo.,BEP+ExBf,up,Glycine and Serine Metabolism,13,0.338,1,0.293,1,2.9585798816568047
Mumta-LW,1.5 mo.,BEP+ExBf+AZT,down,Bile Acid Biosynthesis,15,0.341,1,0.295,1,-2.9325513196480935
MISAME-III,1-2 mo.,BEP/IFA,down,Bile Acid Biosynthesis,15,0.415,1,0.346,1,-2.4096385542168677
MISAME-III,1-2 mo.,BEP/BEP,down,Glycine and Serine Metabolism,13,0.444,1,0.366,1,-2.2522522522522523
