study,timepoint,contrast,direction,pathway,total,expected,hits,raw_p,fdr_native,enrichment_ratio
ELICIT,5 mo.,Nico,down,Taurine and Hypotaurine Metabolism,2,0.0141,1,0.0141,0.345,-70.92198581560284
ELICIT,5 mo.,Nico,down,"Valine, Leucine and Isoleucine Degradation",2,0.0141,1,0.0141,0.345,-70.92198581560284
ELICIT,1 mo.,Nico,up,Purine Metabolism,4,0.0161,1,0.0161,0.783,62.11180124223603
ELICIT,5 mo.,Az.,down,Taurine and Hypotaurine Metabolism,2,0.0182,1,0.0181,0.161,-54.94505494505494
ELICIT,5 mo.,Az.,down,"Valine, Leucine and Isoleucine Degradation",2,0.0182,1,0.0181,0.161,-54.94505494505494
ELICIT,5 mo.,Az.,down,Alanine Metabolism,2,0.0182,1,0.0181,0.161,-54.94505494505494
ELICIT,5 mo.,Nico+Az.,down,Aspartate Metabolism,6,0.0182,1,0.0181,0.253,-54.94505494505494
ELICIT,1 mo.,Nico,up,Urea Cycle,5,0.0202,1,0.0201,0.783,49.504950495049506
ELICIT,1 mo.,Nico,down,Oxidation of Branched Chain Fatty Acids,3,0.0212,1,0.0211,0.258,-47.16981132075472
ELICIT,1 mo.,Nico+Az.,down,Ammonia Recycling,3,0.0212,1,0.0211,0.0826,-47.16981132075472
ELICIT,1 mo.,Nico+Az.,down,Oxidation of Branched Chain Fatty Acids,3,0.0212,1,0.0211,0.0826,-47.16981132075472
ELICIT,1 mo.,Nico,up,Aspartate Metabolism,6,0.0242,1,0.024,0.783,41.32231404958678
ELICIT,5 mo.,Az.,down,Ammonia Recycling,3,0.0272,1,0.027,0.204,-36.76470588235294
ELICIT,5 mo.,Az.,down,Glutathione Metabolism,3,0.0272,1,0.027,0.204,-36.76470588235294
ELICIT,1 mo.,Nico,down,Carnitine Synthesis,4,0.0283,1,0.028,0.305,-35.3356890459364
ELICIT,1 mo.,Nico+Az.,down,Purine Metabolism,4,0.0283,1,0.028,0.102,-35.3356890459364
ELICIT,1 mo.,Nico+Az.,down,Spermidine and Spermine Biosynthesis,4,0.0283,1,0.028,0.102,-35.3356890459364
ELICIT,5 mo.,Nico,down,Purine Metabolism,4,0.0283,1,0.028,0.457,-35.3356890459364
ELICIT,5 mo.,Nico,down,Tryptophan Metabolism,4,0.0283,1,0.028,0.457,-35.3356890459364
ELICIT,1 mo.,Nico,up,Arginine and Proline Metabolism,8,0.0323,1,0.0319,0.783,30.959752321981423
ELICIT,1 mo.,Nico,down,Glutamate Metabolism,5,0.0353,1,0.0349,0.342,-28.328611898016998
ELICIT,5 mo.,Az.,down,Beta-Alanine Metabolism,4,0.0363,1,0.0359,0.234,-27.548209366391184
ELICIT,5 mo.,Az.,down,Carnitine Synthesis,4,0.0363,1,0.0359,0.234,-27.548209366391184
ELICIT,5 mo.,Nico+Az.,down,Bile Acid Biosynthesis,14,0.0424,1,0.0418,0.512,-23.58490566037736
ELICIT,5 mo.,Az.,down,Histidine Metabolism,5,0.0454,1,0.0447,0.258,-22.026431718061673
ELICIT,5 mo.,Az.,down,Glutamate Metabolism,5,0.0454,1,0.0447,0.258,-22.026431718061673
ELICIT,5 mo.,Az.,down,Aspartate Metabolism,6,0.0545,1,0.0534,0.291,-18.34862385321101
ELICIT,1 mo.,Nico,down,Arginine and Proline Metabolism,8,0.0565,1,0.0553,0.452,-17.699115044247787
ELICIT,1 mo.,Nico,down,Methionine Metabolism,8,0.0565,1,0.0553,0.452,-17.699115044247787
ELICIT,5 mo.,Nico,down,Methionine Metabolism,8,0.0565,1,0.0553,0.76,-17.699115044247787
ELICIT,1 mo.,Nico,down,Glycine and Serine Metabolism,9,0.0636,1,0.062,0.468,-15.723270440251572
ELICIT,5 mo.,Nico,down,Glycine and Serine Metabolism,9,0.0636,1,0.062,0.76,-15.723270440251572
ELICIT,1 mo.,Nico+Az.,down,Bile Acid Biosynthesis,14,0.0989,1,0.0951,0.333,-10.111223458038422
