"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP+ExBf","down","Inositol Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Propanoate Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Arginine and Proline Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Phospholipid Biosynthesis","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Histidine Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Alanine Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Citric Acid Cycle","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Urea Cycle","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Pyruvate Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Gluconeogenesis","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Lactose Synthesis","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Fatty Acid Biosynthesis","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Phosphatidylinositol Phosphate Metabolism","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Transfer of Acetyl Groups into Mitochondria","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Degradation of Superoxides","Manganese"
"Vital (2 mo.)","BEP+ExBf","down","Warburg Effect","Manganese"
