"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP","combined","Beta-Alanine Metabolism","Pantothenic acid"
"Vital (2 mo.)","BEP","combined","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Vital (2 mo.)","BEP","combined","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Vital (2 mo.)","BEP","combined","Nicotinate and Nicotinamide Metabolism","N1-Methyl-2-pyridone-5-carboxamide"
"Vital (2 mo.)","BEP","combined","Nicotinate and Nicotinamide Metabolism","Nicotinamide riboside"
"Vital (2 mo.)","BEP","combined","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Vital (2 mo.)","BEP","combined","Biotin Metabolism","Biotin"
"Vital (2 mo.)","BEP","combined","Riboflavin Metabolism","Flavin Mononucleotide"
"Vital (2 mo.)","BEP","combined","Retinol Metabolism","Vitamin A"
"Vital (2 mo.)","BEP","combined","Thiamine Metabolism","Thiamine"
