"child_median","biomarker"
2.919,"fat"
0.8075,"protein"
7.237,"carbohydrate"
586.08,"kcal.l"
109.387278045993,"na"
36.8619681841401,"mg"
139.825789915288,"p"
538.644749625515,"k"
289.548535062642,"ca"
9.13859775438464,"cr"
218.610819707096,"fe"
221.861438448038,"cu"
1153.8320805656,"zn"
0.978180594196806,"mo"
0,"as"
0.938866158458315,"mn"
12.5802018933734,"se"
0.913223921199608,"g.tocopherol"
4.48809917018357,"a.tocopherol"
0.620113164804331,"vitamin.A"
252.011533586819,"b12"
2.65124148117176,"tpp"
133.99880333538,"tmp"
54.1747934686978,"t"
156.873312371581,"b1"
59.2165215061419,"ribo"
14.8138434029976,"fmn"
183.771084164194,"fad"
173.653043164538,"b2"
344.834552298307,"nam"
2310.97981725462,"nad"
1196.09633299196,"nmn"
348.856310647697,"nr"
1532.26590251237,"b3"
710.948577258092,"nufa"
5697.05675161887,"pa"
118.152151342608,"pl"
0.451878534380509,"pm"
0,"pn"
14.4806898840394,"plp"
129.860958028675,"b6"
13.8103410048541,"bio"
480.947742137731,"trp"
