compartment,direction,class,n_class,n_fg,OR,p,fdr
MaternalPlasma,down,Acylcarnitines,19,10,4.90215434467637,0.000957461753798589,0.0287238526139577
MaternalPlasma,down,Sphingomyelins,68,22,2.15713760891928,0.00627489482508716,0.0883725483169413
MaternalPlasma,down,Very long chain dicarboxylic acids,11,6,5.20712227935222,0.00883725483169413,0.0883725483169413
MaternalPlasma,down,Lysophosphocholines,24,10,3.13456068364814,0.0141128085046774,0.10584606378508
MaternalPlasma,down,Oxylipins,64,5,0.342802096437124,0.0200249603292287,0.120149761975372
MaternalPlasma,down,Dihydrofurans,18,0,0,0.0329383288554677,0.163313107521902
MaternalPlasma,down,Phosphoethanolamines,142,18,0.576815835258907,0.0381063917551104,0.163313107521902
MaternalPlasma,down,Benzenesulfonic acids and derivatives,15,6,2.88141191105562,0.0486374028427094,0.179547463334082
MaternalPlasma,down,Bile acids and conjugates,12,5,3.07799751577788,0.059849154444694,0.179547463334082
MaternalPlasma,down,Organic phosphoric acids and derivatives,12,5,3.07799751577788,0.059849154444694,0.179547463334082
MaternalPlasma,down,Fatty acids and conjugates,90,11,0.566341256598464,0.0919928059341562,0.250889470729517
MaternalPlasma,down,Phosphocholines,189,44,1.37009219329749,0.12355088238086,0.30887720595215
MaternalPlasma,down,Indoles and derivatives,9,0,0,0.220623704862407,0.509131626605554
MaternalPlasma,down,Carbohydrates and conjugates,37,4,0.504174483958657,0.284364060506707,0.60373106705167
MaternalPlasma,down,Purines and purine derivatives,6,2,2.13022137936977,0.321989902427557,0.60373106705167
MaternalPlasma,down,Triglycerides,6,2,2.13022137936977,0.321989902427557,0.60373106705167
MaternalPlasma,down,Sterols and derivatives,8,0,0,0.365144695730168,0.644372992465002
MaternalPlasma,down,Steroids and derivatives,13,1,0.350338017112902,0.481368946084445,0.748935306316284
MaternalPlasma,down,Amino acids and derivatives,93,15,0.800383572873766,0.492062067800434,0.748935306316284
MaternalPlasma,down,Carboxylic acids or derivatives,52,8,0.761495207256247,0.588710465658086,0.748935306316284
MaternalPlasma,down,Ceramides,5,0,0,0.589916249139697,0.748935306316284
MaternalPlasma,down,Phosphatidylinositols,5,0,0,0.589916249139697,0.748935306316284
MaternalPlasma,down,Tocopherols,5,0,0,0.589916249139697,0.748935306316284
MaternalPlasma,down,Fatty amides,7,2,1.70259159381948,0.62411275526357,0.748935306316284
MaternalPlasma,down,Porphyrins and analogues,7,2,1.70259159381948,0.62411275526357,0.748935306316284
MaternalPlasma,down,Phosphoinositols,9,2,1.21367156052539,0.683877745606112,0.778429791987395
MaternalPlasma,down,Nucleotides and derivatives,11,1,0.42139776887265,0.700586812788655,0.778429791987395
MaternalPlasma,down,Diglycerides,23,5,1.18250295940211,0.787700166010513,0.843964463582693
MaternalPlasma,down,Fatty acid hydroxy fatty acids,19,3,0.792162369760175,1,1
MaternalPlasma,down,Phenols,8,1,0.604088858850917,1,1
