exhibit,kind,path,generator,depends,exists,bytes,mtime,notes
Fig 1,figure,figures/figure1.png,figure-scripts/manuscript_figures/fig1-ml-vim-classifier.R,figure-data/SL_vim_plot_data.RDS,TRUE,433379,2026-09-08T11:58:05,""
Fig 2,figure,figures/figure2.png,figure-scripts/manuscript_figures/fig2-primary-forest.R,figure-data/primary_forest_plots.RDS,TRUE,647385,2026-09-08T11:58:40,""
Fig 3,figure,figures/figure3.png,figure-scripts/manuscript_figures/fig3-primary-volcano-composite.R,figures/figure3_panelB_msea.png,TRUE,471955,2026-09-23T07:49:37,""
Fig 3B,figure,figures/figure3_panelB_msea.png,figure-scripts/manuscript_figures/fig3B-pathway.R,results/metaboanalyst/primary_pathway_local/primary_pathway_all_cells.csv,TRUE,183578,2026-09-23T07:41:22,Panel B of Fig 3; renamed from the legacy figure4_panelB_msea.png on 2026-09-08
Fig 4,figure,figures/figure4.jpeg,figure-scripts/manuscript_figures/fig4-milq-boxplots.R,"",TRUE,2111009,2026-09-23T07:55:52,""
Fig 5,figure,figures/figure5.png,figure-scripts/manuscript_figures/fig5-tertiary-composite.R,figures/figure5_panelC_tg_composition.png,TRUE,602071,2026-09-23T07:51:59,""
Fig 5C,figure,figures/figure5_panelC_tg_composition.png,figure-scripts/manuscript_figures/fig5C-triglyceride.R,results/metaboanalyst/triglyceride_fa/triglyceride_fa_composition_combined.csv,TRUE,107496,2026-09-23T07:51:26,Panel C of Fig 5; renamed from the legacy figure4_panelC_* names on 2026-09-08
Fig 6,figure,figures/figure6.png,figure-scripts/manuscript_figures/fig6-composite.R,figures/figure6_panelA_untargeted_msea.png;figures/figure6_panelB_mummichog.png;figures/figure6_panelC_proteomics_go.png;figures/figure6_panelD_crosscompartment.png,TRUE,1334109,2026-09-23T07:52:48,""
Fig 6A,figure,figures/figure6_panelA_untargeted_msea.png,figure-scripts/manuscript_figures/fig6A-untargeted-msea.R,results/metaboanalyst/untargeted_msea/untargeted_msea_combined.csv,TRUE,142252,2026-09-23T07:52:23,""
Fig 6B,figure,figures/figure6_panelB_mummichog.png,figure-scripts/manuscript_figures/fig6B-mummichog.R,results/metaboanalyst/mummichog_s5/milk_mummichog_tableS5.csv,TRUE,193217,2026-09-23T07:52:27,""
Fig 6C,figure,figures/figure6_panelC_proteomics_go.png,figure-scripts/manuscript_figures/fig6C-proteomics.R,results/proteomics_go_uniprot.csv,TRUE,143540,2026-09-23T07:52:36,""
Fig 6D,figure,figures/figure6_panelD_crosscompartment.png,figure-scripts/manuscript_figures/fig6D-crosscompartment.R,results/compartment_tracking/trenton_linked_crosscompartment.csv;results/compartment_tracking/metabolite_pathways_trenton.csv,TRUE,231252,2026-09-23T07:52:44,"Trenton's name-based grouping (src/trenton-ports/compartment-tracking.R::ct_trenton_track()), same rule as Table S11 and Fig S10 -- see Manuscript/PROVENANCE_AUDIT.md 6.4 (resolved)"
(retired) Fig S1,figure,archive/figures/figureS1.png,"","",TRUE,907476,2026-08-27T05:56:58,"DELETED 2026-08-26, not renumbered. Was STATIC: the exact submitted schematic; deliberately not rebuilt"
Fig S1,figure,figures/figureS1_growth_outcomes.png,figure-scripts/manuscript_figures/figS1-growth-outcomes.R,results/growth_intervention_effects_results.RDS,TRUE,145202,2026-09-23T07:53:16,"SUBMITTED Fig. S1 (aee9284 v2). Renamed from figureS2_growth_outcomes on 2026-09-08. PROMOTED 2026-08-25 (was STATIC, the submitted image at Manuscript/qmd/extracted/media_supplement/media/image1.png): supplement_v2.qmd already embedded this reconstructed figure since 2026-08-20 -- this row previously disagreed with that and with build_all_manuscript_figures.R, which already treated it as live; corrected to match. Static original vs. reconstruction is compared side-by-side in Manuscript/figure_comparison/build_figure_comparison.R / figures_old_vs_new.html -- see Manuscript/CODE_AUDIT_2026-08-25.md #5"
Fig S2,figure,figures/figureS2_milq_deficiency.png,figure-scripts/manuscript_figures/figS2-milq-deficiency.R,"",TRUE,285752,2026-09-08T12:45:52,""
Fig S3,figure,figures/figureS3_hmo_bioactives.png,figure-scripts/manuscript_figures/figS3-hmo-bioactives.R,"",TRUE,588084,2026-09-08T12:46:12,SUBMITTED Fig. S3 (aee9284 v2). Renamed from figureS4 on 2026-09-08; generator moved up out of supporting/.
