"","studytime","contrast","est","cil","ciu","measure","chi_pval","biomarker","chi_pval_adj","sig","sigFDR","outcome_group","pval","pval_adj","pval_adj_global","chi_sig","chi_sigFDR","study","visit","label","description","category","category_raw","label_f"
"1","Elicit (1 mo.)","Control",-0.669927485243143,-0.755762139587297,-0.584092830898989,"MN",1.5091954724528e-37,"Nmn",6.33862098430177e-36,1,1,"primary",7.97621286594061e-53,3.35000940369506e-51,3.65678682161585e-51,1,1,"Elicit","1 mo.","nicotinamide mononucleotide","Micronutrient; Water soluble vitamin","B3 or related","B3","nicotinamide mononucleotide"
"2","Elicit (1 mo.)","Nico",0.650032906902867,0.467252247597707,0.832813566208028,"MN",1.5091954724528e-37,"Nmn",6.33862098430177e-36,1,1,"primary",3.1620364740193e-12,4.42685106362702e-11,6.49853013281208e-11,1,1,"Elicit","1 mo.","nicotinamide mononucleotide","Micronutrient; Water soluble vitamin","B3 or related","B3","nicotinamide mononucleotide"
"3","Elicit (1 mo.)","Nico",1.31996039214601,1.11794665288337,1.52197413140865,"ATE",1.5091954724528e-37,"Nmn",6.33862098430177e-36,1,1,"primary",1.50919547402727e-37,6.33862099091453e-36,2.24870125630063e-35,1,1,"Elicit","1 mo.","nicotinamide mononucleotide","Micronutrient; Water soluble vitamin","B3 or related","B3","nicotinamide mononucleotide"
"4","Elicit (1 mo.)","Control",-0.660830962951099,-0.747114775186685,-0.574547150715513,"MN",2.87818107234202e-35,"B3",6.04418025191823e-34,1,1,"primary",6.22182144009007e-51,1.74211000322522e-49,2.64871827020977e-49,1,1,"Elicit","1 mo.","vitamin B3 ( expressed as NAM)","Micronutrient; Water soluble vitamin","B3 or related","B3","vitamin B3 ( expressed as NAM)"
"5","Elicit (1 mo.)","Nico",0.645220956898733,0.457237545224321,0.833204368573144,"MN",2.87818107234202e-35,"B3",6.04418025191823e-34,1,1,"primary",1.72909449650741e-11,2.07491339580889e-10,3.32432361264005e-10,1,1,"Elicit","1 mo.","vitamin B3 ( expressed as NAM)","Micronutrient; Water soluble vitamin","B3 or related","B3","vitamin B3 ( expressed as NAM)"
"6","Elicit (1 mo.)","Nico",1.30605191984983,1.09948630264949,1.51261753705017,"ATE",2.87818107234202e-35,"B3",6.04418025191823e-34,1,1,"primary",2.87818107388417e-35,6.04418025515676e-34,2.14424490004371e-33,1,1,"Elicit","1 mo.","vitamin B3 ( expressed as NAM)","Micronutrient; Water soluble vitamin","B3 or related","B3","vitamin B3 ( expressed as NAM)"
"7","Elicit (1 mo.)","Control",-0.547065825503159,-0.594481120530378,-0.499650530475939,"MN",6.3727266920409e-21,"Nufa",8.92181736885726e-20,1,1,"primary",3.18657855250226e-113,2.6767259841019e-111,2.37400102161419e-111,1,1,"Elicit","1 mo.","nudifloramide (niacin catabolite)","Micronutrient; Water soluble vitamin","B3 or related","B3 (catabolite)","nudifloramide (niacin catabolite)"
"8","Elicit (1 mo.)","Nico",0.535255517771806,0.314219446211543,0.756291589332069,"MN",6.3727266920409e-21,"Nufa",8.92181736885726e-20,1,1,"primary",2.07273147294478e-06,1.93454937474846e-05,2.3308452035379e-05,1,1,"Elicit","1 mo.","nudifloramide (niacin catabolite)","Micronutrient; Water soluble vitamin","B3 or related","B3 (catabolite)","nudifloramide (niacin catabolite)"
"9","Elicit (1 mo.)","Nico",1.08232134327496,0.856256779583977,1.30838590696595,"ATE",6.3727266920409e-21,"Nufa",8.92181736885726e-20,1,1,"primary",6.37272669219011e-21,8.92181736906615e-20,2.71296079181808e-19,1,1,"Elicit","1 mo.","nudifloramide (niacin catabolite)","Micronutrient; Water soluble vitamin","B3 or related","B3 (catabolite)","nudifloramide (niacin catabolite)"
"10","Elicit (1 mo.)","Control",-0.478503403386567,-0.546647861216901,-0.410358945556233,"MN",1.26128664552196e-17,"Nam",1.32435097779806e-16,1,1,"primary",4.27465695487647e-43,8.97677960524058e-42,1.69846369673758e-41,1,1,"Elicit","1 mo.","nicotinamide","Micronutrient; Water soluble vitamin","B3 or related","B3","nicotinamide"
"11","Elicit (1 mo.)","Nico",0.486751601586904,0.274337505574903,0.699165697598906,"MN",1.26128664552196e-17,"Nam",1.32435097779806e-16,1,1,"primary",7.07894759042484e-06,5.94631597595687e-05,7.03175460648867e-05,1,1,"Elicit","1 mo.","nicotinamide","Micronutrient; Water soluble vitamin","B3 or related","B3","nicotinamide"
"12","Elicit (1 mo.)","Nico",0.965255004973471,0.743911323317792,1.18659868662915,"ATE",1.26128664552196e-17,"Nam",1.32435097779806e-16,1,1,"primary",1.26128664556786e-17,1.32435097784625e-16,4.17626022643579e-16,1,1,"Elicit","1 mo.","nicotinamide","Micronutrient; Water soluble vitamin","B3 or related","B3","nicotinamide"
"13","Elicit (1 mo.)","Control",-0.494463785013314,-0.568708545888718,-0.420219024137909,"MN",1.34938046265055e-16,"Nr",1.13347958862646e-15,1,1,"primary",6.09386404025535e-39,1.0237691587629e-37,2.26996435499512e-37,1,1,"Elicit","1 mo.","nicotinamide riboside","Micronutrient; Water soluble vitamin","B3 or related","B3","nicotinamide riboside"
