"agedays","fat_cutoff","protein_cutoff","carbohydrate_cutoff","kcal.l_cutoff","na_cutoff","mg_cutoff","p_cutoff","k_cutoff","ca_cutoff","cr_cutoff","fe_cutoff","cu_cutoff","zn_cutoff","mo_cutoff","as_cutoff","mn_cutoff","se_cutoff","g.tocopherol_cutoff","a.tocopherol_cutoff","vitamin.A_cutoff","b12_cutoff","tpp_cutoff","tmp_cutoff","t_cutoff","b1_cutoff","ribo_cutoff","fmn_cutoff","fad_cutoff","b2_cutoff","nam_cutoff","nad_cutoff","nmn_cutoff","nr_cutoff","b3_cutoff","nufa_cutoff","pa_cutoff","pl_cutoff","pm_cutoff","pn_cutoff","plp_cutoff","b6_cutoff","bio_cutoff","trp_cutoff"
11,-0.401243364891817,1.00945800955277,6.99660514694476,304.626352586784,208.689259385972,21.6953379164982,97.1356526012455,598.815426666298,235.102938830966,-44.1968362889943,-157.775472588165,-2323.66488639911,1349.0036863164,-14.8223556935538,-0.598414743064233,8.70107302212834,13.8367298174366,-0.385586974502173,-1.57558802814896,-0.0833372573886452,-146.575733639251,-5.18582495417811,43.2690009201589,-19.4224828455519,81.9937875210423,-274.334641532108,14.7323270665906,43.5347908338581,-175.431706320429,-129.707824857026,-586.833058461031,376.266802135855,-576.407884231788,453.614878693234,27.9609753092099,8.55306551698231,-154.776801142008,-1.51746994575541,-80.9093163957286,13.9733606920062,-200.691972962594,-8.4549648610267,8.39497998925094
12,-0.393394588153206,1.001862833672,6.99256883312578,305.027331035675,205.190501980305,21.7302195122629,97.1296952066342,595.617906945418,234.771410154335,-44.2156606445148,-157.812871571274,-2324.76200323365,1315.67265627247,-14.8364387231678,-0.598716044643713,8.48194349307733,13.7303173606601,-0.385458544537851,-1.57002983664342,-0.0827540957047367,-146.295121221813,-5.18335772573402,42.9576354862954,-19.2996375301876,81.878925499235,-274.243860697038,14.3459295347189,43.5221556690896,-175.385293720635,-129.318506213869,-584.655813954203,374.545625439964,-576.931414358911,453.525814164632,27.8627052394046,4.90846135473021,-154.764593452745,-1.51662384175263,-80.9296149621655,13.6774624395844,-200.711402831294,-8.46524021849386,8.04412166323868
13,-0.385546304277725,0.994268404989173,6.98853318191808,305.428290851978,201.692045814611,21.7651000044015,97.1237378147407,592.420781076309,234.439881469246,-44.2344850008266,-157.850270549919,-2325.85912008895,1282.34626039985,-14.8505217514726,-0.599017346228447,8.26284719126567,13.6239147946838,-0.385330114317721,-1.56447164620094,-0.0821709411040132,-146.014508830735,-5.18089049778025,42.6462700489151,-19.1767922159781,81.764063475205,-274.153079863685,13.9595907366931,43.5095204999681,-175.338881127577,-128.929187561862,-582.478569560211,372.824448817235,-577.454944546522,453.436749628301,27.7644351231501,1.26385282968113,-154.752385818328,-1.51577773771448,-80.9499135287047,13.3816096156721,-200.730832745642,-8.47551557689975,7.69326333828815
14,-0.377699270719123,0.986675888137597,6.98449922417921,305.829204117971,198.194360810576,21.7999776875409,97.1177804297915,589.224661663166,234.108352762581,-44.2533093591665,-157.887669517163,-2326.95623699755,1249.03170148259,-14.864604776415,-0.59931864782663,8.04383577606463,13.5175375304923,-0.385201683441105,-1.55891345847042,-0.0815878045454546,-145.733896506671,-5.17842327106775,42.3349046025257,-19.0539469047136,81.6492014454944,-274.06229903475,13.5734019236937,43.4968853197157,-175.292468551868,-128.539868887278,-580.301325454754,371.103272382461,-577.978474888071,453.347685072488,27.6661648882807,-2.38076685257238,-154.740178324519,-1.51493163358668,-80.9702120955061,13.0858728007996,-200.750262777053,-8.48579093770474,7.34240501611828
15,-0.369854311078813,0.979086552109441,6.98046808282834,306.230040594648,194.697959060314,21.8348507058711,97.1118230563904,586.030215998288,233.776824020059,-44.2721337208826,-157.925068465452,-2328.05335399492,1215.73682445789,-14.8786877957561,-0.59961994944719,7.82496551487849,13.411202359116,-0.38507325147111,-1.55335527524718,-0.0810046979569885,-145.45328429385,-5.17595604641266,42.0235391411409,-18.9311015983429,81.5343394063364,-273.971518213181,13.1874624762347,43.4842501209484,-175.246056005092,-128.150550175171,-578.124081829249,369.382096260847,-578.502005485248,453.258620484432,27.5678944562005,-6.02540509433584,-154.727971064808,-1.51408552931023,-80.9905106627437,12.790328863502,-200.769693003386,-8.49606630249965,6.99154669861184
16,-0.362012248958192,0.971501665896866,6.97644088078459,306.630770043003,191.203352655937,21.8697172035823,97.1058656991411,582.838111373973,233.445295227399,-44.290958087323,-157.962467387229,-2329.15047111657,1182.46947426293,-14.8927708072569,-0.599921251099054,7.60629267511146,13.3049260715855,-0.384944817970841,-1.54779709832657,-0.0804216332665432,-145.172672236499,-5.17348882463111,41.7121736587746,-18.8082562988151,81.4194773539642,-273.880737401927,12.8018717748302,43.4716148962822,-175.199643498833,-127.761231410594,-575.946838875112,367.660920577596,-579.025536439747,453.169555851375,27.4696237483145,-9.67006929791296,-154.715764132681,-1.51323942482612,-81.0108092305918,12.4950546723143,-200.789123502502,-8.5063416728753,6.64068838765195
17,-0.354173907958665,0.963922498492036,6.97241874096713,307.031362224033,187.711053689559,21.9045753248645,97.0999083626472,579.649015082522,233.113766370321,-44.309782459836,-157.999866274939,-2330.24758839797,1149.23749583494,-14.9068538086784,-0.600222552791151,7.38787352416778,13.1987254589312,-0.384816382503404,-1.54223892950392,-0.0798386224020469,-144.892060378849,-5.17102160653923,41.4008081494407,-18.685411008079,81.3046152846111,-273.789956603935,12.4167291999943,43.4589796383332,-175.153231044675,-127.371912578601,-573.76959678376,365.939745457911,-579.549067853257,453.080491160555,27.3713526860271,-13.3147668656111,-154.703557621628,-1.51239332007534,-81.0311077992245,12.2001270957718,-200.80855435226,-8.5166170504225,6.28983008512193
18,-0.346340111681644,0.956350318887113,6.9684027862951,307.43178689873,184.221574253295,21.9394232139079,97.0939510515125,576.463594416233,232.782237434543,-44.3286068397697,-158.037265121028,-2331.34470587461,1116.0487341111,-14.9209367977816,-0.60052385453241,7.16976432945171,13.0926173121837,-0.384687944631906,-1.53668077057458,-0.0792556772914276,-144.611448765127,-5.16855439295315,41.0894426071529,-18.5625657280835,81.1897531945102,-273.699175822153,12.0321341322411,43.4463443397174,-175.106818654201,-126.982593664246,-571.592355746605,364.218571026996,-580.07259982747,452.991426399213,27.2730811907426,-16.9595051997367,-154.691351625139,-1.5115472149989,-81.051406368816,11.9056230024097,-200.827985630518,-8.52689243673207,5.93897179290491
19,-0.338511683728524,0.948786396074262,6.96439413968764,307.832013828091,180.735426439257,21.9742590149025,97.0879937703406,573.282516667406,232.450708405784,-44.3474312284723,-158.07466391794,-2332.44182358197,1082.91103402862,-14.9350197723275,-0.600825156331757,6.95202135836746,12.9866184223734,-0.384559503919453,-1.53112262333388,-0.0786728098626136,-144.330837439563,-5.166087184689,40.7780770259251,-18.4397204607777,81.0748910798948,-273.608395059529,11.6481859520846,43.4337089930507,-175.060406338994,-126.593274652582,-569.415115955067,362.497397410055,-580.596132464078,452.902361554589,27.1748091838663,-20.6042917025952,-154.6791462367,-1.51070110953777,-81.0717049395404,11.6116192607629,-200.847417415135,-8.53716783339481,5.58811351288364
20,-0.330689447700717,0.941231999045645,6.9603939240639,308.232012773109,177.253122339558,22.0090808720385,97.0820365237353,570.10644912834,232.119179269763,-44.3662556272919,-158.11206265812,-2333.53894155555,1049.83224052469,-14.9491027300771,-0.601126458198123,6.73470087831928,12.8807455805309,-0.38443105992915,-1.52556448957715,-0.0780900320435327,-144.050226446384,-5.16361998256292,40.4667113997711,-18.3168752081105,80.9600289369981,-273.517614319013,11.2649840400389,43.4210735909493,-175.01399411064,-126.203955528663,-567.23787760056,360.776224732289,-581.119665864773,452.813296613922,27.0765365868023,-24.2491337764914,-154.666941549802,-1.50985500363297,-81.0920035115718,11.3181927393669,-200.866849783972,-8.54744324200156,5.23725524694134
