priority,platform,feature_id,ion_mode,mz,rt,our_putative_name,n_mass_candidates,BEP_direction,significant_in_both,SAPIENT_identity,MSI_confidence_level,SAPIENT_notes
P1 — headline (carnitine),V3 — postnatal microsample (infant),VAM_1005523,positive,286.202,0.323,Octenoylcarnitine,0,up (BEP raises),maternal & infant blood (same run); maternal plasma & infant blood; milk & infant blood,"","",""
P1 — headline (carnitine),V3 — postnatal microsample (infant),VAM_1005524,positive,286.202,0.34,,0,up (BEP raises),maternal & infant blood (same run); maternal plasma & infant blood; milk & infant blood,"","",""
P1 — headline (carnitine),V1 (rLC) — maternal plasma,RLC_POS_MTB_2679130,positive,286.2021,0.203,,0,up (BEP raises),maternal plasma & infant blood; milk & maternal plasma,"","",""
P1 — headline (carnitine),V1 (rLC) — maternal plasma,RLC_POS_MTB_3417659,positive,286.1984,0.24,,0,up (BEP raises),maternal plasma & infant blood; milk & maternal plasma,"","",""
P1 — headline (carnitine),V3 — postnatal microsample (maternal),VAM_1005523,positive,286.202,0.323,Octenoylcarnitine,0,up (BEP raises),maternal & infant blood (same run),"","",""
P1 — headline (carnitine),V3 — postnatal microsample (maternal),VAM_1005524,positive,286.202,0.34,,0,up (BEP raises),maternal & infant blood (same run),"","",""
P1 — headline (carnitine),V1 (rLC) — breast milk,RLC_POS_MTB_3033006,positive,286.1981,0.213,,,up (BEP raises),milk & infant blood; milk & maternal plasma,"","",""
P2 — transfers to infant,V3 — postnatal microsample (infant),VAM_2004233,negative,226.997,0.163,,0,up (BEP raises),maternal & infant blood (same run); milk & infant blood,"","",""
P2 — transfers to infant,V3 — postnatal microsample (infant),VAM_2001392,negative,142.998,0.167,4-Hydroxy-2-oxoglutarate,1,up (BEP raises),maternal & infant blood (same run); milk & infant blood,"","",""
P2 — transfers to infant,V3 — postnatal microsample (infant),VAM_2002077,negative,165.092,0.392,,0,up (BEP raises),maternal & infant blood (same run); maternal plasma & infant blood,"","",""
P2 — transfers to infant,V3 — postnatal microsample (infant),VAM_2004310,negative,228.994,0.163,Citrate,2,up (BEP raises),maternal & infant blood (same run); milk & infant blood,"","",""
P2 — transfers to infant,V3 — postnatal microsample (infant),VAM_1003290,positive,220.118,0.167,N-Acetylserotonin,4,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V3 — postnatal microsample (infant),VAM_1001424,positive,160.133,0.075,Acid,1,up (BEP raises),maternal & infant blood (same run),"","",""
P2 — transfers to infant,V3 — postnatal microsample (infant),VAM_1004149,positive,246.114,0.165,,0,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V3 — postnatal microsample (infant),VAM_2003705,negative,208.986,0.16,Dehydroascorbate,2,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V1 (rLC) — maternal plasma,RLC_NEG_MTB_2206686,negative,165.0918,0.265,Perillic acid,1,up (BEP raises),maternal plasma & infant blood,"","",""
P2 — transfers to infant,V3 — postnatal microsample (maternal),VAM_2004233,negative,226.997,0.163,,0,up (BEP raises),maternal & infant blood (same run),"","",""
P2 — transfers to infant,V3 — postnatal microsample (maternal),VAM_2004310,negative,228.994,0.163,Citrate,2,up (BEP raises),maternal & infant blood (same run),"","",""
P2 — transfers to infant,V3 — postnatal microsample (maternal),VAM_1001424,positive,160.133,0.075,Acid,1,up (BEP raises),maternal & infant blood (same run),"","",""
P2 — transfers to infant,V3 — postnatal microsample (maternal),VAM_2001392,negative,142.998,0.167,4-Hydroxy-2-oxoglutarate,1,up (BEP raises),maternal & infant blood (same run),"","",""
P2 — transfers to infant,V3 — postnatal microsample (maternal),VAM_2002077,negative,165.092,0.392,,0,up (BEP raises),maternal & infant blood (same run),"","",""
P2 — transfers to infant,V1 (rLC) — breast milk,RLC_POS_MTB_3064754,positive,220.1187,0.211,,,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V1 (rLC) — breast milk,RLC_NEG_MTB_1830814,negative,142.9984,0.134,,,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V1 (rLC) — breast milk,RLC_NEG_MTB_1801271,negative,208.9853,0.149,,,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V1 (rLC) — breast milk,RLC_NEG_MTB_2352113,negative,142.9979,0.196,,,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V1 (rLC) — breast milk,RLC_POS_MTB_3371064,positive,246.1154,0.217,,,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V1 (rLC) — breast milk,RLC_NEG_MTB_1879289,negative,226.996,0.151,,,up (BEP raises),milk & infant blood,"","",""
P2 — transfers to infant,V1 (rLC) — breast milk,RLC_NEG_MTB_1675363,negative,228.9924,0.138,,,up (BEP raises),milk & infant blood,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_6114226,positive,813.6851,0.426,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_2288642,negative,375.1782,0.254,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2768524,positive,674.5045,0.203,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_4091474,negative,115.0197,0.479,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_933434,negative,218.1024,0.159,(R)-Pantothenate,1,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_4870492,positive,829.6769,0.368,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_200932,negative,285.9886,0.012,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_953661,negative,201.0233,0.124,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_3283937,positive,153.0655,0.244,N1-Methyl-2-pyridone-5-carboxamide,2,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3254865,negative,313.2376,0.368,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2771128,positive,811.6732,0.227,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_201238,negative,337.0849,0.05,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_4255889,positive,805.6213,0.302,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2734907,positive,185.1291,0.192,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_5405204,positive,833.6268,0.389,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_1495207,negative,219.1078,0.159,(R)-Pantothenate,3,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_4128017,positive,811.6639,0.275,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2651867,positive,153.0657,0.2,N1-Methyl-2-pyridone-5-carboxamide,2,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2463210,positive,207.1113,0.167,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_4055534,negative,288.0336,0.467,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2762161,positive,311.194,0.174,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3383558,negative,267.1961,0.37,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2612602,positive,203.1396,0.186,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2714397,positive,310.2022,0.196,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3407180,negative,821.5365,0.374,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_849017,negative,429.0786,0.116,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_2853990,positive,186.1342,0.207,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_6302353,positive,655.565,0.415,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3490281,negative,366.2692,0.397,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3444922,negative,278.2203,0.38,"(6Z,9Z,12Z)-Octadecatrienoic acid",2,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_4815574,negative,287.9936,0.61,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_1489705,positive,184.095,0.12,L-Normetanephrine,2,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_893915,negative,288.0381,0.132,dCMP,1,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_516334,positive,243.1066,0.031,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_4654913,negative,135.0289,0.568,D-Lactate,9,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_172104,negative,305.0168,0.031,"2',3'-Cyclic UMP",3,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_821230,negative,57.0349,0.12,Acetone,2,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3581457,negative,283.2647,0.407,octadecanoate (n-C18:0),1,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3430027,negative,277.2169,0.38,"(6Z,9Z,12Z)-Octadecatrienoic acid",5,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3660508,negative,135.0296,0.417,D-Lactate,9,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_844638,negative,147.0295,0.118,(S)-2-Hydroxyglutarate,9,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_3176645,positive,813.6833,0.221,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_4061202,negative,773.4364,0.486,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_POS_MTB_3075934,positive,548.3659,0.221,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_395762,negative,244.0267,0.064,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_894821,negative,359.0477,0.118,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,1,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_822170,negative,129.0191,0.114,(S)-2-Hydroxyglutarate,4,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_4738955,negative,87.0088,0.56,(R)-Glycerate,5,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_3461466,negative,359.2382,0.386,,0,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_4037316,negative,773.4431,0.473,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — maternal plasma,RLC_NEG_MTB_998355,negative,363.0736,0.141,,0,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1879155,negative,218.103,0.132,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1831563,negative,219.1061,0.132,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1541740,negative,337.0768,0.107,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_3097349,positive,243.1043,0.209,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_2900392,positive,153.0655,0.209,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_2001936,negative,288.0419,0.161,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_1728776,negative,87.0089,0.141,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_2031929,negative,359.0436,0.192,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_2964229,positive,184.0955,0.231,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_2876821,positive,185.1306,0.213,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_4416410,positive,674.5049,0.316,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_5148801,positive,829.6837,0.351,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_2847540,negative,375.1845,0.223,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_9970005,positive,813.6776,0.655,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_6595867,negative,115.0206,0.506,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_5415338,positive,829.694,0.368,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_4588465,negative,267.1961,0.345,,,down (BEP lowers),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_2354240,negative,244.0273,0.18,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_NEG_MTB_2327059,negative,288.037,0.192,,,up (BEP raises),milk & maternal plasma,"","",""
P3 — maternal milk↔blood,V1 (rLC) — breast milk,RLC_POS_MTB_6234965,positive,833.6467,0.411,,,down (BEP lowers),milk & maternal plasma,"","",""
