ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,studytime,contrast,direction,study,timepoint,signed_fold_enrichment,description_sentence
GO:0006278,RNA-templated DNA biosynthetic process,9/179,11/1207,0.818181818181818,5.51701371254444,6.27748630302594,1.21972926614852e-06,0.000980662329983409,0.000939191534934359,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P08238,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-5.51701371254444,RNA-templated DNA biosynthetic process
GO:0007004,telomere maintenance via telomerase,9/179,11/1207,0.818181818181818,5.51701371254444,6.27748630302594,1.21972926614852e-06,0.000980662329983409,0.000939191534934359,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P08238,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-5.51701371254444,Telomere maintenance via telomerase
GO:0000723,telomere maintenance,10/179,14/1207,0.714285714285714,4.81644054269753,5.99109089815138,2.39065118531702e-06,0.00128138903532992,0.00122720094179607,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P08238/P28482,10,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.81644054269753,Telomere maintenance
GO:0010833,telomere maintenance via telomere lengthening,9/179,12/1207,0.75,5.0572625698324,5.8917376055791,4.25675167715569e-06,0.0016109489355049,0.00154282422927709,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P08238,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-5.0572625698324,Telomere maintenance via telomere lengthening
GO:0032210,regulation of telomere maintenance via telomerase,8/179,10/1207,0.8,5.39441340782123,5.82046186260958,7.01283740580493e-06,0.0016109489355049,0.00154282422927709,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-5.39441340782123,Regulation of telomere maintenance via telomerase
GO:0032212,positive regulation of telomere maintenance via telomerase,8/179,10/1207,0.8,5.39441340782123,5.82046186260958,7.01283740580493e-06,0.0016109489355049,0.00154282422927709,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-5.39441340782123,Positive regulation of telomere maintenance via telomerase
GO:2000573,positive regulation of DNA biosynthetic process,8/179,10/1207,0.8,5.39441340782123,5.82046186260958,7.01283740580493e-06,0.0016109489355049,0.00154282422927709,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-5.39441340782123,Positive regulation of DNA biosynthetic process
GO:0032204,regulation of telomere maintenance,9/179,13/1207,0.692307692307692,4.66824237215299,5.54665492585689,1.20716838226344e-05,0.00194112675867961,0.0018590393086857,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P28482,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.66824237215299,Regulation of telomere maintenance
GO:0032206,positive regulation of telomere maintenance,9/179,13/1207,0.692307692307692,4.66824237215299,5.54665492585689,1.20716838226344e-05,0.00194112675867961,0.0018590393086857,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P28482,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.66824237215299,Positive regulation of telomere maintenance
GO:2001252,positive regulation of chromosome organization,9/179,13/1207,0.692307692307692,4.66824237215299,5.54665492585689,1.20716838226344e-05,0.00194112675867961,0.0018590393086857,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P28482,9,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.66824237215299,Positive regulation of chromosome organization
GO:0032200,telomere organization,10/179,16/1207,0.625,4.21438547486034,5.39890492476637,1.45409034762562e-05,0.00212561570816546,0.00203572648667587,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900/P08238/P28482,10,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.21438547486034,Telomere organization
GO:1904356,regulation of telomere maintenance via telomere lengthening,8/179,11/1207,0.727272727272727,4.90401218892839,5.42557198238817,2.2461125778222e-05,0.0025798207322415,0.00247072383560443,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.90401218892839,Regulation of telomere maintenance via telomere lengthening
GO:1904358,positive regulation of telomere maintenance via telomere lengthening,8/179,11/1207,0.727272727272727,4.90401218892839,5.42557198238817,2.2461125778222e-05,0.0025798207322415,0.00247072383560443,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.90401218892839,Positive regulation of telomere maintenance via telomere lengthening
GO:2000278,regulation of DNA biosynthetic process,8/179,11/1207,0.727272727272727,4.90401218892839,5.42557198238817,2.2461125778222e-05,0.0025798207322415,0.00247072383560443,Q15185/P17987/Q99832/P48643/P49368/P50990/P50991/P07900,8,Misame (1-2 mo.),BEP,Downregulated,MISAME-III,1-2 mo.,-4.90401218892839,Regulation of DNA biosynthetic process
