outcome_group,arm_set,study,studytime,direction,contrast,module,pathway,total,hits,expected,raw_p,fdr_native,fdr_bh_pooled,significant,hit_features
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Oxidation of Branched Chain Fatty Acids,3,2,0.257,0.0148,0.726,0.6914879999999999,FALSE,Thiamine pyrophosphate; Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Thiamine Metabolism,3,2,0.257,0.0148,0.726,0.6914879999999999,FALSE,Thiamine; Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Phytanic Acid Peroxisomal Oxidation,4,2,0.343,0.029,0.948,0.8125024752475247,FALSE,Thiamine pyrophosphate; Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Ubiquinone Biosynthesis,1,1,0.0857,0.0857,1,0.8125024752475247,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Az.,ora,Tryptophan Metabolism,4,1,0.114,0.114,1,0.8125024752475247,FALSE,L-Tryptophan
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Taurine and Hypotaurine Metabolism,2,1,0.171,0.166,1,0.8125024752475247,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Steroid Biosynthesis,3,1,0.257,0.242,1,0.8125024752475247,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Bile Acid Biosynthesis,3,1,0.257,0.242,1,0.8125024752475247,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Nucleotide Sugars Metabolism,4,1,0.343,0.313,1,0.8125024752475247,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Lysine Degradation,4,1,0.343,0.313,1,0.8125024752475247,FALSE,Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Galactose Metabolism,4,1,0.343,0.313,1,0.8125024752475247,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Arachidonic Acid Metabolism,4,1,0.343,0.313,1,0.8125024752475247,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Transfer of Acetyl Groups into Mitochondria,4,1,0.343,0.313,1,0.8125024752475247,FALSE,Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Phenylalanine and Tyrosine Metabolism,5,1,0.429,0.38,1,0.8206858638743456,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Porphyrin Metabolism,5,1,0.429,0.38,1,0.8206858638743456,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Lactose Synthesis,5,1,0.429,0.38,1,0.8206858638743456,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Threonine and 2-Oxobutanoate Degradation,5,1,0.429,0.38,1,0.8206858638743456,FALSE,Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Propanoate Metabolism,6,1,0.514,0.442,1,0.8206858638743456,FALSE,Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,"Valine, Leucine and Isoleucine Degradation",6,1,0.514,0.442,1,0.8206858638743456,FALSE,Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Citric Acid Cycle,6,1,0.514,0.442,1,0.8206858638743456,FALSE,Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Purine Metabolism,7,1,0.6,0.499,1,0.8403780687397708,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Warburg Effect,7,1,0.6,0.499,1,0.8403780687397708,FALSE,Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Tyrosine Metabolism,8,1,0.686,0.553,1,0.8808622291021673,FALSE,Iron
primary,stratified,Elicit,1 mo.,down,Nico+Az.,ora,Pyruvate Metabolism,8,1,0.686,0.553,1,0.8808622291021673,FALSE,Thiamine pyrophosphate
primary,stratified,Elicit,1 mo.,up,Nico,ora,Nicotinate and Nicotinamide Metabolism,7,5,1.2,3.67e-4,0.0359,0.18882149999999998,TRUE,Nicotinamide riboside; NAD; Nicotinic acid mononucleotide; Niacinamide; Nudifloramide
primary,stratified,Elicit,1 mo.,up,Nico+Az.,ora,Nicotinate and Nicotinamide Metabolism,7,5,1.2,3.67e-4,0.0359,0.18882149999999998,TRUE,Nicotinamide riboside; NAD; Nicotinic acid mononucleotide; Niacinamide; Nudifloramide
primary,stratified,Elicit,1 mo.,up,Nico,ora,Fatty Acid Elongation In Mitochondria,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Ketone Body Metabolism,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Steroidogenesis,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Cardiolipin Biosynthesis,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Androstenedione Metabolism,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico+Az.,ora,Fatty Acid Elongation In Mitochondria,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico+Az.,ora,Ketone Body Metabolism,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico+Az.,ora,Steroidogenesis,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico+Az.,ora,Cardiolipin Biosynthesis,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico+Az.,ora,Androstenedione Metabolism,1,1,0.171,0.171,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Pterine Biosynthesis,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Caffeine Metabolism,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Selenoamino Acid Metabolism,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Glycerolipid Metabolism,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Sulfate/Sulfite Metabolism,2,1,0.343,0.318,1,0.8125024752475247,FALSE,Molybdenum
primary,stratified,Elicit,1 mo.,up,Nico,ora,Androgen and Estrogen Metabolism,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Glycerol Phosphate Shuttle,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Glucose-Alanine Cycle,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Mitochondrial Electron Transport Chain,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Ethanol Degradation,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Inositol Phosphate Metabolism,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
primary,stratified,Elicit,1 mo.,up,Nico,ora,Carnitine Synthesis,2,1,0.343,0.318,1,0.8125024752475247,FALSE,NAD
