"study","contrast","direction","pathway","feature"
"Misame (3-4 mo.)","IFA/BEP","down","Glycine and Serine Metabolism","Sarcosine"
"Misame (3-4 mo.)","IFA/BEP","down","Glycine and Serine Metabolism","L-Cysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Glycine and Serine Metabolism","Homocysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Catecholamine Biosynthesis","Homocysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Cysteine Metabolism","L-Cysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Glutathione Metabolism","L-Cysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Arachidonic acid"
"Misame (3-4 mo.)","IFA/BEP","down","Alpha Linolenic Acid and Linoleic Acid Metabolism","Dihomo-gamma-linolenic acid"
"Misame (3-4 mo.)","IFA/BEP","down","Arginine and Proline Metabolism","4-Hydroxyproline"
"Misame (3-4 mo.)","IFA/BEP","down","Taurine and Hypotaurine Metabolism","L-Cysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Pantothenate and CoA Biosynthesis","L-Cysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Methionine Metabolism","Sarcosine"
"Misame (3-4 mo.)","IFA/BEP","down","Methionine Metabolism","L-Cysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Methionine Metabolism","Homocysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids","Dodecanoic acid"
"Misame (3-4 mo.)","IFA/BEP","down","Glutamate Metabolism","L-Cysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Arachidonic Acid Metabolism","Arachidonic acid"
"Misame (3-4 mo.)","IFA/BEP","down","Betaine Metabolism","Homocysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Homocysteine Degradation","L-Cysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Homocysteine Degradation","Homocysteine"
"Misame (3-4 mo.)","IFA/BEP","down","Fatty Acid Biosynthesis","Dodecanoic acid"
"Misame (3-4 mo.)","IFA/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids","Dodecanoic acid"
