"","Interval","L","M","S","-3 SD","-2 SD","-1 SD","Median","1 SD","2 SD","3 SD","sex","agerange","interval1","interval2","Delta"
"1","0-2mo",0.9918,7.9023,0.14123,4.6,5.7,6.8,7.9,9,10.1,11.3,"Female",2,1,60.8334,0
"2","1-3mo",0.9918,6.3775,0.15004,3.5,4.5,5.4,6.4,7.3,8.3,9.3,"Female",2,30.4167,91.2501,0
"3","2-4mo",0.9918,5.1574,0.17732,2.4,3.3,4.2,5.2,6.1,7,7.9,"Female",2,60.8334,121.6668,0
"4","3-5mo",0.9918,4.2877,0.21092,1.6,2.5,3.4,4.3,5.2,6.1,7,"Female",2,91.2501,152.0835,0
"5","4-6mo",0.9918,3.5965,0.23941,1,1.9,2.7,3.6,4.5,5.3,6.2,"Female",2,121.6668,182.5002,0
"6","5-7mo",0.9918,3.1827,0.25995,0.7,1.5,2.4,3.2,4,4.8,5.7,"Female",2,152.0835,212.9169,0
"7","6-8mo",0.9918,3,0.27597,0.5,1.3,2.2,3,3.8,4.7,5.5,"Female",2,182.5002,243.3336,0
"8","7-9mo",0.9918,2.8764,0.28638,0.4,1.2,2.1,2.9,3.7,4.5,5.4,"Female",2,212.9169,273.7503,0
"9","8-10mo",0.9918,2.7444,0.29192,0.4,1.1,1.9,2.7,3.5,4.3,5.2,"Female",2,243.3336,304.167,0
"10","9-11mo",0.9918,2.6284,0.29751,0.3,1.1,1.8,2.6,3.4,4.2,5,"Female",2,273.7503,334.5837,0
"11","10-12mo",0.9918,2.5303,0.30553,0.2,1,1.8,2.5,3.3,4.1,4.9,"Female",2,304.167,365.0004,0
"12","11-13mo",0.9918,2.4425,0.31612,0.1,0.9,1.7,2.4,3.2,4,4.8,"Female",2,334.5837,395.4171,0
"13","12-14mo",0.9918,2.3621,0.32828,0.1,0.8,1.6,2.4,3.1,3.9,4.7,"Female",2,365.0004,425.8338,0
"14","13-15mo",0.9918,2.2879,0.34112,0.1,0.7,1.5,2.3,3.1,3.9,4.6,"Female",2,395.4171,456.2505,0
"15","14-16mo",0.9918,2.2236,0.35425,0.1,0.7,1.4,2.2,3,3.8,4.6,"Female",2,425.8338,486.6672,0
"16","15-17mo",0.9918,2.1684,0.36737,0.1,0.6,1.4,2.2,3,3.8,4.6,"Female",2,456.2505,517.0839,0
"17","16-18mo",0.9918,2.1113,0.38003,0.1,0.5,1.3,2.1,2.9,3.7,4.5,"Female",2,486.6672,547.5006,0
"18","17-19mo",0.9918,2.047,0.39199,0.1,0.4,1.2,2,2.9,3.7,4.5,"Female",2,517.0839,577.9173,0
"19","18-20mo",0.9918,1.9822,0.40358,0.1,0.4,1.2,2,2.8,3.6,4.4,"Female",2,547.5006,608.334,0
"20","19-21mo",0.9918,1.9225,0.41519,0.1,0.3,1.1,1.9,2.7,3.5,4.3,"Female",2,577.9173,638.7507,0
"21","20-22mo",0.9918,1.8682,0.42686,0,0.3,1.1,1.9,2.7,3.5,4.3,"Female",2,608.334,669.1674,0
"22","21-23mo",0.9918,1.8192,0.43859,0,0.2,1,1.8,2.6,3.4,4.2,"Female",2,638.7507,699.5841,0
"23","22-24mo",0.9918,1.775,0.45033,0,0.2,1,1.8,2.6,3.4,4.2,"Female",2,669.1674,730.0008,0
"24","0-3mo",0.8538,10.5967,0.11683,7,8.2,9.4,10.6,11.8,13.1,14.4,"Female",3,1,91.2501,0
"25","1-4mo",0.8538,8.7743,0.13505,5.3,6.5,7.6,8.8,10,11.2,12.4,"Female",3,30.4167,121.6668,0
"26","2-5mo",0.8538,7.1455,0.15574,3.9,5,6,7.1,8.3,9.4,10.6,"Female",3,60.8334,152.0835,0
"27","3-6mo",0.8538,5.9428,0.17798,2.9,3.9,4.9,5.9,7,8.1,9.2,"Female",3,91.2501,182.5002,0
"28","4-7mo",0.8538,5.1554,0.19661,2.3,3.2,4.2,5.2,6.2,7.2,8.3,"Female",3,121.6668,212.9169,0
"29","5-8mo",0.8538,4.6834,0.20988,1.9,2.8,3.7,4.7,5.7,6.7,7.8,"Female",3,152.0835,243.3336,0
"30","6-9mo",0.8538,4.3922,0.21849,1.7,2.5,3.4,4.4,5.4,6.4,7.4,"Female",3,182.5002,273.7503,0
"31","7-10mo",0.8538,4.1971,0.22383,1.5,2.4,3.3,4.2,5.2,6.1,7.1,"Female",3,212.9169,304.167,0
"32","8-11mo",0.8538,4.0329,0.22876,1.4,2.3,3.1,4,5,5.9,6.9,"Female",3,243.3336,334.5837,0
"33","9-12mo",0.8538,3.8692,0.23503,1.3,2.1,3,3.9,4.8,5.7,6.7,"Female",3,273.7503,365.0004,0
"34","10-13mo",0.8538,3.7174,0.24257,1.2,2,2.8,3.7,4.6,5.6,6.5,"Female",3,304.167,395.4171,0
"35","11-14mo",0.8538,3.5892,0.25105,1.1,1.9,2.7,3.6,4.5,5.5,6.4,"Female",3,334.5837,425.8338,0
"36","12-15mo",0.8538,3.4811,0.25988,1,1.8,2.6,3.5,4.4,5.4,6.3,"Female",3,365.0004,456.2505,0
"37","13-16mo",0.8538,3.3844,0.26843,0.9,1.7,2.5,3.4,4.3,5.3,6.2,"Female",3,395.4171,486.6672,0
"38","14-17mo",0.8538,3.2934,0.27635,0.8,1.6,2.4,3.3,4.2,5.2,6.2,"Female",3,425.8338,517.0839,0
"39","15-18mo",0.8538,3.2051,0.28388,0.7,1.5,2.3,3.2,4.1,5.1,6.1,"Female",3,456.2505,547.5006,0
"40","16-19mo",0.8538,3.1173,0.2913,0.6,1.4,2.2,3.1,4,5,6,"Female",3,486.6672,577.9173,0
"41","17-20mo",0.8538,3.0295,0.29869,0.6,1.3,2.1,3,4,4.9,5.9,"Female",3,517.0839,608.334,0
"42","18-21mo",0.8538,2.9427,0.30582,0.5,1.2,2.1,2.9,3.9,4.8,5.8,"Female",3,547.5006,638.7507,0
"43","19-22mo",0.8538,2.8576,0.31251,0.4,1.2,2,2.9,3.8,4.7,5.7,"Female",3,577.9173,669.1674,0
"44","20-23mo",0.8538,2.7779,0.31896,0.4,1.1,1.9,2.8,3.7,4.6,5.6,"Female",3,608.334,699.5841,0
"45","21-24mo",0.8538,2.7091,0.32567,0.3,1,1.8,2.7,3.6,4.5,5.5,"Female",3,638.7507,730.0008,0
