"study","contrast","direction","pathway","feature"
"Misame (14-21 days)","BEP/IFA","down","Arginine and Proline Metabolism","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Oxidation of Branched Chain Fatty Acids","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Valine, Leucine and Isoleucine Degradation","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Bile Acid Biosynthesis","Lithocholic acid glycine conjugate"
"Misame (14-21 days)","BEP/IFA","down","Citric Acid Cycle","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Pyruvate Metabolism","Lactic acid"
"Misame (14-21 days)","BEP/IFA","down","Ketone Body Metabolism","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Glutamate Metabolism","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Butyrate Metabolism","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Gluconeogenesis","Lactic acid"
"Misame (14-21 days)","BEP/IFA","down","Mitochondrial Electron Transport Chain","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Phytanic Acid Peroxisomal Oxidation","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Carnitine Synthesis","Succinic acid"
"Misame (14-21 days)","BEP/IFA","down","Warburg Effect","Lactic acid"
"Misame (14-21 days)","BEP/IFA","down","Warburg Effect","Succinic acid"
