row_id,compartment,timepoint,feature,mz,rt,ion_mode,effect_size,raw_p,fdr,direction,putative_name,n_candidates,normalized_name,supplement_feature,supplement_detected,supplement_reliably_detected,supplement_abundant,match_type,supplement_match_ppm,supplement_status,ct_key,ct_label,supplement_label,tracking_name,n_cells,n_comp
436,Maternal plasma,pn12,RLC_NEG_MTB_932886,182.0458,0.1467333,negative,0.967107406951642,9.11308963197907e-7,6.0916290522729e-4,Upregulated,Pyridoxal,3,pyridoxal,rLC_neg_mtb_1454376,TRUE,TRUE,FALSE,Mass within 25 ppm,1.09862342472901,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Pyridoxal,2,2
722,Milk,pn34,RLC_NEG_MTB_1948059,166.0493,NA,negative,0.72,NA,3.6e-8,Upregulated,Pyridoxal,1,pyridoxal,rLC_neg_mtb_1251896,TRUE,TRUE,FALSE,Mass within 25 ppm,1.80669561383409,Reliably detected,Milk · pn34,Milk · 3-4 months,Detected in supplement,Pyridoxal,2,2
334,Maternal plasma,pn12,RLC_NEG_MTB_4206296,349.0544,0.5063334,negative,0.725883022781082,8.9697409019408e-4,0.0407316597300359,Upregulated,Sedoheptulose 1-phosphate,2,sedoheptulose1phosphate,rLC_neg_mtb_956366,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Sedoheptulose 1-phosphate,2,2
747,Milk,1421d,RLC_NEG_MTB_2296565,289.0362,NA,negative,0.63,NA,4.2e-5,Upregulated,Sedoheptulose 1-phosphate,2,sedoheptulose1phosphate,rLC_neg_mtb_1373844,TRUE,TRUE,FALSE,Mass within 25 ppm,1.03793335008398,Reliably detected,Milk · 1421d,Milk · 14-21 days,Detected in supplement,Sedoheptulose 1-phosphate,2,2
422,Maternal plasma,pn12,RLC_NEG_MTB_893915,288.0381,0.1322667,negative,0.747505353878478,2.0541032650283e-4,0.0177762463359709,Upregulated,dCMP,1,dcmp,rLC_neg_mtb_1069420,TRUE,TRUE,FALSE,Mass within 25 ppm,10.7625809362085,Reliably detected,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,dCMP,3,2
693,Milk,pn34,RLC_NEG_MTB_2001936,288.0419,NA,negative,0.94,NA,6.3e-16,Upregulated,dCMP,1,dcmp,rLC_neg_mtb_1069420,TRUE,TRUE,FALSE,Mass within 25 ppm,23.9554220840289,Reliably detected,Milk · pn34,Milk · 3-4 months,Detected in supplement,dCMP,3,2
749,Milk,1421d,RLC_NEG_MTB_2327059,288.037,NA,negative,0.63,NA,5.3e-5,Upregulated,dCMP,1,dcmp,rLC_neg_mtb_1069420,TRUE,TRUE,FALSE,Mass within 25 ppm,6.94360060392906,Reliably detected,Milk · 1421d,Milk · 14-21 days,Detected in supplement,dCMP,3,2
31,Maternal VAMS,pn56,VAM_1001424,160.133,0.075,positive,0.765968798175152,3.88698813308144e-12,2.51105911710616e-8,Upregulated,NA,1,acid,rLC_pos_mtb_1544198,TRUE,TRUE,FALSE,Mass within 25 ppm,0.624480510296245,Reliably detected,Maternal VAMS · pn56,Maternal VAMS · 5-6 months,Detected in supplement,m/z 160.133,3,2
12,Infant VAMS,pn56,VAM_1001424,160.133,0.075,positive,0.713160501930911,1.05352839677183e-10,5.83368774103899e-7,Upregulated,NA,1,acid,rLC_pos_mtb_1544198,TRUE,TRUE,FALSE,Mass within 25 ppm,0.624480510296245,Reliably detected,Infant VAMS · pn56,Infant VAMS · 5-6 months,Detected in supplement,m/z 160.133,3,2
4,Infant VAMS,pn34,VAM_1001424,160.133,0.075,positive,0.555190310604611,1.45407234027244e-6,0.00805161399732858,Upregulated,NA,1,acid,rLC_pos_mtb_1544198,TRUE,TRUE,FALSE,Mass within 25 ppm,0.624480510296245,Reliably detected,Infant VAMS · pn34,Infant VAMS · 3-4 months,Detected in supplement,m/z 160.133,3,2
26,Infant VAMS,pn56,VAM_2004233,226.997,0.163,negative,0.973997364369831,3.7603081876476595e-25,4.8584435220470304e-21,Upregulated,NA,0,NA,rLC_neg_mtb_1315956,TRUE,TRUE,FALSE,Mass within 25 ppm,3.52428807189969,Reliably detected,Infant VAMS · pn56,Infant VAMS · 5-6 months,Detected in supplement,m/z 226.997,2,2
41,Maternal VAMS,pn56,VAM_2004233,226.997,0.163,negative,0.834024355454203,3.54164981922949e-16,1.3727788864315398e-11,Upregulated,NA,0,NA,rLC_neg_mtb_1315956,TRUE,TRUE,FALSE,Mass within 25 ppm,3.52428807189969,Reliably detected,Maternal VAMS · pn56,Maternal VAMS · 5-6 months,Detected in supplement,m/z 226.997,2,2
9,Infant VAMS,pn34,VAM_1005524,286.202,0.34,positive,1.16488812201922,1.60557649903517e-41,3.11168753395511e-37,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS · pn34,Infant VAMS · 3-4 months,Not reliably detected in supplement,m/z 286.202,4,2
17,Infant VAMS,pn56,VAM_1005524,286.202,0.34,positive,0.992899446009306,3.04407107232504e-26,5.899561941719539e-22,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS · pn56,Infant VAMS · 5-6 months,Not reliably detected in supplement,m/z 286.202,4,2
3,Infant VAMS,pn12,VAM_1005524,286.202,0.34,positive,0.998718036473175,9.035049452440599e-24,1.7510377591302498e-19,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS · pn12,Infant VAMS · 1-2 months,Not reliably detected in supplement,m/z 286.202,4,2
34,Maternal VAMS,pn56,VAM_1005524,286.202,0.34,positive,0.568448709386384,2.99890890236724e-8,1.1624070796465e-4,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal VAMS · pn56,Maternal VAMS · 5-6 months,Not reliably detected in supplement,m/z 286.202,4,2
