row_id,compartment,timepoint,feature,mz,rt,ion_mode,effect_size,raw_p,fdr,direction,putative_name,n_candidates,normalized_name,supplement_feature,supplement_detected,supplement_reliably_detected,supplement_abundant,match_type,supplement_match_ppm,supplement_status,tracking_id,tracking_name,compartment_timepoint,comp3,reliably
215,Maternal plasma,pn12,RLC_NEG_MTB_3444922,278.2203,0.3802667,negative,0.769324968341559,2.2459128659593e-4,0.0187404062132404,Upregulated,"(6Z,9Z,12Z)-Octadecatrienoic acid",2,6z9z12zoctadecatrienoicacid,rLC_neg_mtb_3905783,TRUE,TRUE,FALSE,Mass within 25 ppm,2.15655976946043,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_3444922,"(6Z,9Z,12Z)-Octadecatrienoic acid",Maternal plasma · pn12,Maternal blood,TRUE
912,Milk,1421d,RLC_NEG_MTB_5086958,278.2209,NA,negative,0.47,NA,0.012,Upregulated,"(6Z,9Z,12Z)-Octadecatrienoic acid",2,6z9z12zoctadecatrienoicacid,rLC_neg_mtb_3905783,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Milk__1421d__RLC_NEG_MTB_5086958,"(6Z,9Z,12Z)-Octadecatrienoic acid",Milk · 1421d,Milk,TRUE
426,Maternal plasma,pn12,RLC_NEG_MTB_910604,151.025,0.1178,negative,0.718613489646875,6.75381171525689e-5,0.00984380752633495,Upregulated,(R)-Glycerate,8,rglycerate,rLC_neg_mtb_1371248,TRUE,TRUE,FALSE,Mass within 25 ppm,5.29710817620655,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_910604,(R)-Glycerate,Maternal plasma · pn12,Maternal blood,TRUE
1128,Milk,pn34,RLC_NEG_MTB_1203190,87.0089,NA,negative,0.43,NA,0.033,Upregulated,(R)-Glycerate,8,rglycerate,rLC_neg_mtb_117211,TRUE,TRUE,FALSE,Mass within 25 ppm,1.14930903544607,Reliably detected,Milk__pn34__RLC_NEG_MTB_1203190,(R)-Glycerate,Milk · pn34,Milk,TRUE
437,Maternal plasma,pn12,RLC_NEG_MTB_933434,218.1024,0.1591333,negative,0.997704129386194,7.134180392274771e-9,9.87829192173189e-6,Upregulated,(R)-Pantothenate,1,rpantothenate,rLC_neg_mtb_1355357,TRUE,TRUE,FALSE,Mass within 25 ppm,3.66798836513236,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_933434,(R)-Pantothenate,Maternal plasma · pn12,Maternal blood,TRUE
669,Milk,pn34,RLC_POS_MTB_3065186,242.1008,NA,positive,1.21,NA,6.699999999999999e-35,Upregulated,(R)-Pantothenate,1,rpantothenate,NA,NA,NA,NA,NA,NA,No matched supplement feature,Milk__pn34__RLC_POS_MTB_3065186,(R)-Pantothenate,Milk · pn34,Milk,FALSE
402,Maternal plasma,pn12,RLC_NEG_MTB_844638,147.0295,0.1178,negative,0.672162029771925,1.3592522191271e-4,0.014366933364128,Upregulated,(S)-2-Hydroxyglutarate,9,s2hydroxyglutarate,rLC_neg_mtb_1331796,TRUE,TRUE,FALSE,Mass within 25 ppm,1.36027308847039,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_844638,(S)-2-Hydroxyglutarate,Maternal plasma · pn12,Maternal blood,TRUE
948,Milk,pn34,RLC_NEG_MTB_1335731,148.0329,NA,negative,0.47,NA,0.015,Upregulated,(S)-2-Hydroxyglutarate,2,s2hydroxyglutarate,rLC_neg_mtb_1335731,TRUE,TRUE,FALSE,Exact feature identifier,0,Reliably detected,Milk__pn34__RLC_NEG_MTB_1335731,(S)-2-Hydroxyglutarate,Milk · pn34,Milk,TRUE
36,Maternal VAMS,pn56,VAM_2001392,142.998,0.167,negative,0.535829644980467,2.6131571806873e-6,0.0067525723653747,Upregulated,4-Hydroxy-2-oxoglutarate,1,4hydroxy2oxoglutarate,rLC_neg_mtb_1354577,TRUE,TRUE,FALSE,Mass within 25 ppm,1.3986229157247,Reliably detected,Maternal VAMS__pn56__VAM_2001392,4-Hydroxy-2-oxoglutarate,Maternal VAMS · pn56,Maternal blood,TRUE
703,Milk,pn34,RLC_NEG_MTB_1830814,142.9984,NA,negative,0.87,NA,7.1e-13,Upregulated,4-Hydroxy-2-oxoglutarate,1,4hydroxy2oxoglutarate,rLC_neg_mtb_1354577,TRUE,TRUE,FALSE,Mass within 25 ppm,4.19586874757161,Reliably detected,Milk__pn34__RLC_NEG_MTB_1830814,4-Hydroxy-2-oxoglutarate,Milk · pn34,Milk,TRUE
