row_id,compartment,timepoint,feature,mz,rt,ion_mode,effect_size,raw_p,fdr,direction,putative_name,n_candidates,normalized_name,supplement_feature,supplement_detected,supplement_reliably_detected,supplement_abundant,match_type,supplement_match_ppm,supplement_status,tracking_id,tracking_name,compartment_timepoint,comp3,reliably
22,Infant VAMS,pn56,VAM_2001392,142.998,0.167,negative,0.96516602064093,1.42502400173102e-22,1.3808838832774e-18,Upregulated,4-Hydroxy-2-oxoglutarate,1,4hydroxy2oxoglutarate,rLC_neg_mtb_1354577,TRUE,TRUE,FALSE,Mass within 25 ppm,1.3986229157247,Reliably detected,Infant VAMS__pn56__VAM_2001392,4-Hydroxy-2-oxoglutarate,Infant VAMS · pn56,Infant blood,TRUE
393,Maternal plasma,pn12,RLC_NEG_MTB_821230,57.0349,0.1198667,negative,0.69773964431993,1.4466418394353e-4,0.0147595537144492,Upregulated,Acetone,2,acetone,rLC_neg_mtb_1270497,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_821230,Acetone,Maternal plasma · pn12,Maternal blood,TRUE
937,Milk,pn34,RLC_NEG_MTB_1483668,57.0349,NA,negative,0.47,NA,0.014,Upregulated,Acetone,2,acetone,rLC_neg_mtb_1270497,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Milk__pn34__RLC_NEG_MTB_1483668,Acetone,Milk · pn34,Milk,TRUE
31,Maternal VAMS,pn56,VAM_1001424,160.133,0.075,positive,0.765968798175152,3.88698813308144e-12,2.51105911710616e-8,Upregulated,Acid,1,acid,rLC_pos_mtb_1544198,TRUE,TRUE,FALSE,Mass within 25 ppm,0.624480510296245,Reliably detected,Maternal VAMS__pn56__VAM_1001424,Acid,Maternal VAMS · pn56,Maternal blood,TRUE
4,Infant VAMS,pn34,VAM_1001424,160.133,0.075,positive,0.555190310604611,1.45407234027244e-6,0.00805161399732858,Upregulated,Acid,1,acid,rLC_pos_mtb_1544198,TRUE,TRUE,FALSE,Mass within 25 ppm,0.624480510296245,Reliably detected,Infant VAMS__pn34__VAM_1001424,Acid,Infant VAMS · pn34,Infant blood,TRUE
12,Infant VAMS,pn56,VAM_1001424,160.133,0.075,positive,0.713160501930911,1.05352839677183e-10,5.83368774103899e-7,Upregulated,Acid,1,acid,rLC_pos_mtb_1544198,TRUE,TRUE,FALSE,Mass within 25 ppm,0.624480510296245,Reliably detected,Infant VAMS__pn56__VAM_1001424,Acid,Infant VAMS · pn56,Infant blood,TRUE
370,Maternal plasma,pn12,RLC_NEG_MTB_711927,322.0438,0.09506667,negative,1.01248293419524,3.11935752602347e-8,3.35937475788694e-5,Upregulated,CMP,1,cmp,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__pn12__RLC_NEG_MTB_711927,CMP,Maternal plasma · pn12,Maternal blood,FALSE
847,Milk,pn34,RLC_NEG_MTB_1261959,363.0727,NA,negative,0.51,NA,0.005,Upregulated,CMP,1,cmp,rLC_neg_mtb_5671697,TRUE,TRUE,FALSE,Mass within 25 ppm,3.85599192221922,Reliably detected,Milk__pn34__RLC_NEG_MTB_1261959,CMP,Milk · pn34,Milk,TRUE
403,Maternal plasma,pn12,RLC_NEG_MTB_845389,192.0227,0.1529333,negative,0.790331243224001,3.10879729747578e-5,0.00669600395684089,Upregulated,Citrate,2,citrate,rLC_neg_mtb_310189,TRUE,TRUE,FALSE,Mass within 25 ppm,0.520772033994425,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_845389,Citrate,Maternal plasma · pn12,Maternal blood,TRUE
42,Maternal VAMS,pn56,VAM_2004310,228.994,0.163,negative,0.707743370344804,3.0402747303272894e-11,1.68348698317452e-7,Upregulated,Citrate,2,citrate,rLC_neg_mtb_1299266,TRUE,TRUE,FALSE,Mass within 25 ppm,2.18346808965397,Reliably detected,Maternal VAMS__pn56__VAM_2004310,Citrate,Maternal VAMS · pn56,Maternal blood,TRUE
741,Milk,pn34,RLC_NEG_MTB_1879289,226.996,NA,negative,0.63,NA,2.4e-5,Upregulated,Citrate,4,citrate,rLC_neg_mtb_434131,TRUE,TRUE,FALSE,Mass within 25 ppm,0.440536203059522,Reliably detected,Milk__pn34__RLC_NEG_MTB_1879289,Citrate,Milk · pn34,Milk,TRUE
27,Infant VAMS,pn56,VAM_2004310,228.994,0.163,negative,0.926576869265405,1.99842516820165e-22,1.5492191588932799e-18,Upregulated,Citrate,2,citrate,rLC_neg_mtb_1299266,TRUE,TRUE,FALSE,Mass within 25 ppm,2.18346808965397,Reliably detected,Infant VAMS__pn56__VAM_2004310,Citrate,Infant VAMS · pn56,Infant blood,TRUE
349,Maternal plasma,pn12,RLC_NEG_MTB_4654913,135.0289,0.5683333,negative,0.711546249008814,3.41062981792687e-5,0.00705687739500168,Upregulated,D-Lactate,9,dlactate,rLC_neg_mtb_1298230,TRUE,TRUE,FALSE,Mass within 25 ppm,5.18404853450515,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_4654913,D-Lactate,Maternal plasma · pn12,Maternal blood,TRUE
748,Milk,pn34,RLC_NEG_MTB_1643242,135.0293,NA,negative,0.6,NA,5.1e-5,Upregulated,D-Lactate,7,dlactate,rLC_neg_mtb_1298230,TRUE,TRUE,FALSE,Mass within 25 ppm,2.22173508609621,Reliably detected,Milk__pn34__RLC_NEG_MTB_1643242,D-Lactate,Milk · pn34,Milk,TRUE
718,Milk,pn34,RLC_NEG_MTB_1801271,208.9853,NA,negative,0.76,NA,4.7e-9,Upregulated,Dehydroascorbate,2,dehydroascorbate,rLC_neg_mtb_1355281,TRUE,TRUE,FALSE,Mass within 25 ppm,2.8710070870403,Reliably detected,Milk__pn34__RLC_NEG_MTB_1801271,Dehydroascorbate,Milk · pn34,Milk,TRUE
25,Infant VAMS,pn56,VAM_2003705,208.986,0.16,negative,0.572694116377552,2.49008519357267e-7,8.0431826823391e-4,Upregulated,Dehydroascorbate,2,dehydroascorbate,rLC_neg_mtb_1355281,TRUE,TRUE,FALSE,Mass within 25 ppm,0.47850118119605,Reliably detected,Infant VAMS__pn56__VAM_2003705,Dehydroascorbate,Infant VAMS · pn56,Infant blood,TRUE
400,Maternal plasma,pn12,RLC_NEG_MTB_844026,111.0085,0.1219333,negative,0.743370355817483,2.26011597333207e-5,0.00568991534325223,Upregulated,Mesaconate,2,mesaconate,rLC_neg_mtb_3758516,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_844026,Mesaconate,Maternal plasma · pn12,Maternal blood,TRUE
978,Milk,pn12,RLC_NEG_MTB_5348248,175.0204,NA,negative,0.43,NA,0.019,Upregulated,Mesaconate,3,mesaconate,rLC_neg_mtb_5348248,TRUE,FALSE,FALSE,Exact feature identifier,0,Detected,Milk__pn12__RLC_NEG_MTB_5348248,Mesaconate,Milk · pn12,Milk,FALSE
752,Milk,pn34,RLC_NEG_MTB_1878648,189.042,NA,negative,0.6,NA,5.9e-5,Upregulated,Mesaconate,7,mesaconate,rLC_neg_mtb_1621836,TRUE,TRUE,FALSE,Mass within 25 ppm,16.9277418180423,Reliably detected,Milk__pn34__RLC_NEG_MTB_1878648,Mesaconate,Milk · pn34,Milk,TRUE
1,Infant VAMS,pn12,VAM_1003290,220.118,0.167,positive,0.631913445324191,6.49420255567641e-10,8.39072617535244e-6,Upregulated,N-Acetylserotonin,4,nacetylserotonin,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn12__VAM_1003290,N-Acetylserotonin,Infant VAMS · pn12,Infant blood,FALSE
5,Infant VAMS,pn34,VAM_1003290,220.118,0.167,positive,0.748646838148351,5.4276901337903994e-12,7.01275657586166e-8,Upregulated,N-Acetylserotonin,4,nacetylserotonin,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn34__VAM_1003290,N-Acetylserotonin,Infant VAMS · pn34,Infant blood,FALSE
13,Infant VAMS,pn56,VAM_1003290,220.118,0.167,positive,0.628672100460443,5.10132886113581e-9,2.47165759983106e-5,Upregulated,N-Acetylserotonin,4,nacetylserotonin,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn56__VAM_1003290,N-Acetylserotonin,Infant VAMS · pn56,Infant blood,FALSE
567,Maternal plasma,pn12,RLC_POS_MTB_3283937,153.0655,0.2438667,positive,0.890939502015833,2.08290130701256e-6,0.00115362976675539,Upregulated,N1-Methyl-2-pyridone-5-carboxamide,2,n1methyl2pyridone5carboxamide,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__pn12__RLC_POS_MTB_3283937,N1-Methyl-2-pyridone-5-carboxamide,Maternal plasma · pn12,Maternal blood,FALSE
684,Milk,pn34,RLC_POS_MTB_2900392,153.0655,NA,positive,1.06,NA,1.7000000000000002e-22,Upregulated,N1-Methyl-2-pyridone-5-carboxamide,2,n1methyl2pyridone5carboxamide,NA,NA,NA,NA,NA,NA,No matched supplement feature,Milk__pn34__RLC_POS_MTB_2900392,N1-Methyl-2-pyridone-5-carboxamide,Milk · pn34,Milk,FALSE
33,Maternal VAMS,pn56,VAM_1005523,286.202,0.323,positive,0.782592127394795,6.55313086766776e-14,8.466863518722341e-10,Upregulated,Octenoylcarnitine,0,octenoylcarnitine,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal VAMS__pn56__VAM_1005523,Octenoylcarnitine,Maternal VAMS · pn56,Maternal blood,FALSE
2,Infant VAMS,pn12,VAM_1005523,286.202,0.323,positive,1.04377265115873,1.5635550015962e-24,6.06049554168703e-20,Upregulated,Octenoylcarnitine,0,octenoylcarnitine,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn12__VAM_1005523,Octenoylcarnitine,Infant VAMS · pn12,Infant blood,FALSE
8,Infant VAMS,pn34,VAM_1005523,286.202,0.323,positive,1.20086098128572,3.5694109503202696e-45,1.3835393784536399e-40,Upregulated,Octenoylcarnitine,0,octenoylcarnitine,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn34__VAM_1005523,Octenoylcarnitine,Infant VAMS · pn34,Infant blood,FALSE
16,Infant VAMS,pn56,VAM_1005523,286.202,0.323,positive,1.04314302233238,4.04127686892793e-28,1.56643932716516e-23,Upregulated,Octenoylcarnitine,0,octenoylcarnitine,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn56__VAM_1005523,Octenoylcarnitine,Infant VAMS · pn56,Infant blood,FALSE
151,Maternal plasma,pn12,RLC_NEG_MTB_2206686,165.0918,0.2645333,negative,1.12306605363697,6.54112757159603e-10,1.26799757975389e-6,Upregulated,Perillic acid,1,perillicacid,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__pn12__RLC_NEG_MTB_2206686,Perillic acid,Maternal plasma · pn12,Maternal blood,FALSE
38,Maternal VAMS,pn56,VAM_2002077,165.092,0.392,negative,0.590507523196581,1.08833997910907e-7,3.2450112254035e-4,Upregulated,Perillic acid,2,perillicacid,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal VAMS__pn56__VAM_2002077,Perillic acid,Maternal VAMS · pn56,Maternal blood,FALSE
23,Infant VAMS,pn56,VAM_2002077,165.092,0.392,negative,0.840590318678806,2.02969411028688e-17,1.3112162234805e-13,Upregulated,Perillic acid,2,perillicacid,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn56__VAM_2002077,Perillic acid,Infant VAMS · pn56,Infant blood,FALSE
436,Maternal plasma,pn12,RLC_NEG_MTB_932886,182.0458,0.1467333,negative,0.967107406951642,9.11308963197907e-7,6.0916290522729e-4,Upregulated,Pyridoxal,3,pyridoxal,rLC_neg_mtb_1454376,TRUE,TRUE,FALSE,Mass within 25 ppm,1.09862342472901,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_932886,Pyridoxal,Maternal plasma · pn12,Maternal blood,TRUE
722,Milk,pn34,RLC_NEG_MTB_1948059,166.0493,NA,negative,0.72,NA,3.6e-8,Upregulated,Pyridoxal,1,pyridoxal,rLC_neg_mtb_1251896,TRUE,TRUE,FALSE,Mass within 25 ppm,1.80669561383409,Reliably detected,Milk__pn34__RLC_NEG_MTB_1948059,Pyridoxal,Milk · pn34,Milk,TRUE
334,Maternal plasma,pn12,RLC_NEG_MTB_4206296,349.0544,0.5063334,negative,0.725883022781082,8.9697409019408e-4,0.0407316597300359,Upregulated,Sedoheptulose 1-phosphate,2,sedoheptulose1phosphate,rLC_neg_mtb_956366,TRUE,TRUE,FALSE,Mass within 25 ppm,0,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_4206296,Sedoheptulose 1-phosphate,Maternal plasma · pn12,Maternal blood,TRUE
747,Milk,1421d,RLC_NEG_MTB_2296565,289.0362,NA,negative,0.63,NA,4.2e-5,Upregulated,Sedoheptulose 1-phosphate,2,sedoheptulose1phosphate,rLC_neg_mtb_1373844,TRUE,TRUE,FALSE,Mass within 25 ppm,1.03793335008398,Reliably detected,Milk__1421d__RLC_NEG_MTB_2296565,Sedoheptulose 1-phosphate,Milk · 1421d,Milk,TRUE
422,Maternal plasma,pn12,RLC_NEG_MTB_893915,288.0381,0.1322667,negative,0.747505353878478,2.0541032650283e-4,0.0177762463359709,Upregulated,dCMP,1,dcmp,rLC_neg_mtb_1069420,TRUE,TRUE,FALSE,Mass within 25 ppm,10.7625809362085,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_893915,dCMP,Maternal plasma · pn12,Maternal blood,TRUE
749,Milk,1421d,RLC_NEG_MTB_2327059,288.037,NA,negative,0.63,NA,5.3e-5,Upregulated,dCMP,1,dcmp,rLC_neg_mtb_1069420,TRUE,TRUE,FALSE,Mass within 25 ppm,6.94360060392906,Reliably detected,Milk__1421d__RLC_NEG_MTB_2327059,dCMP,Milk · 1421d,Milk,TRUE
693,Milk,pn34,RLC_NEG_MTB_2001936,288.0419,NA,negative,0.94,NA,6.3e-16,Upregulated,dCMP,1,dcmp,rLC_neg_mtb_1069420,TRUE,TRUE,FALSE,Mass within 25 ppm,23.9554220840289,Reliably detected,Milk__pn34__RLC_NEG_MTB_2001936,dCMP,Milk · pn34,Milk,TRUE
663,Maternal plasma,tri3,RLC_NEG_MTB_953661,201.0233,0.124,negative,0.572330031821499,5.22399698983448e-6,0.0144667402354202,Upregulated,NA,NA,NA,rLC_neg_mtb_1372186,TRUE,TRUE,FALSE,Mass within 25 ppm,1.98982305007678,Reliably detected,Maternal plasma__tri3__RLC_NEG_MTB_953661,m/z 201.0233,Maternal plasma · tri3,Maternal blood,TRUE
441,Maternal plasma,pn12,RLC_NEG_MTB_953661,201.0233,0.124,negative,1.05053528161149,9.36647031449798e-9,1.21046018031029e-5,Upregulated,NA,0,NA,rLC_neg_mtb_1372186,TRUE,TRUE,FALSE,Mass within 25 ppm,1.98982305007678,Reliably detected,Maternal plasma__pn12__RLC_NEG_MTB_953661,m/z 201.0233,Maternal plasma · pn12,Maternal blood,TRUE
59,Maternal plasma,incl,RLC_NEG_MTB_933434,218.1024,0.1591333,negative,0.796346853004339,3.85102607647067e-6,0.0188325903936616,Upregulated,NA,NA,NA,rLC_neg_mtb_1355357,TRUE,TRUE,FALSE,Mass within 25 ppm,3.66798836513236,Reliably detected,Maternal plasma__incl__RLC_NEG_MTB_933434,m/z 218.1024,Maternal plasma · incl,Maternal blood,TRUE
662,Maternal plasma,tri3,RLC_NEG_MTB_933434,218.1024,0.1591333,negative,0.620164638501228,1.49681541203087e-6,0.00695360882583024,Upregulated,NA,NA,NA,rLC_neg_mtb_1355357,TRUE,TRUE,FALSE,Mass within 25 ppm,3.66798836513236,Reliably detected,Maternal plasma__tri3__RLC_NEG_MTB_933434,m/z 218.1024,Maternal plasma · tri3,Maternal blood,TRUE
41,Maternal VAMS,pn56,VAM_2004233,226.997,0.163,negative,0.834024355454203,3.54164981922949e-16,1.3727788864315398e-11,Upregulated,NA,0,NA,rLC_neg_mtb_1315956,TRUE,TRUE,FALSE,Mass within 25 ppm,3.52428807189969,Reliably detected,Maternal VAMS__pn56__VAM_2004233,m/z 226.997,Maternal VAMS · pn56,Maternal blood,TRUE
26,Infant VAMS,pn56,VAM_2004233,226.997,0.163,negative,0.973997364369831,3.7603081876476595e-25,4.8584435220470304e-21,Upregulated,NA,0,NA,rLC_neg_mtb_1315956,TRUE,TRUE,FALSE,Mass within 25 ppm,3.52428807189969,Reliably detected,Infant VAMS__pn56__VAM_2004233,m/z 226.997,Infant VAMS · pn56,Infant blood,TRUE
7,Infant VAMS,pn34,VAM_1004149,246.114,0.165,positive,0.612656009832451,3.66223316687991e-7,0.00236586366302387,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn34__VAM_1004149,m/z 246.114,Infant VAMS · pn34,Infant blood,FALSE
15,Infant VAMS,pn56,VAM_1004149,246.114,0.165,positive,0.621573509395112,5.12377447956983e-8,1.986026226026e-4,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn56__VAM_1004149,m/z 246.114,Infant VAMS · pn56,Infant blood,FALSE
62,Maternal plasma,incl,RLC_POS_MTB_3417659,286.1984,0.2397333,positive,0.851082262247797,1.07207151537881e-6,0.0188325903936616,Upregulated,NA,NA,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__incl__RLC_POS_MTB_3417659,m/z 286.1984,Maternal plasma · incl,Maternal blood,FALSE
667,Maternal plasma,tri3,RLC_POS_MTB_3417659,286.1984,0.2397333,positive,0.608424454555918,2.16963892268559e-6,0.00700974175271003,Upregulated,NA,NA,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__tri3__RLC_POS_MTB_3417659,m/z 286.1984,Maternal plasma · tri3,Maternal blood,FALSE
574,Maternal plasma,pn12,RLC_POS_MTB_3417659,286.1984,0.2397333,positive,1.26202553100033,1.23250818431059e-14,4.7784342305721593e-11,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__pn12__RLC_POS_MTB_3417659,m/z 286.1984,Maternal plasma · pn12,Maternal blood,FALSE
34,Maternal VAMS,pn56,VAM_1005524,286.202,0.34,positive,0.568448709386384,2.99890890236724e-8,1.1624070796465e-4,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal VAMS__pn56__VAM_1005524,m/z 286.202,Maternal VAMS · pn56,Maternal blood,FALSE
3,Infant VAMS,pn12,VAM_1005524,286.202,0.34,positive,0.998718036473175,9.035049452440599e-24,1.7510377591302498e-19,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn12__VAM_1005524,m/z 286.202,Infant VAMS · pn12,Infant blood,FALSE
9,Infant VAMS,pn34,VAM_1005524,286.202,0.34,positive,1.16488812201922,1.60557649903517e-41,3.11168753395511e-37,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn34__VAM_1005524,m/z 286.202,Infant VAMS · pn34,Infant blood,FALSE
17,Infant VAMS,pn56,VAM_1005524,286.202,0.34,positive,0.992899446009306,3.04407107232504e-26,5.899561941719539e-22,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Infant VAMS__pn56__VAM_1005524,m/z 286.202,Infant VAMS · pn56,Infant blood,FALSE
61,Maternal plasma,incl,RLC_POS_MTB_2679130,286.2021,0.2025333,positive,0.796793393480623,2.39743739084931e-5,0.0333754826683356,Upregulated,NA,NA,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__incl__RLC_POS_MTB_2679130,m/z 286.2021,Maternal plasma · incl,Maternal blood,FALSE
665,Maternal plasma,tri3,RLC_POS_MTB_2679130,286.2021,0.2025333,positive,0.87348957143322,1.2806078215834901e-10,2.4824582621396e-6,Upregulated,NA,NA,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__tri3__RLC_POS_MTB_2679130,m/z 286.2021,Maternal plasma · tri3,Maternal blood,FALSE
509,Maternal plasma,pn12,RLC_POS_MTB_2679130,286.2021,0.2025333,positive,1.33151165402264,4.00560635550937e-17,3.8824339600774597e-13,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__pn12__RLC_POS_MTB_2679130,m/z 286.2021,Maternal plasma · pn12,Maternal blood,FALSE
666,Maternal plasma,tri3,RLC_POS_MTB_2714397,310.2022,0.1963333,positive,0.61487102901507,7.49530617070274e-7,0.00484321700396909,Upregulated,NA,NA,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__tri3__RLC_POS_MTB_2714397,m/z 310.2022,Maternal plasma · tri3,Maternal blood,FALSE
516,Maternal plasma,pn12,RLC_POS_MTB_2714397,310.2022,0.1963333,positive,0.823736296182593,2.4048081024185e-4,0.0193346434976578,Upregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,Maternal plasma__pn12__RLC_POS_MTB_2714397,m/z 310.2022,Maternal plasma · pn12,Maternal blood,FALSE
