row_id,compartment,timepoint,feature,mz,rt,ion_mode,effect_size,raw_p,fdr,direction,putative_name,n_candidates,normalized_name,supplement_feature,supplement_detected,supplement_reliably_detected,supplement_abundant,match_type,supplement_match_ppm,supplement_status,pn0,ct_key,ct_label,supplement_label,tracking_id,tracking_group,tracking_name
32,Maternal VAMS,pn56,VAM_1001605,164.989,0.05,positive,-0.495315959333349,1.24144909526911e-5,0.0283057696363094,Downregulated,alloxan,1,alloxan,NA,NA,NA,NA,NA,NA,No matched supplement feature,alloxan,Maternal VAMS · pn56,Maternal VAMS · 5-6 months,Not reliably detected in supplement,Maternal VAMS__pn56__VAM_1001605,Maternal VAMS__pn56__VAM_1001605,alloxan
214,Maternal plasma,pn12,RLC_NEG_MTB_3443885,156.9907,0.3740667,negative,-0.752184854054243,5.3274149876938e-4,0.03058202796594,Downregulated,alloxan,1,alloxan,rLC_neg_mtb_599574,TRUE,TRUE,FALSE,Mass within 25 ppm,0.636980001397022,Reliably detected,alloxan,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Maternal plasma__pn12__RLC_NEG_MTB_3443885,Maternal VAMS__pn56__VAM_1001605,alloxan
503,Maternal plasma,pn12,RLC_POS_MTB_2612602,203.1396,0.186,positive,-0.825770002702162,3.34239672976073e-6,0.00161980901516029,Downregulated,NA,0,NA,rLC_pos_mtb_1544729,TRUE,TRUE,FALSE,Mass within 25 ppm,2.95364257966957,Reliably detected,NA,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Maternal plasma__pn12__RLC_POS_MTB_2612602,Milk__1421d__RLC_POS_MTB_2677857,m/z 203.1396
888,Milk,1421d,RLC_POS_MTB_2677857,203.1384,NA,positive,-0.48,NA,0.009,Downregulated,NA,0,NA,rLC_pos_mtb_1544729,TRUE,TRUE,FALSE,Mass within 25 ppm,2.95364257980948,Reliably detected,NA,Milk · 1421d,Milk · 14-21 days,Detected in supplement,Milk__1421d__RLC_POS_MTB_2677857,Milk__1421d__RLC_POS_MTB_2677857,m/z 203.1396
998,Milk,pn34,RLC_POS_MTB_990012,203.1385,NA,positive,-0.46,NA,0.02,Downregulated,NA,0,NA,rLC_pos_mtb_1544729,TRUE,TRUE,FALSE,Mass within 25 ppm,2.4613688165079,Reliably detected,NA,Milk · pn34,Milk · 3-4 months,Detected in supplement,Milk__pn34__RLC_POS_MTB_990012,Milk__1421d__RLC_POS_MTB_2677857,m/z 203.1396
408,Maternal plasma,pn12,RLC_NEG_MTB_849017,429.0786,0.1157333,negative,-0.806462919413531,1.8972366926138e-4,0.0167117869388131,Downregulated,NA,0,NA,rLC_neg_mtb_1195819,TRUE,TRUE,FALSE,Mass within 25 ppm,0.932229263173632,Reliably detected,NA,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Maternal plasma__pn12__RLC_NEG_MTB_849017,Milk__pn12__RLC_NEG_MTB_3612744,m/z 429.0786
1379,Milk,pn12,RLC_NEG_MTB_3612744,429.088,NA,negative,-0.38,NA,0.048,Downregulated,NA,0,NA,rLC_neg_mtb_1335750,TRUE,TRUE,FALSE,Mass within 25 ppm,13.2841648328237,Reliably detected,NA,Milk · pn12,Milk · 1-2 months,Detected in supplement,Milk__pn12__RLC_NEG_MTB_3612744,Milk__pn12__RLC_NEG_MTB_3612744,m/z 429.0786
207,Maternal plasma,pn12,RLC_NEG_MTB_3407180,821.5365,0.3740667,negative,-0.818127287532963,7.14984077226811e-5,0.00997119880362714,Downregulated,NA,0,NA,rLC_neg_mtb_4434519,TRUE,TRUE,FALSE,Mass within 25 ppm,2.79963999063105,Reliably detected,NA,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Maternal plasma__pn12__RLC_NEG_MTB_3407180,Milk__pn12__RLC_NEG_MTB_6996911,m/z 821.5365
1085,Milk,pn12,RLC_NEG_MTB_6996911,821.5179,NA,negative,-0.42,NA,0.028,Downregulated,NA,0,NA,rLC_neg_mtb_4197540,TRUE,TRUE,FALSE,Mass within 25 ppm,7.54694840957387,Reliably detected,NA,Milk · pn12,Milk · 1-2 months,Detected in supplement,Milk__pn12__RLC_NEG_MTB_6996911,Milk__pn12__RLC_NEG_MTB_6996911,m/z 821.5365
122,Maternal plasma,pn12,RLC_NEG_MTB_13264,325.1835,0.0062,negative,-0.577726627314756,6.7826869321212e-4,0.0351557182297246,Downregulated,11-Dehydrocorticosterone,1,11dehydrocorticosterone,rLC_neg_mtb_2639500,TRUE,TRUE,FALSE,Mass within 25 ppm,0.615036977581101,Reliably detected,11-Dehydrocorticosterone,Maternal plasma · pn12,Maternal plasma · 1-2 months,Detected in supplement,Maternal plasma__pn12__RLC_NEG_MTB_13264,Milk__pn34__RLC_NEG_MTB_4648675,11-Dehydrocorticosterone
838,Milk,pn34,RLC_NEG_MTB_4648675,381.1628,NA,negative,-0.51,NA,0.0049,Downregulated,11-Dehydrocorticosterone,1,11dehydrocorticosterone,NA,NA,NA,NA,NA,NA,No matched supplement feature,11-Dehydrocorticosterone,Milk · pn34,Milk · 3-4 months,Not reliably detected in supplement,Milk__pn34__RLC_NEG_MTB_4648675,Milk__pn34__RLC_NEG_MTB_4648675,11-Dehydrocorticosterone
320,Maternal plasma,pn12,RLC_NEG_MTB_4061202,773.4364,0.4856667,negative,-0.654430287742822,2.9635199167945e-4,0.0213957175020094,Downregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,NA,Maternal plasma · pn12,Maternal plasma · 1-2 months,Not reliably detected in supplement,Maternal plasma__pn12__RLC_NEG_MTB_4061202,Milk__pn34__RLC_NEG_MTB_6362744,m/z 773.4364
1204,Milk,pn34,RLC_NEG_MTB_6362744,773.4456,NA,negative,-0.43,NA,0.037,Downregulated,NA,0,NA,NA,NA,NA,NA,NA,NA,No matched supplement feature,NA,Milk · pn34,Milk · 3-4 months,Not reliably detected in supplement,Milk__pn34__RLC_NEG_MTB_6362744,Milk__pn34__RLC_NEG_MTB_6362744,m/z 773.4364
