outcome_group,arm_set,study,studytime,direction,contrast,module,pathway,total,hits,expected,raw_p,fdr_native,fdr_bh_pooled,significant,hit_features
primary,combined,Elicit,1 mo.,up,Nico,ora,Nicotinate and Nicotinamide Metabolism,7,5,1.2,3.67e-4,0.0359,0.0801895,TRUE,Nicotinamide riboside; NAD; Nicotinic acid mononucleotide; Niacinamide; Nudifloramide
primary,combined,Elicit,1 mo.,up,Nico,ora,Tryptophan Metabolism,4,2,0.686,0.128,1,0.9829691516709512,FALSE,NAD; L-Tryptophan
primary,combined,Elicit,1 mo.,up,Nico,ora,Fatty Acid Elongation In Mitochondria,1,1,0.171,0.171,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Ketone Body Metabolism,1,1,0.171,0.171,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Steroidogenesis,1,1,0.171,0.171,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Cardiolipin Biosynthesis,1,1,0.171,0.171,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Androstenedione Metabolism,1,1,0.171,0.171,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Pterine Biosynthesis,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Caffeine Metabolism,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Selenoamino Acid Metabolism,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Glycerolipid Metabolism,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Androgen and Estrogen Metabolism,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Glycerol Phosphate Shuttle,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Glucose-Alanine Cycle,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Mitochondrial Electron Transport Chain,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Ethanol Degradation,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Inositol Phosphate Metabolism,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Carnitine Synthesis,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,De Novo Triacylglycerol Biosynthesis,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Estrone Metabolism,2,1,0.343,0.318,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Cysteine Metabolism,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Bile Acid Biosynthesis,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Glycolysis,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Fatty acid Metabolism,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Fructose and Mannose Degradation,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Butyrate Metabolism,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Retinol Metabolism,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Malate-Aspartate Shuttle,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Plasmalogen Synthesis,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,3,1,0.514,0.442,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Nucleotide Sugars Metabolism,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Inositol Metabolism,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Lysine Degradation,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Galactose Metabolism,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Starch and Sucrose Metabolism,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Urea Cycle,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Gluconeogenesis,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Phytanic Acid Peroxisomal Oxidation,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Transfer of Acetyl Groups into Mitochondria,4,1,0.686,0.546,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Glycine and Serine Metabolism,5,1,0.857,0.634,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Ammonia Recycling,5,1,0.857,0.634,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Arginine and Proline Metabolism,5,1,0.857,0.634,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Porphyrin Metabolism,5,1,0.857,0.634,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Phospholipid Biosynthesis,5,1,0.857,0.634,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Folate Metabolism,5,1,0.857,0.634,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Betaine Metabolism,5,1,0.857,0.634,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Threonine and 2-Oxobutanoate Degradation,5,1,0.857,0.634,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Propanoate Metabolism,6,1,1.03,0.707,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,"Valine, Leucine and Isoleucine Degradation",6,1,1.03,0.707,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Methionine Metabolism,6,1,1.03,0.707,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Citric Acid Cycle,6,1,1.03,0.707,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Glutamate Metabolism,6,1,1.03,0.707,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Histidine Metabolism,7,1,1.2,0.768,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Purine Metabolism,7,1,1.2,0.768,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Warburg Effect,7,1,1.2,0.768,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Tyrosine Metabolism,8,1,1.37,0.818,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Beta-Alanine Metabolism,8,1,1.37,0.818,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,1 mo.,up,Nico,ora,Pyruvate Metabolism,8,1,1.37,0.818,1,0.9829691516709512,FALSE,NAD
primary,combined,Elicit,5 mo.,down,Nico,ora,Lactose Degradation,2,1,0.0571,0.0571,1,0.9829691516709512,FALSE,Potassium
primary,combined,Elicit,5 mo.,down,Nico,ora,Trehalose Degradation,2,1,0.0571,0.0571,1,0.9829691516709512,FALSE,Potassium
primary,combined,Elicit,5 mo.,down,Nico,ora,Glycolysis,3,1,0.0857,0.0857,1,0.9829691516709512,FALSE,Potassium
primary,combined,Elicit,5 mo.,down,Nico,ora,Spermidine and Spermine Biosynthesis,3,1,0.0857,0.0857,1,0.9829691516709512,FALSE,Potassium
primary,combined,Elicit,5 mo.,down,Nico,ora,Betaine Metabolism,5,1,0.143,0.143,1,0.9829691516709512,FALSE,Potassium
primary,combined,Elicit,5 mo.,down,Nico,ora,Methionine Metabolism,6,1,0.171,0.171,1,0.9829691516709512,FALSE,Potassium
primary,combined,Elicit,5 mo.,down,Nico,ora,Purine Metabolism,7,1,0.2,0.2,1,0.9829691516709512,FALSE,Potassium
primary,combined,Elicit,5 mo.,down,Nico,ora,Warburg Effect,7,1,0.2,0.2,1,0.9829691516709512,FALSE,Potassium
primary,combined,Elicit,5 mo.,down,Nico,ora,Pyruvate Metabolism,8,1,0.229,0.229,1,0.9829691516709512,FALSE,Potassium
