"outcome_group","arm_set","study","studytime","direction","contrast","module","pathway","total","hits","expected","raw_p","fdr_native","fdr_bh_pooled","significant","hit_features"
"primary","combined","Misame","14-21 days","down","BEP","ora","Urea Cycle",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Arachidonic Acid Metabolism",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Iron"
"primary","combined","Misame","14-21 days","down","BEP","ora","Gluconeogenesis",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Phytanic Acid Peroxisomal Oxidation",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Iron"
"primary","combined","Misame","14-21 days","down","BEP","ora","Transfer of Acetyl Groups into Mitochondria",4,1,0.229,0.218,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Phenylalanine and Tyrosine Metabolism",5,1,0.286,0.269,1,0.982969151670951,FALSE,"Iron"
"primary","combined","Misame","14-21 days","down","BEP","ora","Arginine and Proline Metabolism",5,1,0.286,0.269,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Porphyrin Metabolism",5,1,0.286,0.269,1,0.982969151670951,FALSE,"Iron"
"primary","combined","Misame","14-21 days","down","BEP","ora","Phospholipid Biosynthesis",5,1,0.286,0.269,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Propanoate Metabolism",6,1,0.343,0.318,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Citric Acid Cycle",6,1,0.343,0.318,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Histidine Metabolism",7,1,0.4,0.365,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Purine Metabolism",7,1,0.4,0.365,1,0.982969151670951,FALSE,"Iron"
"primary","combined","Misame","14-21 days","down","BEP","ora","Warburg Effect",7,1,0.4,0.365,1,0.982969151670951,FALSE,"Manganese"
"primary","combined","Misame","14-21 days","down","BEP","ora","Tyrosine Metabolism",8,1,0.457,0.41,1,0.982969151670951,FALSE,"Iron"
