"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Glycine and Serine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Catecholamine Biosynthesis","Homocysteine"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Arginine and Proline Metabolism","4-Hydroxyproline"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Methionine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Bile Acid Biosynthesis","Taurocholic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Pyruvate Metabolism","Lactic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Betaine Metabolism","Homocysteine"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Gluconeogenesis","Lactic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Homocysteine Degradation","Homocysteine"
"Vital (2 mo.)","BEP+ExBf+AZT","down","Warburg Effect","Lactic acid"
