Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Ascorbate (Vitamin C) and Aldarate Metabolism,6,12,0.5,0.00159650449542055,0.189984034955046,ELICIT,5 mo.,Nico,Upregulated,Positive
D4&E4-neuroprostanes formation,4,5,0.8,0.00168053104781111,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Fructose and mannose metabolism,11,28,0.393,0.00168053104781111,0.0999915973447609,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Vitamin E metabolism,8,12,-0.667,0.00168053104781111,0.0999915973447609,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Vitamin D3 (cholecalciferol) metabolism,5,6,-0.833,0.00176455760020166,0.104991177211999,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,5,8,0.625,0.00184858415259222,0.219981514158474,MISAME,14-21 days,BEP/BEP,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,6,12,0.5,0.00193261070498277,0.22998067389295,MISAME,1-2 mo.,IFA/BEP,Upregulated,Positive
Vitamin B3 (nicotinate and nicotinamide) metabolism,4,8,0.5,0.00210066380976389,0.249978993361902,ELICIT,1 mo.,Nico,Upregulated,Positive
Carbon fixation,15,28,0.536,0.00210066380976389,0.249978993361902,Mumta-LW,1.5 mo.,BEP+ExBf,Upregulated,Negative
Androgen and estrogen biosynthesis and metabolism,10,18,-0.556,0.00218469036215444,0.0824930678094278,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Fructose and mannose metabolism,18,41,-0.439,0.00235274346693555,0.174985295353332,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Pentose phosphate pathway,19,48,0.396,0.00235274346693555,0.279976472565331,ELICIT,1 mo.,Nico+Az.,Upregulated,Negative
N-Glycan biosynthesis,10,24,-0.417,0.00243677001932611,0.0949920174775229,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Starch and Sucrose Metabolism,10,24,-0.417,0.00243677001932611,0.0949920174775229,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
"Valine, leucine and isoleucine degradation",21,79,0.266,0.00252079657171666,0.147987564070246,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
C5-Branched dibasic acid metabolism,12,24,0.5,0.00252079657171666,0.299974792034283,MISAME,3-4 mo.,IFA/BEP,Upregulated,Negative
"Fatty acid oxidation, peroxisome",11,20,-0.55,0.00260482312410722,0.309973951768759,MISAME,1-2 mo.,BEP/IFA,Downregulated,Negative
Keratan sulfate degradation,6,11,0.545,0.00260482312410722,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Arachidonic acid metabolism,19,50,-0.38,0.00260482312410722,0.0699941181413327,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Chondroitin sulfate degradation,3,3,1,0.00268884967649777,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,5,8,0.625,0.00268884967649777,0.0533288519172058,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Fatty Acid Metabolism,15,33,-0.455,0.00277287622888833,0.0824930678094278,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,37,74,0.5,0.00277287622888833,0.329972271237711,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Sphingolipid metabolism,3,3,-1,0.00285690278127888,0.339971430972187,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Glycerophospholipid metabolism,34,110,-0.309,0.00294092933366944,0.116656863568888,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Squalene and cholesterol biosynthesis,13,26,-0.5,0.00294092933366944,0.174985295353332,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Vitamin A (retinol) metabolism,13,30,-0.433,0.00294092933366944,0.0699941181413327,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Pyruvate Metabolism,21,59,-0.356,0.00319300899084111,0.133322129793015,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Glycosphingolipid biosynthesis - globoseries,9,21,-0.429,0.00319300899084111,0.0949920174775229,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Carbon fixation,12,25,0.48,0.00319300899084111,0.189984034955046,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
Prostaglandin formation from arachidonate,9,17,-0.529,0.00336106209562222,0.133322129793015,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Squalene and cholesterol biosynthesis,12,27,-0.444,0.00336106209562222,0.133322129793015,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Glycerophospholipid metabolism,14,33,-0.424,0.00378119485757499,0.0949920174775229,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Androgen and estrogen biosynthesis and metabolism,9,18,-0.5,0.00386522140996555,0.0766602246309834,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Starch and Sucrose Metabolism,11,25,-0.44,0.00403327451474666,0.479959667254853,ELICIT,1 mo.,Nico,Downregulated,Negative
Fatty acid activation,11,21,-0.524,0.00403327451474666,0.159986555751618,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Biopterin metabolism,4,6,0.667,0.00411730106713722,0.489958826989329,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Arachidonic acid metabolism,12,36,-0.333,0.00420132761952777,0.192483824888665,ELICIT,5 mo.,Nico,Downregulated,Negative
Prostaglandin formation from arachidonate,6,13,-0.462,0.00428535417191833,0.169985715486094,ELICIT,5 mo.,Az.,Downregulated,Positive
C21-steroid hormone biosynthesis and metabolism,5,10,0.5,0.00445340727669944,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Fatty Acid Metabolism,7,12,-0.583,0.00462146038148055,0.0949920174775229,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Propanoate metabolism,20,78,0.256,0.0047054869338711,0.147987564070246,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Tyrosine metabolism,25,98,-0.255,0.0047054869338711,0.111990589026132,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Vitamin A (retinol) metabolism,8,15,-0.533,0.00478951348626166,0.0949920174775229,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
C5-Branched dibasic acid metabolism,10,23,0.435,0.00487354003865221,0.579951264599614,MISAME,14-21 days,IFA/BEP,Upregulated,Negative
Prostaglandin formation from arachidonate,12,37,-0.324,0.00495756659104277,0.192483824888665,ELICIT,5 mo.,Nico,Downregulated,Negative
Vitamin B5 - CoA biosynthesis from pantothenate,5,9,0.556,0.00504159314343333,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Dynorphin metabolism,3,3,1,0.00504159314343333,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Butanoate metabolism,22,89,0.247,0.00512561969582388,0.147987564070246,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Starch and Sucrose Metabolism,11,31,0.355,0.00512561969582388,0.203316247934347,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Fatty acid activation,9,18,-0.5,0.00529367280060499,0.157486765817999,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Bile acid biosynthesis,16,43,-0.372,0.0054617259053861,0.155986891857827,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Bile acid biosynthesis,6,10,-0.6,0.00562977901016721,0.619947903537518,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
