Pathway,Overlap Size,Pathway Size,Enrichment Ratio,P-value,FDR,Study,Time Point,Contrast,Regulation,Ionization Mode
Vitamin D3 (cholecalciferol) metabolism,3,4,0.75,0.014368540458785,0.53256028905134,ELICIT,1 mo.,Az.,Upregulated,Positive
Chondroitin sulfate degradation,2,2,1,0.0144525670111755,0.520796571716662,MISAME,14-21 days,BEP/BEP,Upregulated,Positive
Prostaglandin formation from arachidonate,6,20,0.3,0.0145365935635661,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
C21-steroid hormone biosynthesis and metabolism,8,16,-0.5,0.0147046466683472,0.279976472565331,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Aminosugars metabolism,7,23,-0.304,0.0147886732207378,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Glycosphingolipid biosynthesis - globoseries,9,27,0.333,0.0148726997731283,0.31664005825841,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis,5,7,0.714,0.0148726997731283,0.763685824720612,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
C5-Branched dibasic acid metabolism,9,23,0.391,0.0150407528779094,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Polyunsaturated fatty acid biosynthesis,3,5,-0.6,0.0150407528779094,0.25569279892446,ELICIT,5 mo.,Az.,Downregulated,Positive
Propanoate metabolism,22,66,0.333,0.0151247794303,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Prostaglandin formation from arachidonate,17,52,-0.327,0.0152088059826905,0.226230988992522,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Pyrimidine metabolism,15,56,-0.268,0.0152088059826905,0.212204389920548,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Androgen and estrogen biosynthesis and metabolism,10,22,-0.455,0.0152088059826905,0.535669271489791,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Chondroitin sulfate degradation,2,2,1,0.0153768590874716,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,4,8,-0.5,0.0155449121922528,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Arginine and Proline Metabolism,7,21,-0.333,0.0155449121922528,0.23123056885976,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Hyaluronan Metabolism,4,8,0.5,0.0156289387446433,0.232480463826569,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Selenoamino acid metabolism,5,18,-0.278,0.0156289387446433,0.653222418284178,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Negative
Glycosphingolipid metabolism,12,41,0.293,0.0159650449542055,0.31664005825841,ELICIT,5 mo.,Nico+Az.,Upregulated,Negative
Xenobiotics metabolism,4,6,-0.667,0.0160490715065961,0.238729938660617,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Hexose phosphorylation,10,32,-0.312,0.0160490715065961,0.212204389920548,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
De novo fatty acid biosynthesis,26,77,-0.338,0.0161330980589866,0.611198638769851,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,4,11,0.364,0.0163851777161583,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Nucleotide Sugar Metabolism,4,5,0.8,0.0163851777161583,0.780942777917822,Mumta-LW,1.5 mo.,BEP+ExBf,Upregulated,Negative
Arachidonic acid metabolism,10,22,-0.455,0.0164692042685489,0.279976472565331,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,5,11,0.455,0.0164692042685489,0.371397361566255,Mumta-LW,1.5 mo.,BEP,Upregulated,Positive
Pentose phosphate pathway,14,39,0.359,0.01663725737333,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Vitamin B3 (nicotinate and nicotinamide) metabolism,3,7,0.429,0.01663725737333,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,22,67,0.328,0.0168893370305016,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Bile acid biosynthesis,14,40,-0.35,0.0171414166876733,0.214981934291236,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Drug metabolism - other enzymes,5,12,0.417,0.0172254432400639,0.2277586383964,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
Xenobiotics metabolism,10,26,-0.385,0.0172254432400639,0.2277586383964,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Vitamin B3 (nicotinate and nicotinamide) metabolism,5,16,0.312,0.0177296025544072,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
C21-steroid hormone biosynthesis and metabolism,16,43,-0.372,0.0178976556591883,0.329972271237711,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
Chondroitin sulfate degradation,3,4,0.75,0.0179816822115789,0.534955045794471,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
Heparan sulfate degradation,3,4,0.75,0.0179816822115789,0.534955045794471,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Upregulated,Negative
C21-steroid hormone biosynthesis and metabolism,15,44,-0.341,0.0180657087639694,0.214981934291236,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Tyrosine metabolism,34,116,-0.293,0.0180657087639694,0.358303223818727,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Pentose phosphate pathway,19,52,0.365,0.0184858415259222,0.592450214267709,ELICIT,1 mo.,Nico,Upregulated,Negative
Galactose metabolism,6,15,-0.4,0.0186538946307033,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
"Valine, leucine and isoleucine degradation",6,15,-0.4,0.0186538946307033,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Bile acid biosynthesis,6,12,-0.5,0.0188219477354844,0.248867975613627,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Glycosphingolipid biosynthesis - lactoseries,8,18,0.444,0.018905974287875,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Blood Group Biosynthesis,8,18,0.444,0.018905974287875,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Glycosphingolipid biosynthesis - neolactoseries,8,18,0.444,0.018905974287875,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Keratan sulfate biosynthesis,8,18,0.444,0.018905974287875,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
O-Glycan biosynthesis,8,18,0.444,0.018905974287875,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Pyrimidine metabolism,27,103,0.262,0.0189900008402655,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Carbon fixation,9,26,0.346,0.0189900008402655,0.771783883707252,ELICIT,1 mo.,Az.,Upregulated,Negative
Prostaglandin formation from arachidonate,16,46,0.348,0.0189900008402655,0.749012688009411,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
Leukotriene metabolism,13,33,-0.394,0.0194101336022183,0.329972271237711,MISAME,3-4 mo.,BEP/BEP,Downregulated,Negative
CoA Catabolism,4,8,0.5,0.01966221325939,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Selenoamino acid metabolism,4,8,0.5,0.01966221325939,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Glycolysis and Gluconeogenesis,4,11,0.364,0.0197462398117805,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Propanoate metabolism,20,71,0.282,0.0199142929165616,0.738761448617763,MISAME,1-2 mo.,IFA/BEP,Upregulated,Negative
TCA cycle,18,49,0.367,0.0199142929165616,0.592450214267709,ELICIT,1 mo.,Nico,Upregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,17,53,-0.321,0.0199142929165616,0.385681875472649,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
N-Glycan Degradation,7,16,-0.438,0.0199983194689522,0.549953785396185,ELICIT,1 mo.,Nico,Downregulated,Negative
Squalene and cholesterol biosynthesis,3,5,-0.6,0.0199983194689522,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Xenobiotics metabolism,5,9,-0.556,0.0202503991261239,0.406632495868695,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Fatty Acid Metabolism,7,15,-0.467,0.0205024787832955,0.406632495868695,MISAME,14-21 days,IFA/BEP,Downregulated,Positive
Glycerophospholipid metabolism,15,38,-0.395,0.0205024787832955,0.304974371901521,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Sialic acid metabolism,14,52,0.269,0.0207545584404672,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
Galactose metabolism,9,29,0.31,0.0208385849928577,0.27553240157223,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Vitamin A (retinol) metabolism,10,23,-0.435,0.0208385849928577,0.535669271489791,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Tryptophan metabolism,16,48,0.333,0.0210066380976389,0.27775443706878,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Glycosphingolipid metabolism,5,15,-0.333,0.0214267708595916,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,25,65,0.385,0.0215948239643727,0.763685824720612,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
N-Glycan biosynthesis,3,7,0.429,0.0218469036215444,0.401058734560121,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Propanoate metabolism,3,7,0.429,0.0218469036215444,0.401058734560121,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Galactose metabolism,6,22,0.273,0.021930930173935,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Glutamate metabolism,4,11,0.364,0.021930930173935,0.45844886984287,ELICIT,5 mo.,Nico,Upregulated,Positive
Chondroitin sulfate degradation,3,4,0.75,0.021930930173935,0.553953449289976,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Heparan sulfate degradation,3,4,0.75,0.021930930173935,0.553953449289976,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Glutamate metabolism,16,54,0.296,0.0220989832787161,0.457234304221952,MISAME,14-21 days,BEP/IFA,Upregulated,Negative
Selenoamino acid metabolism,11,30,-0.367,0.0223510629358877,0.385681875472649,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Starch and Sucrose Metabolism,10,32,-0.312,0.0224350894882783,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
"Glycine, serine, alanine and threonine metabolism",32,118,-0.271,0.02268716914545,0.385681875472649,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Vitamin B9 (folate) metabolism,5,12,-0.417,0.02268716914545,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Fatty Acid Metabolism,4,9,-0.444,0.0227711956978405,0.281976304512226,ELICIT,5 mo.,Az.,Downregulated,Positive
Galactose metabolism,11,38,0.289,0.0228552222502311,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
N-Glycan Degradation,13,23,0.565,0.0231913284597933,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Pentose and Glucuronate Interconversions,6,13,0.462,0.0232753550121838,0.553953449289976,Mumta-LW,1.5 mo.,BEP,Upregulated,Negative
Glycosphingolipid biosynthesis - lactoseries,3,5,0.6,0.023443408116965,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Blood Group Biosynthesis,3,5,0.6,0.023443408116965,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Biopterin metabolism,3,5,0.6,0.023443408116965,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Glycosphingolipid biosynthesis - neolactoseries,3,5,0.6,0.023443408116965,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Keratan sulfate biosynthesis,3,5,0.6,0.023443408116965,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
O-Glycan biosynthesis,3,5,0.6,0.023443408116965,0.278976556591883,MISAME,14-21 days,BEP/IFA,Upregulated,Positive
Bile acid biosynthesis,3,8,0.375,0.023443408116965,0.42660280648685,MISAME,1-2 mo.,BEP/IFA,Upregulated,Positive
Sphingolipid metabolism,2,3,-0.667,0.0236114612217461,0.543819847071675,MISAME,3-4 mo.,BEP/IFA,Downregulated,Positive
Porphyrin metabolism,5,13,-0.385,0.0236954877741366,0.281976304512226,ELICIT,5 mo.,Az.,Downregulated,Positive
Leukotriene metabolism,5,13,-0.385,0.0236954877741366,0.281976304512226,ELICIT,5 mo.,Az.,Downregulated,Positive
Fructose and mannose metabolism,10,32,0.312,0.0238635408789177,0.76102848500126,MISAME,1-2 mo.,BEP/BEP,Upregulated,Negative
Pentose phosphate pathway,4,9,-0.444,0.0239475674313083,0.61423409797496,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Selenoamino acid metabolism,10,25,-0.4,0.0244517267456516,0.415679354676078,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Sphingolipid metabolism,2,2,-1,0.0245357532980422,0.583950928493404,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Nitrogen metabolism,2,2,-1,0.0245357532980422,0.583950928493404,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Tryptophan metabolism,6,16,-0.375,0.0247038064028233,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Vitamin B1 (thiamin) metabolism,4,8,-0.5,0.0248718595076044,0.48113603898832,ELICIT,1 mo.,Nico+Az.,Downregulated,Positive
"Glycine, serine, alanine and threonine metabolism",8,24,-0.333,0.0250399126123855,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Fructose and mannose metabolism,3,7,0.429,0.0252079657171666,0.513138697282887,MISAME,3-4 mo.,BEP/IFA,Upregulated,Positive
Arachidonic acid metabolism,6,17,-0.353,0.0254600453743383,0.61423409797496,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Glycerophospholipid metabolism,35,114,-0.307,0.02571212503151,0.611948575749937,MISAME,14-21 days,IFA/BEP,Downregulated,Negative
Polyunsaturated fatty acid biosynthesis,3,4,-0.75,0.0257961515839005,0.341082448720462,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Positive
Vitamin A (retinol) metabolism,6,27,-0.222,0.0260482312410722,0.653222418284178,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Negative
Saturated fatty acids beta-oxidation,6,13,-0.462,0.0268884967649777,0.290884646821123,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Tyrosine metabolism,10,46,0.217,0.0269725233173683,0.451138559784892,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Positive
Bile acid biosynthesis,16,44,-0.364,0.0270565498697588,0.611198638769851,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Sialic acid metabolism,4,14,0.286,0.0271405764221494,0.535837324594572,ELICIT,5 mo.,Nico+Az.,Upregulated,Positive
Prostaglandin formation from dihomo gama-linoleic acid,2,3,-0.667,0.02722460297454,0.359969750441139,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
N-Glycan Degradation,2,5,0.4,0.0273086295269305,0.410721788085035,ELICIT,1 mo.,Nico,Upregulated,Positive
Ubiquinone Biosynthesis,8,24,0.333,0.0273926560793211,0.76102848500126,MISAME,1-2 mo.,BEP/BEP,Upregulated,Negative
Pentose and Glucuronate Interconversions,6,14,0.429,0.0274766826317116,0.800857070834384,MISAME,14-21 days,BEP/BEP,Upregulated,Negative
Aminosugars metabolism,8,26,0.308,0.027980841946055,0.332972019158054,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
Androgen and estrogen biosynthesis and metabolism,4,11,0.364,0.0282329216032266,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,4,11,0.364,0.0282329216032266,0.460381480547853,ELICIT,5 mo.,Az.,Upregulated,Positive
C21-steroid hormone biosynthesis and metabolism,14,38,-0.368,0.0282329216032266,0.535669271489791,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Drug metabolism - other enzymes,3,6,-0.5,0.0282329216032266,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Fatty Acid Metabolism,14,43,-0.326,0.0286530543651794,0.340971346945635,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Di-unsaturated fatty acid beta-oxidation,2,2,-1,0.0286530543651794,0.284142789121362,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Omega-3 fatty acid metabolism,2,2,-1,0.0286530543651794,0.284142789121362,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Ubiquinone Biosynthesis,2,2,-1,0.0286530543651794,0.284142789121362,MISAME,3-4 mo.,IFA/BEP,Downregulated,Positive
Pyruvate Metabolism,20,63,0.317,0.02873708091757,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Aspartate and asparagine metabolism,23,75,0.307,0.0288211074699605,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Prostaglandin formation from arachidonate,17,49,-0.347,0.0288211074699605,0.535669271489791,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
N-Glycan Degradation,6,16,-0.375,0.0289051340223511,0.75649105117217,Mumta-LW,1.5 mo.,BEP,Downregulated,Negative
Histidine metabolism,4,9,-0.444,0.0289891605747416,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Lysine metabolism,4,9,-0.444,0.0289891605747416,0.265362316030327,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Propanoate metabolism,19,60,0.317,0.0290731871271322,0.749012688009411,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Negative
R Group Synthesis,4,6,-0.667,0.0292412402319133,0.611198638769851,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Propanoate metabolism,14,56,-0.25,0.0292412402319133,0.267977480883959,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Sphingolipid metabolism,2,2,-1,0.0295773464414755,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
R Group Synthesis,3,4,-0.75,0.0298294260986472,0.808503487101924,MISAME,14-21 days,BEP/IFA,Downregulated,Negative
Phosphatidylinositol phosphate metabolism,21,71,-0.296,0.0298294260986472,0.295808475478251,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Squalene and cholesterol biosynthesis,6,19,-0.316,0.0299134526510377,0.735820519284094,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Negative
Methionine and cysteine metabolism,5,16,-0.312,0.0299974792034283,0.598605159230317,MISAME,14-21 days,BEP/BEP,Downregulated,Positive
Leukotriene metabolism,9,28,-0.321,0.0300815057558188,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Pyruvate Metabolism,33,75,0.44,0.0300815057558188,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Squalene and cholesterol biosynthesis,9,22,0.409,0.0300815057558188,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Pyruvate Metabolism,2,4,0.5,0.0302495588606,0.42660280648685,MISAME,1-2 mo.,BEP/IFA,Upregulated,Positive
Alkaloid biosynthesis II,3,6,-0.5,0.0304176119653811,0.613477859003445,ELICIT,5 mo.,Nico,Downregulated,Positive
Ascorbate (Vitamin C) and Aldarate Metabolism,4,10,0.4,0.0305016385177716,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Purine metabolism,14,58,-0.241,0.0306696916225527,0.727837996806991,ELICIT,5 mo.,Nico,Downregulated,Negative
Propanoate metabolism,18,63,-0.286,0.0307537181749433,0.549953785396185,ELICIT,1 mo.,Nico,Downregulated,Negative
"Valine, leucine and isoleucine degradation",20,72,-0.278,0.031005797832115,0.549953785396185,ELICIT,1 mo.,Nico,Downregulated,Negative
Fatty acid activation,16,61,-0.262,0.0310898243845055,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Linoleate metabolism,4,13,0.308,0.0310898243845055,0.401058734560121,ELICIT,1 mo.,Nico+Az.,Upregulated,Positive
Glycosphingolipid biosynthesis - lactoseries,4,9,-0.444,0.0310898243845055,0.267977480883959,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Blood Group Biosynthesis,4,9,-0.444,0.0310898243845055,0.267977480883959,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Glycosphingolipid biosynthesis - neolactoseries,4,9,-0.444,0.0310898243845055,0.267977480883959,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Tyrosine metabolism,28,140,0.2,0.0311738509368961,0.370968826149063,MISAME,1-2 mo.,BEP/IFA,Upregulated,Negative
"Valine, leucine and isoleucine degradation",20,64,-0.312,0.0312578774892866,0.417742673351446,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
Drug metabolism - cytochrome P450,3,8,0.375,0.0313419040416772,0.488530375598689,MISAME,1-2 mo.,BEP/BEP,Upregulated,Positive
Aminosugars metabolism,15,60,0.25,0.0314259305940677,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
Vitamin B9 (folate) metabolism,4,10,-0.4,0.0314259305940677,0.489958826989329,Mumta-LW,2 mo.,BEP+ExBf,Downregulated,Positive
Propanoate metabolism,18,51,0.353,0.0315099571464583,0.731188555583564,ELICIT,1 mo.,Nico,Upregulated,Negative
Fatty Acid Metabolism,13,35,-0.371,0.0315099571464583,0.535669271489791,Mumta-LW,1.5 mo.,BEP+ExBf+AZT,Downregulated,Negative
Butanoate metabolism,21,68,-0.309,0.0315939836988488,0.417742673351446,ELICIT,5 mo.,Nico+Az.,Downregulated,Negative
"Glycine, serine, alanine and threonine metabolism",22,93,-0.237,0.0319300899084111,0.74439122762793,ELICIT,5 mo.,Az.,Downregulated,Negative
Phosphatidylinositol phosphate metabolism,13,50,0.26,0.0320981430131922,0.52715570120158,ELICIT,5 mo.,Az.,Upregulated,Negative
Tryptophan metabolism,5,18,0.278,0.0321821695655827,0.451138559784892,Mumta-LW,2 mo.,BEP+ExBf+AZT,Upregulated,Positive
Omega-6 fatty acid metabolism,8,24,-0.333,0.0323502226703638,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Fatty Acid Metabolism,5,10,-0.5,0.0323502226703638,0.63532476262499,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
Beta-Alanine metabolism,5,10,-0.5,0.0323502226703638,0.63532476262499,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
Pyruvate Metabolism,17,59,-0.288,0.0323502226703638,0.549953785396185,ELICIT,1 mo.,Nico,Downregulated,Negative
Vitamin E metabolism,3,9,0.333,0.0324342492227544,0.42660280648685,MISAME,1-2 mo.,BEP/IFA,Upregulated,Positive
Butanoate metabolism,24,80,0.3,0.032518275775145,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Glycerophospholipid metabolism,36,121,-0.298,0.0326863288799261,0.611198638769851,MISAME,3-4 mo.,BEP/IFA,Downregulated,Negative
Caffeine metabolism,10,17,0.588,0.0327703554323166,0.543031290195394,MISAME,3-4 mo.,BEP/BEP,Upregulated,Negative
Arachidonic acid metabolism,16,52,-0.308,0.0330224350894883,0.357242706877191,MISAME,1-2 mo.,IFA/BEP,Downregulated,Negative
Pentose phosphate pathway,21,55,0.382,0.0336106209562222,0.763685824720612,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
Butanoate metabolism,20,85,-0.235,0.0336946475086127,0.772708175783548,MISAME,14-21 days,BEP/BEP,Downregulated,Negative
Ascorbate (Vitamin C) and Aldarate Metabolism,4,10,0.4,0.0336946475086127,0.498361482228384,MISAME,3-4 mo.,IFA/BEP,Upregulated,Positive
Hexose phosphorylation,12,36,-0.333,0.0337786740610033,0.502457776657424,ELICIT,1 mo.,Nico+Az.,Downregulated,Negative
Squalene and cholesterol biosynthesis,7,22,-0.318,0.0337786740610033,0.267977480883959,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Selenoamino acid metabolism,7,22,-0.318,0.0337786740610033,0.267977480883959,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Negative
Bile acid biosynthesis,6,15,-0.4,0.0338627006133938,0.638517771615831,MISAME,1-2 mo.,BEP/IFA,Downregulated,Positive
Glutathione Metabolism,2,2,-1,0.0339467271657844,0.625409629442904,MISAME,1-2 mo.,BEP/BEP,Downregulated,Positive
Fatty acid activation,8,20,-0.4,0.0341988068229561,0.63532476262499,MISAME,1-2 mo.,IFA/BEP,Downregulated,Positive
Alkaloid biosynthesis II,3,6,-0.5,0.0341988068229561,0.319973111503235,ELICIT,5 mo.,Az.,Downregulated,Positive
Biopterin metabolism,2,2,-1,0.0342828333753466,0.313819782435865,MISAME,3-4 mo.,IFA/BEP,Downregulated,Negative
Glutamate metabolism,14,41,0.341,0.0345349130325183,0.513706831358709,ELICIT,5 mo.,Nico,Upregulated,Negative
Prostaglandin formation from arachidonate,6,20,-0.3,0.0347029661372994,0.396633336134218,Mumta-LW,2 mo.,BEP+ExBf+AZT,Downregulated,Positive
Vitamin B3 (nicotinate and nicotinamide) metabolism,3,6,-0.5,0.0352071254516427,0.286291731345,Mumta-LW,1.5 mo.,BEP+ExBf,Downregulated,Positive
Fatty Acid Metabolism,2,3,0.667,0.0352911520040333,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
Pentose and Glucuronate Interconversions,2,3,0.667,0.0352911520040333,0.496933030837745,MISAME,14-21 days,IFA/BEP,Upregulated,Positive
CoA Catabolism,3,6,0.5,0.0352911520040333,0.381786098952724,MISAME,3-4 mo.,BEP/BEP,Upregulated,Positive
N-Glycan Degradation,4,10,-0.4,0.0353751785564238,0.61423409797496,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Leukotriene metabolism,5,14,-0.357,0.0353751785564238,0.61423409797496,MISAME,14-21 days,BEP/IFA,Downregulated,Positive
Polyunsaturated fatty acid biosynthesis,6,16,-0.375,0.0353751785564238,0.382110746996051,MISAME,1-2 mo.,BEP/BEP,Downregulated,Negative
Vitamin B1 (thiamin) metabolism,9,24,0.375,0.0354592051088144,0.421964540794891,MISAME,3-4 mo.,BEP/IFA,Upregulated,Negative
Lysine metabolism,5,14,-0.357,0.0354592051088144,0.319973111503235,ELICIT,5 mo.,Az.,Downregulated,Positive
Mono-unsaturated fatty acid beta-oxidation,6,15,0.4,0.0357112847659861,0.800857070834384,MISAME,14-21 days,BEP/BEP,Upregulated,Negative
Nucleotide Sugar Metabolism,4,6,0.667,0.0360473909755483,0.763685824720612,Mumta-LW,2 mo.,BEP+ExBf,Upregulated,Negative
Chondroitin sulfate degradation,4,8,0.5,0.0363834971851105,0.800857070834384,MISAME,14-21 days,BEP/BEP,Upregulated,Negative
