"outcome_class","category","label","biomarker","study","visit","Control_N","Nico_N","BEP_N","Control_raw_mean","Nico_raw_mean","BEP_raw_mean","Control_raw_sd","Nico_raw_sd","BEP_raw_sd","Control_raw_median","Nico_raw_median","BEP_raw_median","Control_raw_q25","Nico_raw_q25","BEP_raw_q25","Control_raw_q75","Nico_raw_q75","BEP_raw_q75","ATE","ATE_cil","ATE_ciu","pval","pval_adj","sigFDR"
"primary","B1","free thiamin","T","Elicit","1 mo.",98,101,NA,32.5709810066828,29.5234121152579,NA,18.4008524236086,14.8962113165936,NA,29.6861301022438,28.3216460126344,NA,20.3131181303876,18.19594273258,NA,38.515134223164,36.2660116996949,NA,-3.04961701078139,-7.517335974834,1.41810195327121,0.18094521552602,0.506646603472856,0
"primary","B1","free thiamin","T","Elicit","5 mo.",98,101,NA,63.1895881871425,68.6133309621415,NA,37.3740769224369,62.1356336351247,NA,55.9127168317133,51.0231441686968,NA,36.3662703429024,37.3359831171905,NA,78.8065883501833,83.3072303797249,NA,4.92952297635786,-8.5417829642354,18.4008289169511,0.473247636677544,0.602315173953237,0
"primary","B1","free thiamin","T","Misame","1-2 mo.",163,NA,124,46.8970694861235,NA,42.6672136480068,27.5635679586751,NA,22.6182204102187,40.1119289956564,NA,38.8617218808844,28.5541983205752,NA,28.4705632484275,58.4771477333729,NA,49.7603105237272,13.1797007628828,7.89028444079104,18.4691170849746,1.04131787809628e-06,8.955333751628e-06,1
"primary","B1","free thiamin","T","Misame","14-21 days",152,NA,122,26.289834612994,NA,25.3703801568695,18.8411106415861,NA,13.7397345585736,23.008586815477,NA,23.3230419744308,13.3831144107637,NA,15.4149732666373,34.059099418836,NA,35.2698063904386,11.5217199282588,8.30196283894028,14.7414770175773,2.32227858779044e-12,2.49644948187472e-11,1
"primary","B1","free thiamin","T","Misame","3-4 mo.",156,NA,123,53.6914855266974,NA,52.3107855534136,27.8349301089016,NA,28.5058879008611,49.1415841530207,NA,47.6703300647097,35.0309320759279,NA,34.9467979302052,65.9493141021823,NA,62.9780292632343,7.86494851745042,1.62243722929128,14.1074598056096,0.0135354476503616,0.0334405177244227,1
"primary","B1","free thiamin","T","Vital","1.5 mo.",50,NA,100,20.2426748959223,NA,30.9069231981408,9.81343162039348,NA,17.1548055100276,20.3897921512163,NA,28.785918496613,13.7878368361686,NA,19.3795794114123,26.3144668885175,NA,38.9931449732183,11.2036585921678,7.11988571767758,15.287431466658,7.57041710153884e-08,4.65039907665957e-07,1
"primary","B1","free thiamin","T","Vital","2 mo.",50,NA,100,30.6172703217898,NA,34.7266694818452,18.3643427869269,NA,18.8071211577568,28.0621358617886,NA,31.9557250702803,20.2608943026476,NA,23.0691860525435,34.2142551404306,NA,42.5777553710754,5.06263781972488,-0.739002040315815,10.8642776797656,0.0872090374637427,0.194960769280698,0
"primary","B1","thiamine monophosphate","Tmp","Elicit","1 mo.",98,101,NA,229.45711526095,240.28459074464,NA,83.5050795353706,83.0658895451041,NA,219.042312830174,226.479768065349,NA,191.852575340141,190.991725891961,NA,243.948263690731,276.787137770394,NA,11.452981539224,-10.5276372163724,33.4336002948204,0.307141947106053,0.586361899020646,0
"primary","B1","thiamine monophosphate","Tmp","Elicit","5 mo.",98,101,NA,175.306919474859,188.036348298253,NA,90.7108029306655,109.942008670709,NA,167.343788665052,171.917772542669,NA,122.332159312462,120.026316459183,NA,214.658663182002,216.723398310941,NA,7.66793830323903,-17.0146428729522,32.3505194794302,0.542599875922932,0.651119851107518,0
"primary","B1","thiamine monophosphate","Tmp","Misame","1-2 mo.",163,NA,124,185.782671842419,NA,184.446202889763,66.6108408121917,NA,56.4125745168561,190.381572953506,NA,182.374520290901,152.696304361256,NA,151.694476768062,226.304105629723,NA,221.733857520073,7.12774338053717,-6.18186220143078,20.4373489625051,0.293889675086848,0.407653420281757,0
"primary","B1","thiamine monophosphate","Tmp","Misame","14-21 days",152,NA,122,160.030732575593,NA,162.890904060523,56.2748830637606,NA,54.3475273335485,157.994493990555,NA,158.734294437464,121.72000341284,NA,130.305698514978,188.181259111888,NA,195.038006590695,26.7374537792569,15.4788614865864,37.9960460719273,3.24581894563881e-06,1.74462768328086e-05,1
"primary","B1","thiamine monophosphate","Tmp","Misame","3-4 mo.",156,NA,123,154.666468530702,NA,160.611699876421,64.4939476984341,NA,59.8433827490687,153.061972826797,NA,168.469449566462,112.852785673779,NA,117.980445511835,197.811234503452,NA,200.339327976435,7.25685501336994,-6.99371591502211,21.507425941762,0.318241770727622,0.477362656091434,0
"primary","B1","thiamine monophosphate","Tmp","Vital","1.5 mo.",50,NA,100,144.511994948915,NA,165.525295369748,51.0078811327786,NA,46.4150953747666,143.790660128654,NA,165.750908083969,115.621183377471,NA,142.659335682259,178.883119558976,NA,193.662759738119,20.6588543364548,4.80190862507777,36.5158000478318,0.0106648217890372,0.0244307594559362,1
"primary","B1","thiamine monophosphate","Tmp","Vital","2 mo.",50,NA,100,140.688506057809,NA,157.235548432902,44.6710823048219,NA,49.1591798116054,136.851150424051,NA,157.725345600056,115.682888870724,NA,136.426537731559,174.725374847935,NA,189.213492698641,13.0396038448332,0.173700687756266,25.9055070019102,0.0469861337558476,0.132005909853445,0
"primary","B1","thiamine pyrophosphate","Tpp","Elicit","1 mo.",98,101,NA,7.42322563173709,6.84911110086992,NA,6.09231227922983,7.02034044343696,NA,5.66976825495562,5.35312781417126,NA,3.47306435239667,2.90987303816587,NA,9.78701983915266,8.36829741664099,NA,-0.603113529355007,-2.29084790109783,1.08462084238782,0.483680628045412,0.68188111413742,0
"primary","B1","thiamine pyrophosphate","Tpp","Elicit","5 mo.",98,101,NA,5.09058221559377,6.22775259619138,NA,4.17195601067851,5.7466362315646,NA,3.99636814675518,4.12632119401411,NA,2.15516849940314,2.45051864002531,NA,6.3386886369175,7.85589100128553,NA,1.09947143440508,-0.168310742909388,2.36725361171955,0.0891762297181611,0.352961239777373,0
"primary","B1","thiamine pyrophosphate","Tpp","Misame","1-2 mo.",163,NA,124,5.31929653312235,NA,4.63517858164608,5.80699374701986,NA,5.16561428978132,3.55941234126432,NA,3.36001614038241,1.86588321137361,NA,1.79144981423172,6.79210468049059,NA,5.43520938014253,-1.12209054778868,-2.28742206344329,0.0432409678659387,0.0591284203224516,0.127126103693271,0
"primary","B1","thiamine pyrophosphate","Tpp","Misame","14-21 days",152,NA,122,8.79539799659743,NA,8.81947037683115,6.84625348747404,NA,9.83814560432436,6.82530796604592,NA,6.28479530556302,3.84242418141896,NA,4.13068613273062,10.9276559727288,NA,9.36602604937432,-1.36080777486507,-3.07698884505326,0.355373295323131,0.120158171166881,0.24525831443106,0
"primary","B1","thiamine pyrophosphate","Tpp","Misame","3-4 mo.",156,NA,123,4.62898175873714,NA,4.09078562979281,3.95457223744226,NA,4.2175654137227,3.53091977331639,NA,2.98267758155986,2.0230967116809,NA,1.64570243985512,6.13228396344958,NA,5.41019093114786,-0.673608508391544,-1.6155704462847,0.268353429501609,0.161036451284613,0.29406656321538,0
"primary","B1","thiamine pyrophosphate","Tpp","Vital","1.5 mo.",50,NA,100,5.2049329038905,NA,5.43514961619557,3.84766325954255,NA,4.31074098194753,4.33498620245057,NA,4.25534044204224,2.57384918936423,NA,2.70762178339782,6.75888728775321,NA,7.15217824611947,0.183190959952159,-1.13830811328556,1.50469003318988,0.785854804486239,0.81062141287009,0
"primary","B1","thiamine pyrophosphate","Tpp","Vital","2 mo.",50,NA,100,5.49237434847307,NA,4.58403939708799,3.82954382721521,NA,4.08937766625017,4.70904805241458,NA,4.2363690896199,2.81040696726417,NA,1.3808096953249,6.59364596330091,NA,6.35651355665946,-0.878283572286861,-2.15950698406864,0.402939839494923,0.17908979165527,0.333298993253726,0
"primary","B1","total vitamin B1 (expressed as thiamin)","B1","Elicit","1 mo.",98,101,NA,213.517831858343,218.431916127779,NA,76.5920301812392,71.4174766809134,NA,201.91204623701,203.026416105725,NA,174.019265873952,173.243147731998,NA,232.062500091514,247.809093220622,NA,5.49496419269437,-13.9896092905463,24.979537675935,0.580440447855065,0.717014670879786,0
"primary","B1","total vitamin B1 (expressed as thiamin)","B1","Elicit","5 mo.",98,101,NA,201.071925848088,216.986494062715,NA,77.5632276793516,103.677667929106,NA,185.130504339877,195.240216578023,NA,155.211200698254,160.026330868125,NA,224.853804581053,234.124281953313,NA,15.3014293767576,-9.63168010149178,40.2345388550069,0.229042758511648,0.550197162748131,0
"primary","B1","total vitamin B1 (expressed as thiamin)","B1","Misame","1-2 mo.",163,NA,124,192.971697586722,NA,187.248761900979,53.550692784178,NA,44.3929483496769,190.829235956781,NA,182.57618930657,158.004951756221,NA,155.019437579916,224.72517308766,NA,213.436272065095,18.0435140699672,8.07949389447385,28.0075342454606,0.000386353800350145,0.00151029212864148,1
"primary","B1","total vitamin B1 (expressed as thiamin)","B1","Misame","14-21 days",152,NA,122,154.745431105743,NA,156.038757853164,55.2420024125175,NA,48.0665297904003,154.765521020965,NA,155.530310797982,118.945177460503,NA,126.274838269818,181.518670631055,NA,183.17432294731,31.5169692713049,20.8847690182974,42.1491695243125,6.2506502399125e-09,5.37555920632475e-08,1
"primary","B1","total vitamin B1 (expressed as thiamin)","B1","Misame","3-4 mo.",156,NA,123,175.425653822654,NA,178.277490355029,51.0425697871612,NA,44.1915311351248,174.756160022062,NA,176.894540097939,137.726099729313,NA,151.40591201561,202.172249543469,NA,204.304470310502,13.0184138092207,2.56271248083107,23.4741151376103,0.0146728381874874,0.0342366224374707,1
