study,tp,pathway,kegg_id,total,expected,hits,impact,raw_p,fdr
MISAME-III,14-21 days,Nicotinate and nicotinamide metabolism,hsa00760,15,0.12249,4,0.38509,3.4815e-6,2.7852e-4
MISAME-III,14-21 days,Vitamin B6 metabolism,hsa00750,9,0.073492,3,0.64706,3.479e-5,0.0013916
MISAME-III,14-21 days,Riboflavin metabolism,hsa00740,4,0.032663,2,1,3.6614e-4,0.0097637
MISAME-III,14-21 days,Thiamine metabolism,hsa00730,7,0.057160999999999997,2,0,0.0012638,0.025277
MISAME-III,14-21 days,Pantothenate and CoA biosynthesis,hsa00770,20,0.16332,1,0.0068,0.15209,1
MISAME-III,14-21 days,Porphyrin metabolism,hsa00860,31,0.25314,1,0,0.22633,1
MISAME-III,1-2 mo.,Nicotinate and nicotinamide metabolism,hsa00760,15,0.11307,4,0.38509,2.4238e-6,1.939e-4
MISAME-III,1-2 mo.,Riboflavin metabolism,hsa00740,4,0.030151,2,1,3.1007e-4,0.012403
MISAME-III,1-2 mo.,Vitamin B6 metabolism,hsa00750,9,0.067839,2,0.56863,0.0018218,0.04858
MISAME-III,1-2 mo.,Thiamine metabolism,hsa00730,7,0.052764,1,0,0.051681,1
MISAME-III,1-2 mo.,Pantothenate and CoA biosynthesis,hsa00770,20,0.15075,1,0.0068,0.14122,1
MISAME-III,3-4 mo.,Riboflavin metabolism,hsa00740,4,0.037688,3,1,2.6962e-6,2.1569e-4
MISAME-III,3-4 mo.,Nicotinate and nicotinamide metabolism,hsa00760,15,0.14133,4,0.38509,6.5729e-6,2.6292e-4
MISAME-III,3-4 mo.,Vitamin B6 metabolism,hsa00750,9,0.084799,3,0.64706,5.5033e-5,0.0014676
MISAME-III,3-4 mo.,Thiamine metabolism,hsa00730,7,0.065955,1,0,0.064237,1
MISAME-III,3-4 mo.,Pantothenate and CoA biosynthesis,hsa00770,20,0.18844,1,0.0068,0.17344,1
MISAME-III,3-4 mo.,Tryptophan metabolism,hsa00380,41,0.38631,1,0.14305,0.32505,1
Mumta-LW,1.5 mo.,Nicotinate and nicotinamide metabolism,hsa00760,15,0.15075,5,0.61974,1.4616e-7,1.1693e-5
Mumta-LW,1.5 mo.,Riboflavin metabolism,hsa00740,4,0.040201,3,1,3.3168e-6,1.3267e-4
Mumta-LW,1.5 mo.,Thiamine metabolism,hsa00730,7,0.070352,2,0,0.0019321,0.051524
Mumta-LW,1.5 mo.,Vitamin B6 metabolism,hsa00750,9,0.090452,2,0.56863,0.0032735,0.065471
Mumta-LW,1.5 mo.,Biotin metabolism,hsa00780,10,0.1005,1,0.2,0.096337,1
Mumta-LW,1.5 mo.,Retinol metabolism,hsa00830,17,0.17085,1,0.26289,0.15852,1
Mumta-LW,1.5 mo.,Pantothenate and CoA biosynthesis,hsa00770,20,0.20101,1,0.0068,0.18392,1
Mumta-LW,2 mo.,Nicotinate and nicotinamide metabolism,hsa00760,15,0.084799,4,0.38509,6.2734e-7,5.0188e-5
Mumta-LW,2 mo.,Riboflavin metabolism,hsa00740,4,0.022613,2,1,1.6956e-4,0.0067823
Mumta-LW,2 mo.,Biotin metabolism,hsa00780,10,0.056533,1,0.2,0.055268,1
Mumta-LW,2 mo.,Retinol metabolism,hsa00830,17,0.096106,1,0.26289,0.092324,1
Mumta-LW,2 mo.,Pantothenate and CoA biosynthesis,hsa00770,20,0.11307,1,0.0068,0.10780000000000001,1
ELICIT,1 mo.,Nicotinate and nicotinamide metabolism,hsa00760,15,0.047111,5,0.61974,3.5461e-11,2.8369e-9
ELICIT,5 mo.,Nicotinate and nicotinamide metabolism,hsa00760,15,0.047111,5,0.61974,3.5461e-11,2.8369e-9
