study,tp,pathway,kegg_id,tracking_name
MISAME-III,14-21 days,Nicotinate and nicotinamide metabolism,hsa00760,Nicotinic acid mononucleotide
MISAME-III,14-21 days,Nicotinate and nicotinamide metabolism,hsa00760,nicotinamide riboside
MISAME-III,14-21 days,Nicotinate and nicotinamide metabolism,hsa00760,Niacinamide
MISAME-III,14-21 days,Nicotinate and nicotinamide metabolism,hsa00760,Nudifloramide
MISAME-III,14-21 days,Vitamin B6 metabolism,hsa00750,Pyridoxine
MISAME-III,14-21 days,Vitamin B6 metabolism,hsa00750,pyridoxal
MISAME-III,14-21 days,Vitamin B6 metabolism,hsa00750,pyridoxamine
MISAME-III,14-21 days,Riboflavin metabolism,hsa00740,riboflavin
MISAME-III,14-21 days,Riboflavin metabolism,hsa00740,flavin mononucleotide
MISAME-III,14-21 days,Thiamine metabolism,hsa00730,Thiamine
MISAME-III,14-21 days,Thiamine metabolism,hsa00730,thiamine monophosphate
MISAME-III,14-21 days,Pantothenate and CoA biosynthesis,hsa00770,pantothenic acid
MISAME-III,14-21 days,Porphyrin metabolism,hsa00860,Iron
MISAME-III,1-2 mo.,Nicotinate and nicotinamide metabolism,hsa00760,Nicotinic acid mononucleotide
MISAME-III,1-2 mo.,Nicotinate and nicotinamide metabolism,hsa00760,nicotinamide riboside
MISAME-III,1-2 mo.,Nicotinate and nicotinamide metabolism,hsa00760,nicotinamide
MISAME-III,1-2 mo.,Nicotinate and nicotinamide metabolism,hsa00760,Nudifloramide
MISAME-III,1-2 mo.,Riboflavin metabolism,hsa00740,riboflavin
MISAME-III,1-2 mo.,Riboflavin metabolism,hsa00740,flavin mononucleotide
MISAME-III,1-2 mo.,Vitamin B6 metabolism,hsa00750,Pyridoxine
MISAME-III,1-2 mo.,Vitamin B6 metabolism,hsa00750,pyridoxal
MISAME-III,1-2 mo.,Thiamine metabolism,hsa00730,Thiamine
MISAME-III,1-2 mo.,Pantothenate and CoA biosynthesis,hsa00770,pantothenic acid
MISAME-III,3-4 mo.,Riboflavin metabolism,hsa00740,Riboflavin
MISAME-III,3-4 mo.,Riboflavin metabolism,hsa00740,flavin mononucleotide
MISAME-III,3-4 mo.,Riboflavin metabolism,hsa00740,flavin adenine dinucleotide
