"study","contrast","direction","pathway","feature"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glycine and Serine Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Pterine Biosynthesis","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Tyrosine Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Beta-Alanine Metabolism","Pantothenic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Beta-Alanine Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Beta-Alanine Metabolism","Flavin mononucleotide"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Ammonia Recycling","Biotin"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Ammonia Recycling","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Nucleotide Sugars Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Inositol Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Cysteine Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Propanoate Metabolism","Biotin"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Propanoate Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Vitamin B6 Metabolism","Pyridoxine"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Vitamin B6 Metabolism","Flavin mononucleotide"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Vitamin B6 Metabolism","Pyridoxal"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Arginine and Proline Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Arginine and Proline Metabolism","Flavin mononucleotide"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Porphyrin Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Phospholipid Biosynthesis","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Pantothenate and CoA Biosynthesis","Pantothenic acid"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Pantothenate and CoA Biosynthesis","Flavin mononucleotide"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Caffeine Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Selenoamino Acid Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Valine, Leucine and Isoleucine Degradation","Biotin"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Valine, Leucine and Isoleucine Degradation","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Valine, Leucine and Isoleucine Degradation","Pyridoxal"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Methionine Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Bile Acid Biosynthesis","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Lysine Degradation","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glycerolipid Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Glycolysis","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Galactose Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Histidine Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Pyrimidine Metabolism","Flavin mononucleotide"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Nicotinate and Nicotinamide Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Nicotinate and Nicotinamide Metabolism","Nicotinic acid mononucleotide"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Nicotinate and Nicotinamide Metabolism","Niacinamide"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Nicotinate and Nicotinamide Metabolism","Nudifloramide"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Purine Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Fatty acid Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Folate Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Fatty Acid Elongation In Mitochondria","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Alanine Metabolism","Biotin"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Citric Acid Cycle","Biotin"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Citric Acid Cycle","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Starch and Sucrose Metabolism","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Urea Cycle","NAD"
"Vital (2 mo.)","BEP+ExBf+AZT","up","Pyruvate Metabolism","Biotin"
