"study","contrast","direction","pathway","total","hits","expected","raw_p","fdr"
"Misame (3-4 mo.)","BEP/BEP","down","Oxidation of Branched Chain Fatty Acids",3,2,0.171,0.00504,0.494
"Misame (3-4 mo.)","BEP/BEP","down","Phytanic Acid Peroxisomal Oxidation",4,2,0.229,0.0101,0.494
"Misame (3-4 mo.)","BEP/BEP","down","Citric Acid Cycle",6,2,0.343,0.0252,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Warburg Effect",7,2,0.4,0.0353,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Pyruvate Metabolism",8,2,0.457,0.0471,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Pentose Phosphate Pathway",1,1,0.0571,0.0571,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Amino Sugar Metabolism",1,1,0.0571,0.0571,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Beta Oxidation of Very Long Chain Fatty Acids",1,1,0.0571,0.0571,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Phenylacetate Metabolism",1,1,0.0571,0.0571,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Sulfate/Sulfite Metabolism",2,1,0.114,0.113,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Inositol Phosphate Metabolism",2,1,0.114,0.113,0.613
"Misame (3-4 mo.)","BEP/BEP","down","De Novo Triacylglycerol Biosynthesis",2,1,0.114,0.113,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Estrone Metabolism",2,1,0.114,0.113,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Steroid Biosynthesis",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Glycolysis",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Fatty acid Metabolism",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Fructose and Mannose Degradation",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Butyrate Metabolism",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Thiamine Metabolism",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Spermidine and Spermine Biosynthesis",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Phosphatidylinositol Phosphate Metabolism",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Plasmalogen Synthesis",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids",3,1,0.171,0.166,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Nucleotide Sugars Metabolism",4,1,0.229,0.218,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Inositol Metabolism",4,1,0.229,0.218,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Sphingolipid Metabolism",4,1,0.229,0.218,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Lysine Degradation",4,1,0.229,0.218,0.613
"Misame (3-4 mo.)","BEP/BEP","down","Galactose Metabolism",4,1,0.229,0.218,0.613
