R version 4.4.2 (2024-10-31 ucrt)
Platform: x86_64-w64-mingw32/x64
Running under: Windows 11 x64 (build 26200)

Matrix products: default


locale:
[1] LC_COLLATE=English_United States.utf8 
[2] LC_CTYPE=English_United States.utf8   
[3] LC_MONETARY=English_United States.utf8
[4] LC_NUMERIC=C                          
[5] LC_TIME=English_United States.utf8    

time zone: America/Los_Angeles
tzcode source: internal

attached base packages:
[1] stats     graphics  grDevices utils     datasets  methods   base     

other attached packages:
[1] MetaboAnalystR_4.3.0

loaded via a namespace (and not attached):
  [1] DBI_1.3.0            bitops_1.0-9         pROC_1.19.0.1       
  [4] rlang_1.3.0          magrittr_2.0.3       scrime_1.3.7        
  [7] otel_0.2.0           compiler_4.4.2       RSQLite_3.53.3      
 [10] vctrs_0.7.1          reshape2_1.4.5       stringr_1.6.0       
 [13] pkgconfig_2.0.3      fastmap_1.2.0        caTools_1.18.4      
 [16] prodlim_2026.03.11   purrr_1.0.2          bit_4.6.0           
 [19] cachem_1.1.0         jsonlite_2.0.0       recipes_1.3.3       
 [22] blob_1.3.0           BiocParallel_1.40.0  parallel_4.4.2      
 [25] R6_2.6.1             stringi_1.8.7        RColorBrewer_1.1-3  
 [28] limma_3.62.2         parallelly_1.48.0    rpart_4.1.23        
 [31] lubridate_1.9.5      Rcpp_1.0.13-1        iterators_1.0.14    
 [34] future.apply_1.20.2  Matrix_1.7-1         splines_4.4.2       
 [37] nnet_7.3-19          igraph_2.3.3         timechange_0.4.0    
 [40] tidyselect_1.2.1     stringfish_0.19.0    siggenes_1.80.0     
 [43] timeDate_4052.112    gplots_3.3.0         codetools_0.2-20    
 [46] listenv_1.0.0        lattice_0.22-6       tibble_3.3.1        
 [49] plyr_1.8.9           Biobase_2.66.0       withr_3.0.3         
 [52] S7_0.2.1             future_1.75.0        survival_3.7-0      
 [55] RcppParallel_5.1.10  pillar_1.11.1        KernSmooth_2.23-24  
 [58] foreach_1.5.2        stats4_4.4.2         plotly_4.12.1       
 [61] generics_0.1.4       ggplot2_4.0.3        scales_1.4.0        
 [64] gtools_3.9.5         globals_0.19.1       qs2_0.2.0           
 [67] class_7.3-22         glue_1.8.0           tools_4.4.2         
 [70] data.table_1.17.8    ModelMetrics_1.2.2.2 fgsea_1.32.4        
 [73] gower_1.0.2          locfit_1.5-9.12      fastmatch_1.1-6     
 [76] cowplot_1.1.3        grid_4.4.2           Cairo_1.7-0         
 [79] impute_1.80.0        tidyr_1.3.2          ipred_0.9-15        
 [82] edgeR_4.4.2          nlme_3.1-166         crmn_0.0.21         
 [85] cli_3.6.6            viridisLite_0.4.3    lava_1.9.2          
 [88] dplyr_1.2.1          glasso_1.11          pcaMethods_1.98.0   
 [91] gtable_0.3.6         digest_0.6.39        BiocGenerics_0.52.0 
 [94] caret_7.0-1          htmlwidgets_1.6.4    farver_2.1.2        
 [97] memoise_2.0.1        htmltools_0.5.9      multtest_2.62.0     
[100] lifecycle_1.0.5      httr_1.4.8           hardhat_1.4.3       
[103] statmod_1.5.0        bit64_4.8.2          MASS_7.3-65         
