"study","contrast","direction","pathway","feature"
"Vital (1.5 mo.)","BEP+ExBf","up","Glycine and Serine Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP+ExBf","up","Beta-Alanine Metabolism","Histidine"
"Vital (1.5 mo.)","BEP+ExBf","up","Ammonia Recycling","Histidine"
"Vital (1.5 mo.)","BEP+ExBf","up","Ammonia Recycling","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Glutathione Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP+ExBf","up","Propanoate Metabolism","L-Valine"
"Vital (1.5 mo.)","BEP+ExBf","up","Alpha Linolenic Acid and Linoleic Acid Metabolism","Dihomo-gamma-linolenic acid"
"Vital (1.5 mo.)","BEP+ExBf","up","Arginine and Proline Metabolism","Citrulline"
"Vital (1.5 mo.)","BEP+ExBf","up","Selenoamino Acid Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP+ExBf","up","Valine, Leucine and Isoleucine Degradation","L-Valine"
"Vital (1.5 mo.)","BEP+ExBf","up","Methionine Metabolism","Spermidine"
"Vital (1.5 mo.)","BEP+ExBf","up","Lysine Degradation","Aminoadipic acid"
"Vital (1.5 mo.)","BEP+ExBf","up","Histidine Metabolism","Histidine"
"Vital (1.5 mo.)","BEP+ExBf","up","Amino Sugar Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Pyrimidine Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Nicotinate and Nicotinamide Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Purine Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Alanine Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP+ExBf","up","Urea Cycle","L-Alanine"
"Vital (1.5 mo.)","BEP+ExBf","up","Urea Cycle","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Urea Cycle","Citrulline"
"Vital (1.5 mo.)","BEP+ExBf","up","Tryptophan Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP+ExBf","up","Tryptophan Metabolism","Indoleacetic acid"
"Vital (1.5 mo.)","BEP+ExBf","up","Aspartate Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Aspartate Metabolism","Citrulline"
"Vital (1.5 mo.)","BEP+ExBf","up","Glutamate Metabolism","L-Alanine"
"Vital (1.5 mo.)","BEP+ExBf","up","Glutamate Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Phenylacetate Metabolism","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Glucose-Alanine Cycle","L-Alanine"
"Vital (1.5 mo.)","BEP+ExBf","up","Spermidine and Spermine Biosynthesis","Spermidine"
"Vital (1.5 mo.)","BEP+ExBf","up","Warburg Effect","Glutamine"
"Vital (1.5 mo.)","BEP+ExBf","up","Methylhistidine Metabolism","Histidine"
